i,j,kappa_oll,approx
750,753,0.11987008834920831,0
743,1075,0.04990207343244146,0
136,823,-0.10793245373563232,0
566,1378,0.011259073496916572,0
1594,1980,0.03876303044792506,0
1281,1417,-0.36173746605009316,0
639,965,0.05683661727480194,0
1355,1377,0.020190340686312314,0
891,1717,-0.365117467637323,0
1153,1573,-0.0667820014124485,0
592,845,0.16600344348373253,0
50,1088,0.08401531411579477,0
312,1505,0.03810120904493397,0
249,400,-0.12789262073077712,0
16,715,0.17152120242391655,0
547,730,0.02165717735692585,0
867,1294,0.06042721531464401,0
900,1443,0.045679460344835054,0
454,1654,0.11873743540841064,0
56,1257,-0.165642204994924,0
225,333,0.035149157829667654,0
190,699,0.03187679317831926,0
660,806,-0.11245306544761235,0
269,1919,-0.4098834366770545,0
1452,1494,-0.3301706175505037,0
532,1184,0.051050233903326525,0
709,953,0.006187007558230095,0
1083,1778,0.01064496902137857,0
931,1509,-0.010572837426843895,0
463,1577,-0.0742341320489639,0
1482,1910,0.038044527585101795,0
623,2004,0.014148400462323463,0
1320,1377,-0.0551641035661774,0
1189,1557,-0.017048717301461735,0
80,2035,0.11299365240414483,0
636,880,0.0959199415006643,0
931,1439,0.06996600492665062,0
1301,1707,-0.030232796923238547,0
917,1081,0.010474982368979036,0
554,1353,0.09025525044698535,0
668,676,-0.24085357478959835,0
130,243,0.05265876881173648,0
570,1908,0.06220645871779862,0
46,1911,-0.00012805704566698495,0
815,1957,0.029432843589166424,0
860,1424,0.016228094136537696,0
554,1829,0.04509730247267618,0
1038,1143,0.025735961031902455,0
522,630,0.33015596866421903,0
279,1396,-0.18790121124637738,0
373,875,0.011141513616964804,0
1702,2017,-0.14060522333742065,0
1653,2005,0.012144498568213091,0
1109,1439,-0.14110021693825314,0
0,775,0.030644036083134263,0
1461,1956,0.05864960979064071,0
505,1276,-0.10740575572808186,0
967,1224,0.09658331718590041,0
317,1974,0.4821561464353,0
810,1174,0.08931267480235638,0
647,673,-0.016815862362714595,0
434,1783,0.102476129328957,0
729,1966,-0.19109593041196749,0
976,1669,-0.29962366883593283,0
102,1210,0.0030400295195670557,0
1326,1815,0.09504693812391796,0
4,891,0.15906952745517466,0
1019,1881,-0.011940789064626145,0
1040,1854,0.24096487926677568,0
1232,1425,0.018131586818071477,0
14,1957,0.10767553953932707,0
1599,1693,0.2654939212929993,0
528,1123,0.002439924911304514,0
414,847,0.028268959373754288,0
938,956,0.027943574371860458,0
71,1663,0.04013114578135779,0
1043,1411,-0.23595413807628107,0
1401,1716,0.05003388593453917,0
777,1941,0.027739493824925132,0
1760,1945,-1.587549141765927,0
408,1371,-0.15723247163816945,0
101,1651,0.14694541746673817,0
833,1164,0.06828959857946504,0
1862,2016,0.02197753149488546,0
1509,1547,-0.08338868873379512,0
1544,2012,0.010833455030409889,0
107,1238,0.13085371354436526,0
629,1198,0.3234022370460399,0
1131,2034,0.05078571340681315,0
316,807,-0.3681362336717038,0
706,876,-0.07925991751554173,0
1027,1672,-0.049769440079182825,0
1021,1984,0.058605564188501824,0
158,1626,0.008483966510942631,0
297,802,-0.07900371732328781,0
1638,1938,0.13030466562318188,0
105,1018,-0.06818331963058966,0
297,1061,0.017741276710022236,0
21,956,0.10273026999879853,0
1081,1837,0.14806970840414335,0
372,1662,0.12036658331006889,0
1231,1580,0.04194775801081063,0
357,1303,-0.062122360434234025,0
515,1414,0.0213629575836789,0
19,1454,-0.0054559808831802226,0
423,1468,0.07039778775409733,0
183,261,0.048356924096841,0
156,1000,-0.05608098943960593,0
810,1706,-0.03493462439847139,0
1013,1437,0.013964706751882772,0
19,1171,0.11608345536712417,0
113,1778,-0.0012919732809271167,0
350,1653,0.04622894990532456,0
579,1894,0.014300953418353357,0
556,1664,-0.11268397138207376,0
1387,1527,0.06430795059917194,0
164,1411,0.37151841681246367,0
697,1223,-0.28218396319617245,0
391,1839,-0.0010785936140806918,0
516,1152,0.06281121785426802,0
374,1589,0.020598747824413288,0
1384,1508,-0.22984464670955274,0
936,1544,0.06286102855607834,0
372,919,0.029735099444328505,0
54,1055,-0.11072154852030347,0
68,157,0.409579227218273,0
770,1749,0.5855612188771425,0
423,1639,0.1903226738991386,0
47,1862,0.0518407538385377,0
159,1855,-0.016714518535075218,0
927,1610,0.030836696366487115,0
360,1422,0.36079271921697653,0
1454,1562,-0.1375218151907529,0
294,1991,0.014140112783238012,0
84,508,0.008318032089211225,0
874,1962,0.01965725233448412,0
554,1580,0.017659190217592102,0
1607,1864,0.3915813827347018,0
1126,1781,0.05172402059494208,0
1380,1658,0.03040715844102837,0
1651,1977,-0.03334159845481399,0
1192,1207,0.03665070825827765,0
38,218,-0.22182258194060345,0
357,1740,0.028300542180467736,0
95,271,0.19119627100016656,0
544,2017,0.07335302892900697,0
392,1904,0.02200553828740759,0
677,922,-0.08002393290293686,0
1231,1502,0.17663371180156162,0
1420,1422,0.017781953148743868,0
15,655,0.25334338489823094,0
1228,1632,0.16683532651946997,0
583,772,0.030494648144741454,0
519,850,0.017498839395922783,0
156,508,0.004330857498539342,0
673,1184,0.27765246608044747,0
78,753,0.11144786376361537,0
478,1259,-0.042155083056209186,0
805,1942,0.012164031309292556,0
1634,1955,-0.009320096004345135,0
577,1206,0.01977379955420533,0
728,1888,0.01218465551803849,0
389,560,0.010489580756557704,0
975,1253,0.10149373341748813,0
647,1759,0.06849762793944048,0
1256,1353,0.25810565339968106,0
964,2018,-0.11659032729546914,0
560,1407,-0.09141810301041553,0
654,1740,-0.002362786067974243,0
