threshold,n,m_edges,beta0,beta1_graph,triangles,beta1_clique_approx
0.4,2048,749,1408,109,,
0.5,2048,366,1705,23,,
0.6,2048,172,1884,8,,
0.7,2048,83,1969,4,,
0.8,2048,36,2013,1,,
0.9,2048,8,2040,0,,
