i,j,kappa_oll,approx
7998,8106,0.004125478241142955,0
2335,4445,0.1047013205289129,0
7236,7269,0.005753963676810359,0
4139,7754,-0.0684512646917963,0
5122,6779,0.004754854247829177,0
2210,3183,0.01622273380152195,0
696,810,0.0014126634628451873,0
1942,5557,0.02041338606680676,0
6222,7713,0.6297281522222882,0
84,6240,-0.003911106230052752,0
686,7800,-0.24860888944280757,0
1295,2494,-0.14884242022462923,0
1737,5962,-0.5550141873066441,0
80,3798,0.4830225372485314,0
4693,6496,0.03499729746790803,0
1431,2970,-0.054026713255767245,0
1612,3763,0.014990588165127994,0
3553,5430,0.04663988573465583,0
312,4311,0.013556925819368293,0
1880,7495,-0.10913374905486362,0
2231,3442,0.0034455483202184833,0
312,2706,0.06466822825656027,0
1870,7818,0.06358443550950477,0
5593,6261,0.011140245939942894,0
5627,7678,-0.03845341307582517,0
6001,7450,0.013885641357287426,0
4045,4247,0.0032212372878676065,0
5479,7325,0.05785143913523483,0
1105,1646,0.07567952142220569,0
5254,5401,0.10421200710333023,0
947,8142,0.13463790785051633,0
458,8062,-0.1313751945182169,0
3,158,-0.17408359806283347,0
2348,4863,-0.3215654981563425,0
563,1475,0.053713234165921886,0
3603,6111,0.008572637575154585,0
1464,8071,0.2371276487920606,0
3235,4233,0.11150316378281966,0
2470,5998,-0.02625854138110184,0
558,2349,0.10111575245529547,0
1282,3790,-0.41212640996302974,0
1481,7916,0.03700353155899294,0
3649,5024,-0.09559324343934161,0
4930,6604,0.005902659361981422,0
2705,2828,0.002548383995187753,0
1161,7189,0.003760149015947678,0
7413,8095,0.003284758702681523,0
1541,3899,-0.015285104634347402,0
922,6382,-0.1436345885327761,0
1741,2714,0.04842778617811183,0
3230,7618,-0.09409324936576047,0
1875,5263,-0.034424757390366656,0
2285,7776,0.0046833495216833665,0
3179,7690,-0.1571484188091583,0
6826,7944,-0.03174406963406562,0
624,5965,0.0005839278110342239,0
4875,6901,0.044888850608945985,0
3563,3654,0.005288780750361433,0
2349,7691,0.003257169882410982,0
1798,5564,0.06092408679506611,0
1310,1722,0.08232252447662669,0
4247,6556,0.009973629356021307,0
2913,4796,-0.09805612270352904,0
599,7635,-0.26128041026795445,0
5905,8112,-0.008123075456804019,0
4288,6203,0.4698126263975585,0
2964,3490,0.01890751366969723,0
832,2156,-0.41359877422823876,0
3474,3547,0.003938325263822096,0
696,1920,0.3939017167381256,0
1937,5471,0.03009235473666083,0
6661,8023,-0.14383659470155696,0
582,1520,-0.25063538924182893,0
3617,6781,0.019233371665505206,0
7471,7881,0.004583386825172453,0
3968,5898,-0.25467414926952925,0
4890,5441,-0.02642215641741541,0
6001,6489,-0.023805323502162468,0
4588,5156,0.00993028352606573,0
163,464,0.048582750382486606,0
3543,8167,0.0030980294564477706,0
3527,7004,0.5255136561793905,0
4839,4871,-0.19874857008049385,0
3354,5239,-0.11758372944249884,0
2807,7243,0.04728096449477115,0
4685,8023,0.05838295301371044,0
3726,5958,-0.18446332992390935,0
3094,5021,0.0024359548810716225,0
1802,2784,0.004145659433449356,0
