q,tau,beta0,beta1,edges,triangles
0.99,0.015929398526432062,109,-11569,20962,30592
0.97,0.0007560010514279492,31,21960,62884,38907
0.95,8.543676263836168e-05,15,62002,104807,40772
0.9,1.1970781564470465e-06,4,164808,209613,42761
0.85,3.4600418208513247e-08,2,270088,314420,42286
0.8,1.3555203819881862e-09,1,374194,419226,42985
