i,j,kappa_forman
0,16,-2362.5028698586766
0,135,-1869.2800691235414
0,158,-3013.8645346117087
0,169,-7144.812973481093
0,318,-6297.2489945006355
0,342,-3412.930407599961
0,348,-5178.0576864700315
0,377,-3386.3738036578416
0,489,-7934.739156297504
0,677,-5318.399252589565
0,715,-3823.782832998442
0,769,-4495.237716868872
0,832,-1651.2854155910234
0,855,-8659.936541115272
0,872,-1886.5314729317965
0,945,-5644.417059643751
0,1021,-2126.8763956183334
0,1026,-3258.934210584861
0,1069,-4291.656515107613
0,1123,-2024.0617844938859
0,1164,-1977.481516980247
0,1381,-7182.105784733232
0,1387,-4195.803890384326
0,1465,-6471.259803454011
0,1578,-5772.752407330708
0,1666,-5506.709263731765
0,1783,-4525.993883081908
0,1855,-3585.559427257233
0,1889,-4666.4148826837
0,1897,-3794.8777826919077
0,1917,-6834.1001847778325
0,1956,-2976.649825738661
0,2044,-2450.125725437058
0,2045,-4418.7974125584915
1,65,-1193.2774250481111
1,117,-706.6708564767602
1,138,-1112.502588932519
1,173,-573.4943610352371
1,230,-585.5925020609614
1,306,-1414.3613561408185
1,327,-919.4548594118625
1,564,-1479.9405220571944
1,659,-1022.521505196551
1,661,-431.91824972679836
1,929,-1156.3037406710446
1,1151,-330.9623587280037
1,1230,-480.45680163025713
1,1364,-1028.456128393826
1,1557,-3256.2761472536154
1,1707,-762.3259872259641
2,9,-11630.731186060804
2,24,-3685.263704677284
2,116,-5581.319753532147
2,126,-3495.843080168853
2,139,-5428.673886172397
2,145,-3601.68475054504
2,352,-4423.176512046784
2,373,-4255.380859296568
2,584,-6666.822863151067
2,688,-4052.4990489371617
2,696,-3492.043580190525
2,798,-2627.969193817083
2,847,-10174.476150151697
2,877,-2826.774735962258
2,970,-6995.419890315306
2,985,-2942.5891487390872
2,1093,-3068.283554094059
2,1198,-4998.64267285797
2,1217,-2543.67903845305
2,1234,-3214.3068422551696
2,1256,-2582.5061991751595
2,1353,-4820.743386678597
2,1400,-2045.1037477154734
2,1401,-4335.825827962355
2,1488,-7740.706374707247
2,1528,-3317.3526969219893
2,1558,-5774.4005221985835
2,1759,-4222.242023252259
2,1826,-7524.220891048258
2,1839,-6105.3265387997235
2,1899,-3571.598428087267
2,1920,-2293.3308911023587
2,1985,-5197.735431391165
2,2003,-4824.434865255842
3,37,-6754.746096037583
3,57,-6151.46099877953
3,80,-10490.41927628714
3,239,-2518.3402269865574
3,276,-6251.244514570459
3,333,-4282.3542519024495
3,372,-4620.554237457552
3,397,-4966.051040143813
3,442,-6583.184859681359
3,527,-2749.0123516347862
3,596,-10758.316049205145
3,651,-6017.373872252433
3,735,-10291.213530657973
3,740,-6583.0430871799
3,777,-5168.318012032771
3,797,-3534.4982779514116
3,812,-4315.053481149426
3,875,-6833.026407209864
3,896,-2590.1930622059067
3,1012,-5277.453725159823
3,1131,-3429.5678820376284
3,1139,-10869.671644496166
3,1371,-10883.287041596142
3,1474,-6505.99049341164
3,1485,-5888.8284127841225
3,1501,-10031.841066860068
3,1554,-7731.698867109461
3,1599,-3735.3603900612075
3,1604,-4989.9136030647205
3,1612,-2563.1498497664456
3,1818,-10097.478076274556
3,1898,-6495.50424770248
3,1961,-2399.149012763554
3,1973,-9477.12097526752
3,1991,-6052.793490368281
3,2008,-4721.385209677963
