section,file,seed,sdim,se,mds
seed_stability,report_2048_rho1p16_a2p55_b1p40_seed41.json,41,-0.09586062585130585,0.0005457048925257617,0.9370526580061734
seed_stability,report_2048_rho1p16_a2p55_b1p40_seed42.json,42,-0.09566179931236368,0.00037997681789172366,0.9370526580061734
seed_stability,report_2048_rho1p16_a2p55_b1p40_seed43.json,43,-0.09645392582430813,0.0003725533353185491,0.9370526580061734
seed_stability,report_2048_rho1p16_a2p55_b1p40_seed44.json,44,-0.09606614712551464,0.0005787545209076137,0.9370526580061734
seed_stability,report_2048_rho1p16_a2p55_b1p40_seed45.json,45,-0.09641990586182125,0.0005349003208889564,0.9370526580061734
seed_stability,report_2048_rho1p16_a2p55_b1p40_seed73.json,73,-0.09580885815868719,0.00037677249265816013,0.9370526580061734
seed_stability,report_2048_rho1p16_a2p55_b1p40_seed97.json,97,-0.09583934111514464,0.000421289538157661,0.9370526580061734
