n,d_eff_med,m2_eff_med,A_med,count,tmin,tmax
2048,1.9999402877994776,-1.3588332037619952,0.1800543922794847,1,0.007,0.02
4096,1.9997885717852935,-0.8147565370888511,0.5859843357014267,1,0.007,0.02
8192,1.9997807943467114,-0.8709486900718137,1.064866216069288,1,0.007,0.02
