step,node,omega_dimless,phi,spin,omega_obs_Hz,phi_obs_rad
950,1,-0.09806413,6.282635513833,1,-1.592193e+23,-0.000549793346
950,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
950,3,0.09806413,4.189339998133,1,-1.307807e+23,-2.093845309047
1000,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1000,1,-0.09527590,6.282618323489,1,-1.588150e+23,-0.000566983691
1000,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1000,3,0.09527590,4.189357188477,1,-1.311850e+23,-2.093828118702
1050,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1050,1,-0.09248189,6.282602142790,1,-1.584099e+23,-0.000583164390
1050,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1050,3,0.09248189,4.189373369176,1,-1.315901e+23,-2.093811938003
1100,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1100,1,-0.08968206,6.282586946186,1,-1.580039e+23,-0.000598360994
1100,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1100,3,0.08968206,4.189388565780,1,-1.319961e+23,-2.093796741399
1150,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1150,1,-0.08687637,6.282572707772,1,-1.575971e+23,-0.000612599408
1150,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1150,3,0.08687637,4.189402804194,1,-1.324029e+23,-2.093782502986
1200,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1200,1,-0.08406478,6.282559401291,1,-1.571894e+23,-0.000625905889
1200,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1200,3,0.08406478,4.189416110675,1,-1.328106e+23,-2.093769196504
1250,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1250,1,-0.08124725,6.282547000134,1,-1.567809e+23,-0.000638307046
1250,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1250,3,0.08124725,4.189428511832,1,-1.332191e+23,-2.093756795347
1300,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1300,1,-0.07842374,6.282535477345,1,-1.563714e+23,-0.000649829835
1300,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1300,3,0.07842374,4.189440034621,1,-1.336286e+23,-2.093745272558
1350,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1350,1,-0.07559421,6.282524805622,1,-1.559612e+23,-0.000660501558
1350,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1350,3,0.07559421,4.189450706344,1,-1.340388e+23,-2.093734600836
1400,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1400,1,-0.07275863,6.282514957320,1,-1.555500e+23,-0.000670349860
1400,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1400,3,0.07275863,4.189460554646,1,-1.344500e+23,-2.093724752533
1450,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1450,1,-0.06991696,6.282505904452,1,-1.551380e+23,-0.000679402728
1450,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1450,3,0.06991696,4.189469607514,1,-1.348620e+23,-2.093715699666
1500,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1500,1,-0.06706915,6.282497618695,1,-1.547250e+23,-0.000687688484
