node,mean_kappa_forman
0,-32916.90317792532
16,-21310.726964225636
135,-18993.116606514028
158,-49623.81456197212
169,-33400.41155633433
318,-36375.83614344608
342,-20947.24071161003
348,-42603.55003156126
377,-42703.06536904267
495,-40211.50936081498
677,-15146.797302409648
715,-16127.702984505791
769,-49442.17058039069
832,-35732.850951966124
855,-31187.853285607485
872,-34463.4658734141
945,-39440.51548175546
1021,-27765.3061416057
1026,-19922.508378902196
1069,-34320.76563039271
1123,-37184.82911606678
1164,-29064.76146077211
1387,-19167.724136943812
1465,-39226.56778987291
1666,-33570.976600513255
1783,-22761.47971732492
1855,-26034.46027708958
1889,-29669.072568820324
1897,-22741.57736991109
1917,-23788.867030373556
1956,-46337.83431598868
2044,-24721.308330100328
2045,-37531.77115750159
2131,-47525.02046924623
2160,-44807.50894872935
2229,-23008.824890010605
2295,-24551.84005138518
2328,-31333.26907118155
2341,-33012.93734766056
2401,-34721.21254771148
2502,-21320.630038045067
2594,-23443.841989656536
2700,-50225.59910791826
2776,-18121.8186367636
2808,-23377.252877478226
2834,-52905.63317449961
2977,-26628.09473115958
2997,-22809.129496925623
3040,-43934.587773051324
3042,-18295.64050789279
3149,-47444.56210215394
3181,-17130.686849289636
3218,-41170.76789774189
3235,-24910.314341632824
3340,-25525.99460681371
3393,-42802.54762983142
3561,-31735.990928355004
3572,-37372.06073473278
3576,-24244.117862979292
3620,-28442.933723390142
3627,-15596.996910267242
3632,-37600.26713771641
3754,-25665.45622684003
3779,-20197.66280761288
3782,-23063.129471706427
3794,-34199.63972856731
3905,-33912.18408042691
3933,-15718.33866132322
3971,-24297.481325628676
3979,-48934.16294343715
4010,-26947.230997117855
1,-9236.374322460324
65,-4115.298387562688
117,-2258.1869280681553
138,-5311.447210622802
173,-7950.324227289956
230,-8812.713235304507
306,-5780.294358838269
327,-16271.247586318355
564,-16187.588613284466
659,-4260.341528622645
661,-11251.179656926684
929,-5335.052714825056
1151,-7760.92837438359
1230,-3324.0768647076666
1364,-13081.237606779625
1557,-25934.172650563563
1707,-3764.344261142081
2079,-8136.486629553827
2644,-8168.399998914941
2689,-6636.119221313704
2723,-6767.072903414912
2744,-8899.302880020074
2853,-8620.448729276713
2855,-7348.85557505926
2910,-26653.396355227054
3162,-22186.986099911916
3168,-12483.065298791185
3170,-16741.977205661653
3189,-8676.571997808967
3279,-13022.690846900769
3336,-8645.812621106697
3439,-7476.465230561533
3696,-12456.697648079527
3887,-5808.629403322264
3920,-15253.660168275095
3957,-6076.442658039167
2,-38157.34443038891
24,-27602.875127515334
116,-29390.389709727464
126,-48583.73704734647
139,-19928.076123378964
145,-39607.46318009942
352,-23412.70468477927
373,-41779.53934956753
584,-38172.551933618975
688,-42468.53067804771
696,-51317.661170973806
798,-37394.90908486325
847,-59285.00348373149
877,-49039.5306273309
970,-40581.571792074705
985,-57160.3882610395
1093,-29345.169734188654
1198,-27582.21049520614
1217,-42794.057475283626
1234,-54500.315767459804
1256,-52344.86175240856
1353,-47801.48610154952
1400,-45906.37993653367
1401,-61580.99802653599
1488,-55922.97272710981
1528,-24387.36125517587
1558,-34164.33602221541
1659,-20655.52234577263
1759,-41054.10050128297
1839,-36905.28780767195
1899,-31679.413501102375
1920,-43377.56626676989
1985,-53086.70423304016
2003,-34559.502083818224
2059,-47080.80485221143
2106,-34794.70372151973
2141,-40987.4620124031
2322,-52155.77240206896
2327,-52329.001274437775
