n,dim,tau_q,tau,stress
8192,2,0.97,7.306210909142901e-07,nan
8192,3,0.97,7.306210909142901e-07,nan
8192,4,0.97,7.306210909142901e-07,nan
8192,5,0.97,7.306210909142901e-07,nan
8192,6,0.97,7.306210909142901e-07,nan
8192,7,0.97,7.306210909142901e-07,nan
8192,8,0.97,7.306210909142901e-07,nan
