i,j,kappa_forman
0,16,-27243.502889179792
0,29,-214738.74075526703
0,53,-150217.56473439114
0,93,-245436.57789941985
0,130,-88343.02749589
0,135,-18831.879777597922
0,158,-24552.89068727894
0,169,-71211.3100681405
0,193,-162218.80651603488
0,213,-233480.44991626855
0,315,-84478.21611591136
0,318,-71467.84054787585
0,325,-203123.09854998742
0,342,-34916.2335867433
0,348,-51115.66889563012
0,367,-118449.37544150431
0,377,-36513.423383998466
0,434,-201560.0258945273
0,458,-77151.05702392384
0,489,-72905.04142487916
0,495,-76432.6509517716
0,505,-154336.01343463265
0,555,-419393.2313364144
0,605,-181900.86567561352
0,619,-101350.61678691299
0,627,-287410.19125483936
0,677,-48568.83867871082
0,699,-139031.50453444276
0,715,-36785.646725185594
0,769,-43190.99808374134
0,789,-107904.35811082071
0,832,-14828.414928048915
0,833,-89610.51488409367
0,838,-99603.6084662755
0,849,-167444.51872012104
0,855,-75015.05078366486
0,872,-20760.876760737498
0,892,-407140.71377866535
0,900,-379027.2782911346
0,922,-91013.50747591109
0,942,-163076.13385157686
0,945,-61749.55312572184
0,952,-282253.39811680675
0,974,-75976.07665638173
0,1011,-87653.26037199654
0,1021,-25847.277996998284
0,1026,-32498.252716635896
0,1051,-234478.7415760107
0,1054,-113473.58639995074
0,1069,-52709.77456415309
0,1085,-208303.36211658354
0,1116,-219777.88060423644
0,1123,-18015.725435483877
0,1164,-19048.756972067822
0,1179,-104688.24594628933
0,1189,-142224.32164033674
0,1257,-135759.85077705703
0,1272,-83404.24168633744
0,1300,-78458.82450050126
0,1326,-97016.67446625934
0,1338,-237251.8310968811
0,1381,-70433.53876126083
0,1387,-40910.03540919872
0,1407,-108595.65676106256
0,1410,-166921.1319368132
0,1436,-150601.48716882442
0,1448,-184558.6159668697
0,1465,-74756.91825063847
0,1483,-251142.89010475637
0,1504,-84888.53588634304
0,1505,-340637.40828979213
0,1578,-49238.654484633116
0,1604,-227494.58182342397
0,1666,-51580.799683219455
0,1687,-61152.39995890727
0,1699,-108276.37434414304
0,1700,-340295.1134639836
0,1713,-411207.44198830664
0,1738,-126993.82789809885
0,1773,-113218.20325232267
0,1779,-237169.11861616594
0,1783,-42443.45014293104
0,1793,-147351.78798043006
0,1812,-131516.33945180228
0,1815,-161523.52440975126
0,1855,-30785.157883458854
0,1889,-41152.32279560722
0,1897,-40348.6619211466
0,1910,-173996.84625622953
0,1912,-85579.12011805386
0,1917,-62457.24211905146
0,1956,-21760.68373148743
0,1999,-189476.88181695098
0,2012,-491219.09445525054
0,2017,-251671.6717936239
0,2044,-21361.14476232726
0,2045,-54951.89148492667
1,24,-72769.40876719047
1,65,-13782.096398465777
1,111,-29936.339172395543
1,117,-8816.163465776366
1,125,-60227.44450166383
1,138,-11883.570658461633
1,139,-113367.73844799641
1,173,-6752.186515388342
1,230,-7567.477084953186
1,262,-18206.37483006812
1,280,-65454.65652539573
1,306,-15408.371482594166
1,313,-48767.462188605125
1,327,-12844.652224133408
1,421,-38688.9148344648
1,474,-115171.940315405
1,541,-31860.528536710568
1,564,-17361.659531039855
1,659,-10649.798564341616
1,661,-3998.9706925855317
1,686,-58444.383845192846
1,687,-163461.71954310406
1,798,-161071.44416507432
1,836,-66110.55311808828
1,848,-40869.70426031753
1,862,-132551.38211678228
1,929,-14598.191420138373
1,1093,-171150.826205024
1,1151,-3780.502030038629
1,1159,-94061.79924292571
1,1198,-197622.81549097266
1,1230,-4646.490358780432
1,1364,-13628.718612818588
1,1403,-53161.51600005622
1,1428,-15741.269409777296
1,1528,-124891.76294540516
1,1557,-29086.52687345762
1,1558,-155020.56419423645
1,1692,-32616.992834573208
1,1707,-9033.712146654892
1,1824,-37312.93467855084
1,1847,-34416.43161086976
1,1902,-30130.947812232742
1,1930,-27310.199230445483
1,1981,-70154.15831091697
1,2003,-237647.03937758604
2,9,-115097.47332638386
2,24,-39082.57935952928
2,29,-213300.03176827607
2,44,-190577.12800291335
2,54,-86874.40232521851
2,116,-72074.84294212454
2,126,-35101.8669945742
2,139,-63398.13047106833
2,145,-38837.369923549864
2,156,-330573.66273925424
2,160,-161772.98456760863
2,208,-275428.65584614576
2,216,-122286.22038215703
2,327,-130261.25176086447
2,352,-48365.140513163184
2,373,-46882.29516691107
2,421,-113458.01551509136
2,472,-183357.89123120063
2,474,-226597.56975278264
2,495,-119602.94628794507
2,564,-161297.1104725595
2,584,-70518.04858896673
2,629,-72981.17437888311
2,678,-217316.11808591706
2,686,-175735.68724959384
2,688,-39861.32233636674
2,693,-221912.05266973047
2,696,-35603.824347409594
2,721,-309255.3037083802
2,741,-157048.90519771562
2,769,-222470.5769387059
2,798,-28200.448769421702
2,810,-77519.4010251551
2,847,-114217.89142487233
2,862,-199655.05821459382
2,872,-256089.83007907134
2,877,-31507.411703373193
2,907,-212337.01916859963
2,912,-298821.8602548207
2,933,-394940.8877837913
2,943,-99447.89078179063
2,945,-287670.7689011753
2,970,-66652.97166246295
2,985,-35390.29107638863
2,1003,-340694.2576735847
2,1040,-294815.66214428056
2,1045,-342152.89501262776
2,1055,-109205.74318171784
2,1069,-130898.64752559773
2,1079,-94694.2432767362
2,1093,-29438.987197797782
2,1096,-78685.28191097832
2,1159,-174081.263255822
2,1174,-137299.22934500064
2,1189,-191962.32410786278
2,1198,-51205.00178793786
2,1207,-468707.07852127665
2,1214,-285038.0862735803
2,1217,-27846.475416515583
2,1232,-189824.36281762228
2,1234,-36300.53928174791
2,1245,-120202.72975669922
2,1249,-187560.80975616063
2,1256,-27971.53357341937
2,1271,-316693.44775025203
2,1272,-300132.4892651023
2,1283,-502300.1755487385
2,1320,-130102.62499234463
2,1351,-113002.22054760726
2,1353,-55440.97208792393
2,1355,-117188.60064731624
2,1385,-205075.92207933438
2,1400,-21656.642957440723
2,1401,-44359.46717633579
2,1408,-276886.0254895771
2,1453,-513957.3292541714
2,1465,-180466.67815817767
2,1488,-84100.15968724006
2,1501,-323458.70220114756
2,1505,-154303.47570640655
2,1528,-37272.98080918561
2,1557,-72372.8103552765
2,1558,-59670.55448258095
2,1590,-392047.7923397918
2,1632,-559683.259470039
