beta,var,sdim_n4096
1.45,0.0,-0.04355912093253635
1.47,0.0,-0.043496354913023755
1.49,0.0,-0.04349689645765189
1.5,0.0,-0.04355970028418384
1.51,0.0,-0.04349830722783982
1.53,0.0,-0.0435005399433075
1.55,0.0,-0.04350354939497301
1.56,0.0,-0.04350532396740405
