n,dim,tau_q,tau,stress
4096,2,0.97,4.542794973392157e-05,nan
4096,3,0.97,4.542794973392157e-05,nan
4096,4,0.97,4.542794973392157e-05,nan
4096,5,0.97,4.542794973392157e-05,nan
4096,6,0.97,4.542794973392157e-05,nan
4096,7,0.97,4.542794973392157e-05,nan
4096,8,0.97,4.542794973392157e-05,nan
