node,kappa_forman_node,deg,deg_w
0,-2401.216205764292,16,3.450313480640669
1,-406.646971922788,7,1.8230497065372657
2,-2996.458669695278,18,3.422773397939103
3,-2804.875016484347,15,2.412644694469305
4,-2274.456272626906,15,3.365788309447736
5,-1691.7699167569083,13,3.23199280126573
6,-4134.02393326696,21,4.297817569377576
7,-75.36670829185817,3,0.6215400175164429
8,0.0,0,0.0
9,-1345.0513658173227,12,2.8591396906038704
10,0.0,0,0.0
11,-5.7668709177733986,1,0.5846580860809436
12,-17.47871796565758,1,0.12446761613912476
13,-750.6696086801945,8,1.2702019382426386
14,-2337.0269477934153,14,2.156173184284253
15,-3531.989067531412,19,3.766936042715603
16,-975.568599395156,11,2.5517404916256243
17,-1959.9226472175121,14,2.163036666127862
18,-104.49340006478855,4,0.8334334635617142
19,-441.9429844321609,6,0.8595887467709534
20,-871.4004046822553,9,1.32828791449118
21,-1094.7207137740104,9,1.7849818329649414
22,-59.89654447610373,2,0.16496006365459315
23,-1670.3129835734758,13,2.40701330472051
24,-582.4211224747839,7,1.3931531295444606
25,-59.753586685647115,3,0.6460709976755614
26,-6433.077857664429,28,5.474261724177109
27,0.0,0,0.0
28,-869.133010759913,10,1.82573939476972
29,-1185.297005596277,10,1.8463520023027946
30,-2291.8438928745536,17,5.20372403720984
31,0.0,0,0.0
32,-1003.4114698387846,10,1.9377144170832543
33,-1042.6396308321423,11,3.3970348509751
34,-223.1572808075386,6,1.431817610390127
35,-263.11143592393694,6,1.6520918304442413
36,-237.71136388333966,5,1.1101328081411868
37,-4428.124156188947,21,3.4894064201425157
38,-1231.8819988338716,11,2.1556492492692514
39,-311.1063075858369,5,0.6777879712338035
40,0.0,0,0.0
41,0.0,0,0.0
42,-480.97110962740624,8,1.8548591264105465
43,-2392.2605548410693,17,4.24595805073536
44,-1143.872987424305,11,2.307310034529906
45,-213.52956597532062,4,0.39614912239703626
46,-1568.0899108955516,13,2.281595703531342
47,-301.85796533576195,6,1.266059948500154
48,-4520.625280975395,21,3.98840351736916
49,-1975.832209207158,13,2.1303187957083893
50,-750.8701729155885,8,0.97088557573843
51,-14.138022370745567,2,0.6415704770428357
52,2.0,1,0.19327505169255563
53,-3115.3133796305415,17,2.3954988673339224
54,-2769.038082441169,17,3.3452954987176367
55,-205.70673832805122,5,0.6605894287568886
56,-4054.102284552879,19,3.2296579429443746
57,-2721.2612468612188,14,1.87007154053996
58,-349.5372116059859,6,0.9834129253493631
59,-49.04587580144677,3,0.4795812258478689
60,-2027.1412952295939,15,3.3210686474685693
61,0.0,0,0.0
62,-233.3057940041145,4,0.4310668164551873
