node,mean_kappa_forman
0,-249264496.9700504
16,-210555127.4168728
29,-297875640.25275785
53,-215336239.9013739
93,-181656280.24698752
130,-216553827.04471987
135,-185570700.33129868
158,-392643606.664254
169,-199083542.00731608
193,-246884371.88852453
213,-264793821.4201067
312,-305095090.4034532
315,-195512564.59597507
318,-253421130.88631675
325,-177422654.30537903
342,-131757980.18401417
348,-254302100.10506657
367,-283089740.1704126
377,-286402997.958131
434,-319348156.34208006
458,-158520236.77472606
489,-199680863.17459399
495,-202527320.93649548
505,-123761978.07833438
555,-536445861.53266424
605,-214895108.48508555
619,-104240949.71466644
627,-219164867.1039518
666,-346002822.8628377
677,-103803287.4010291
699,-104922625.22140326
715,-101061358.17167664
769,-298754394.9430307
789,-200570965.35006863
832,-221952247.26268658
833,-81554277.76280323
838,-187922169.29298022
849,-233477362.64748135
855,-253362358.65695897
872,-257667971.9038963
892,-494667579.9826859
900,-355755512.81127846
922,-269560846.7197479
942,-265518771.47831112
945,-289469293.8168408
952,-369876736.42074376
974,-163553977.52995282
1011,-119619492.4008399
1021,-263527919.92625192
1026,-130002214.62261073
1051,-224364724.0431664
1054,-131497026.55770557
1069,-251562846.80937427
1085,-304057466.3174679
1116,-104461836.85042083
1123,-293756474.775494
1164,-185461516.92950377
1179,-246437064.65608305
1189,-341065103.83257174
1257,-321726739.64514244
1272,-198460446.62186074
1300,-301410328.12456065
1326,-133836176.88987735
1338,-286661597.4380047
1381,-293968251.7860076
1387,-194282549.54164535
1397,-317422651.5335096
1407,-76603908.42220803
1410,-92461676.32842843
1436,-159127470.31972405
1465,-326549789.27066076
1483,-201567080.0953802
1504,-279882245.1567114
1578,-166605174.01805228
1604,-337077093.64771914
1666,-269957770.2981735
1687,-88349296.47691585
1699,-178676937.41515008
1700,-221953019.62234682
1713,-326023056.60442734
1738,-79838679.60228445
1773,-226731105.22119987
1779,-311772941.03449595
1783,-123732259.30949657
1793,-195761152.812429
1812,-355464897.0197889
1815,-128388311.18820848
1855,-184814324.85187674
1889,-259165388.84017742
1897,-261592812.19775507
1910,-234679986.82269967
1912,-148210524.36566186
1917,-221909811.41046318
1956,-278834848.6851237
1999,-203576434.01887244
2017,-494958503.7441971
2044,-123740924.01046367
2045,-259777564.19779006
2059,-274363404.1494022
2060,-71902802.2123569
2131,-384317853.30535376
2151,-218790759.79613
2160,-287824942.9321316
2207,-173616974.07148042
2229,-129965416.68162645
2240,-368866881.34788996
2295,-196288606.8100795
2296,-200446768.7925645
2328,-223605301.89166775
2341,-240157495.13092792
2374,-366761682.08757085
2387,-135908245.34792054
2401,-271271307.75928015
2403,-169087240.94750953
2473,-140211187.18601167
2491,-105089966.74662095
2502,-140767567.73853987
2514,-204005907.8943978
2522,-315766144.38232374
2551,-194273920.6794243
2564,-169636049.5130253
2569,-233459700.68151248
2585,-82277966.33904535
2592,-248997909.47505942
2594,-162958746.26204124
2628,-398520046.2786406
2638,-183216004.9554786
2700,-281937890.6298734
2715,-227922173.9336315
2727,-166409933.2729077
2776,-107522546.99183354
2778,-177091349.14154628
2808,-207295322.77589136
2834,-373990027.3692774
2839,-127322536.13034476
2893,-71946570.2128744
2926,-259777382.96641302
2943,-215417481.22433096
2977,-176436393.9138481
2997,-134737026.32658377
3037,-374842089.49111265
3040,-305746128.7964685
3042,-124492505.2837838
3068,-341298239.5848001
3084,-279111724.70761716
3109,-154774903.26160273
3123,-110042728.48304762
3128,-170458663.13190517
3149,-352345423.3486077
3157,-257135854.8627464
3181,-123811650.20335
3182,-132476568.29055119
3187,-349264074.79050326
3218,-294511728.9314546
3230,-105055023.47956465
3235,-192142013.06347165
3274,-234235826.99640554
3340,-236107502.53436667
3393,-324802323.37865496
3461,-452787092.9956031
3508,-308181802.1934765
3517,-199458138.41117024
3544,-362472317.4050851
3561,-168302890.66779685
3572,-289340773.44042796
3576,-242288563.075195
3579,-107699225.11020987
3620,-235127957.91950586
3627,-117505596.66507721
3632,-263676554.73219264
3635,-85435627.59075385
3644,-205080765.9851362
3646,-303957912.2820139
3739,-118392553.74857883
3749,-377433219.4321544
3754,-146355364.69890296
3772,-280801136.36661273
3779,-110484889.51824255
3782,-144459465.65236685
3793,-228239359.86993107
3794,-216896235.6090417
3796,-430976868.9246013
3815,-217696495.50532523
3836,-80650484.96321732
3838,-210998545.23853037
3842,-299123890.45496637
3879,-202592669.54890805
3905,-243705608.50053674
3933,-147777304.66950643
3946,-280574493.71594715
3964,-317914825.89561826
3971,-182824212.911069
3979,-335833243.2441084
4010,-188111331.05398318
4036,-490119104.36746264
4060,-221154901.6082375
4061,-89068891.15039316
4085,-320997689.947256
4124,-270296648.1201012
4165,-140197377.13768584
4189,-328197323.37525207
4197,-190843940.33227083
4199,-142946503.7376383
4200,-246082837.13856852
4217,-280368561.89328223
4233,-158678105.43380937
4241,-292996658.63353735
4243,-262233641.0698481
4252,-257833092.25081906
4253,-99474263.02196424
4322,-235373181.7022351
4323,-195201690.59972292
4332,-139032447.4632977
4351,-219063339.5056496
4353,-98043840.36253789
4421,-92699419.06117588
4439,-215932051.4818315
4461,-216813126.7867504
4503,-94922502.25595415
4512,-218543719.3682774
4523,-277635623.87737423
4531,-132833939.64107236
4564,-164426331.42835575
4571,-360356989.39942
4606,-336369367.55033576
4616,-187695706.08384484
4621,-278054463.16417986
4674,-334763297.08632964
4738,-319005835.79973555
4793,-122812654.04080652
4794,-134639882.1824556
4802,-165826883.28936076
4852,-72909628.7989682
4866,-248165164.97158873
4877,-298130387.76192737
4899,-123944391.66675636
4900,-288248139.3461702
4905,-211831491.61774904
4914,-244025711.52783033
4925,-140728238.933902
4951,-144131549.70726603
4991,-311063016.1710308
5064,-258490790.65833288
5069,-110896817.60111712
5073,-116636870.56200802
5092,-144060129.68485594
5160,-302616059.2804139
5170,-169058545.94908434
5195,-150179881.0860729
5242,-251132678.35401043
5251,-307871960.4247499
5255,-190501454.85656932
5285,-288639099.81803447
5290,-154566052.66171658
