i,curv
499,1412.0
500,4.0
501,0.0
502,145.0
503,616.0
504,1691.0
505,725.0
506,195.0
507,3519.0
508,5652.0
509,36.0
510,1223.0
511,133.0
512,174.0
513,1266.0
514,153.0
515,5093.0
516,1337.0
517,658.0
518,1.0
519,626.0
520,97.0
521,0.0
522,343.0
523,8.0
524,702.0
525,710.0
526,366.0
527,3226.0
528,1296.0
529,165.0
530,3185.0
531,0.0
532,2206.0
533,2332.0
534,4661.0
535,2.0
536,1818.0
537,378.0
538,9.0
539,19.0
540,2174.0
541,92.0
542,938.0
543,68.0
544,2879.0
545,1191.0
546,135.0
547,5832.0
548,220.0
549,0.0
550,295.0
551,6.0
552,418.0
553,2979.0
554,4604.0
555,4441.0
556,12.0
557,270.0
558,601.0
559,1153.0
560,685.0
561,91.0
562,357.0
563,5.0
564,1298.0
565,16.0
566,330.0
567,2.0
568,0.0
569,7.0
570,669.0
571,171.0
572,65.0
573,118.0
574,553.0
575,672.0
576,692.0
577,1024.0
578,661.0
579,843.0
580,2025.0
581,56.0
582,2386.0
583,1283.0
584,4325.0
585,1613.0
586,218.0
587,260.0
588,151.0
589,505.0
590,24.0
591,52.0
592,409.0
593,0.0
594,824.0
595,264.0
596,3905.0
597,422.0
598,1104.0
599,2879.0
600,535.0
601,4527.0
602,2127.0
603,872.0
604,0.0
605,1432.0
606,271.0
607,0.0
608,83.0
609,441.0
610,1015.0
611,3629.0
612,2652.0
613,5785.0
614,255.0
615,583.0
616,206.0
617,75.0
618,1895.0
619,708.0
620,279.0
621,3.0
622,1438.0
623,3317.0
624,186.0
625,48.0
626,0.0
627,1571.0
628,3012.0
629,1663.0
630,174.0
631,75.0
632,57.0
633,1457.0
634,0.0
635,828.0
636,2914.0
637,3695.0
638,1.0
639,100.0
640,2606.0
641,501.0
642,1073.0
643,886.0
644,2.0
645,180.0
646,720.0
647,3595.0
648,3418.0
649,0.0
650,2572.0
651,1430.0
652,31.0
653,131.0
654,1913.0
655,4999.0
656,76.0
657,397.0
658,1673.0
659,96.0
660,2812.0
661,549.0
662,2987.0
663,71.0
664,784.0
665,2924.0
666,2977.0
667,1900.0
668,332.0
669,8.0
670,2.0
671,214.0
672,0.0
673,5587.0
674,457.0
675,600.0
676,520.0
677,524.0
678,2722.0
679,11.0
680,4565.0
681,465.0
682,1430.0
683,5.0
684,449.0
685,2786.0
686,162.0
687,1390.0
688,1346.0
689,26.0
690,711.0
691,3597.0
692,521.0
693,1112.0
694,2820.0
695,28.0
696,3776.0
697,393.0
698,667.0
699,704.0
700,1329.0
701,101.0
702,11.0
703,137.0
704,5.0
705,2171.0
706,80.0
707,1639.0
708,81.0
709,103.0
710,202.0
711,3058.0
712,302.0
713,3956.0
714,259.0
715,740.0
716,874.0
717,905.0
718,220.0
719,31.0
720,1055.0
721,3335.0
722,117.0
723,1246.0
724,4.0
725,176.0
726,1805.0
727,30.0
728,1628.0
729,1184.0
730,377.0
731,358.0
732,9.0
733,354.0
734,44.0
735,3620.0
736,0.0
737,65.0
738,28.0
739,271.0
740,2392.0
741,355.0
742,0.0
743,1554.0
744,193.0
745,3222.0
746,48.0
747,2149.0
748,1531.0
749,436.0
750,2093.0
751,781.0
752,1255.0
753,3156.0
754,4991.0
755,29.0
756,260.0
757,1281.0
758,0.0
759,594.0
760,0.0
761,704.0
762,59.0
763,259.0
764,226.0
765,388.0
766,1182.0
767,64.0
768,116.0
769,3058.0
770,5129.0
771,4760.0
772,3377.0
773,128.0
774,68.0
775,348.0
776,208.0
777,1338.0
778,1681.0
779,373.0
780,3307.0
781,444.0
782,3149.0
783,97.0
784,4442.0
785,195.0
786,228.0
787,45.0
788,858.0
789,1714.0
790,408.0
791,102.0
792,1172.0
793,562.0
794,117.0
795,1842.0
796,875.0
797,3102.0
798,2740.0
799,6.0
800,573.0
801,447.0
802,1488.0
803,307.0
804,158.0
805,1276.0
806,1606.0
807,259.0
808,250.0
809,111.0
810,655.0
811,696.0
812,2711.0
813,785.0
814,1187.0
815,4064.0
816,145.0
817,0.0
818,2810.0
819,0.0
820,57.0
821,100.0
822,794.0
823,360.0
824,265.0
825,344.0
826,684.0
827,645.0
828,335.0
829,57.0
830,1285.0
831,2282.0
832,2273.0
833,392.0
834,418.0
835,976.0
836,256.0
837,20.0
838,1295.0
839,56.0
840,391.0
841,42.0
842,791.0
843,0.0
844,13.0
845,99.0
846,251.0
847,3574.0
848,79.0
849,2891.0
850,666.0
851,2382.0
852,2942.0
853,53.0
854,21.0
855,2111.0
856,159.0
857,788.0
858,293.0
859,1814.0
860,3008.0
861,577.0
862,2127.0
863,3946.0
864,3641.0
865,21.0
866,31.0
867,487.0
868,1.0
869,19.0
870,1095.0
871,197.0
872,2306.0
873,2389.0
874,271.0
875,3933.0
876,137.0
877,2803.0
