i,j,kappa_oll,approx
654,1222,0.06732979245445458,0
1161,1929,0.016158034147479516,0
118,1454,-0.3183833606149602,0
494,1818,0.24711458409569553,0
733,1010,0.4925444706023375,0
1069,1084,0.023007251241109694,0
558,698,0.0582783417384507,0
1108,1310,0.010731362625209684,0
771,1806,0.30947843277071385,0
966,1805,0.046254579394146234,0
515,1192,-0.1477687683919362,0
44,1679,0.13133898788941278,0
1858,1907,0.07487001911138103,0
213,1375,-0.05487501663922445,0
14,1471,-0.06408431066893949,0
476,761,-0.29153286265616973,0
752,1233,-0.32649314645507577,0
780,1045,-0.06076579860323594,0
397,1363,0.2663975764380746,0
48,1964,0.024960705861685528,0
188,1735,0.06494376934037127,0
162,1258,-0.05786545645114316,0
583,720,-0.164054408499269,0
1560,1974,-0.08995376650582121,0
249,716,0.23556672597701545,0
461,684,-0.12987791949118943,0
622,1518,-0.16534346368921593,0
924,1473,0.12419147781189821,0
804,1582,0.040807276806352766,0
1268,1464,0.014715735907377403,0
1213,1796,0.08767301648536097,0
1355,1899,-0.09167461524552034,0
1088,1113,0.14663943211368735,0
993,1619,0.3918143868638867,0
1373,1498,-0.1616678595288603,0
555,691,0.2694588831575656,0
804,1405,-0.14659060668632673,0
1078,1816,0.16468716764047875,0
793,1950,-0.16844940380738538,0
1256,1920,0.5875132184015374,0
594,657,0.1830801271838265,0
113,1856,0.10022342196010814,0
1443,1889,0.0027419991844518377,0
42,1181,-0.02810136162400312,0
1164,1387,0.08197798709902537,0
747,1346,0.0837223322763544,0
1245,1985,-0.2229363965164768,0
890,1463,0.4504388011589817,0
449,1890,0.05290718302417352,0
1686,1782,0.1947632306570538,0
327,1847,0.11119793586810034,0
532,1066,0.04052742185745872,0
202,1964,0.14305577522790236,0
940,1217,0.12881071911212505,0
0,749,-0.16637543284970002,0
60,711,0.023815845503380006,0
435,1728,-0.2734887437350373,0
2007,2027,-0.3344263311302387,0
276,1400,-0.1741113044493665,0
702,976,0.09915764744284039,0
566,899,0.041523163319767575,0
377,1508,-0.2964890073384061,0
640,1796,-0.038778764106343955,0
849,985,-0.21956004968579035,0
92,1162,0.13502748120261798,0
1092,1292,0.24153227106329467,0
3,2014,0.1837031121928634,0
877,932,-0.01613271407151351,0
891,1929,-0.058851066559628906,0
1031,1820,0.08051298649015937,0
1610,1881,0.1523063182944201,0
360,694,0.14904516617254326,0
455,1404,0.17393888309477745,0
366,618,0.13847432625559652,0
812,1483,0.16693709505728838,0
59,1151,-0.11622616703922017,0
1377,1758,0.10458906257689604,0
1143,1711,0.5570135188469718,0
1426,1772,0.12286471327505466,0
341,1426,0.09500709609152713,0
364,816,-0.04691412044711307,0
89,1350,-0.2961892682105758,0
723,754,-0.15627314173833562,0
275,1023,0.24792952151276326,0
155,901,0.014363257120230899,0
1192,1257,0.38118275722548733,0
95,1477,0.11096101712036477,0
1320,1759,0.0502429279708565,0
954,1837,-0.08705296639007809,0
275,2043,-0.06556703548206588,0
1364,1930,-0.06752266656857686,0
1320,1723,0.17555629960109187,0
877,1573,-0.19922368849240524,0
140,1472,-0.01494494382218936,0
1700,1943,0.05362655338568667,0
241,1615,0.02488398563736538,0
94,1765,0.030207126472146628,0
265,597,-0.31215175594596634,0
18,890,-0.03721933177730663,0
922,1465,0.3710765432512697,0
327,764,-0.060374239116304684,0
1372,1884,-0.018592631035913465,0
312,964,0.10783507821937266,0
446,1928,0.1537373210270877,0
16,1326,-0.3474060442750744,0
373,1207,0.12480524400406667,0
1677,1973,-0.012220424032869381,0
138,1364,0.13235766948808503,0
705,879,-0.021723455894782084,0
873,1300,0.19591404043719918,0
16,1054,-0.025947699402167013,0
100,712,-0.07398662061291428,0
309,433,-0.2066805479886069,0
505,1648,-0.06585607781376024,0
489,1037,-0.26591793548157283,0
1134,1495,0.23586634639755977,0
145,188,0.021304667777834574,0
616,807,-0.5024393076872635,0
346,1091,-0.0932711770537269,0
447,1432,0.201985623214049,0
330,1926,0.13877644007250067,0
1575,1745,0.06836305790648056,0
811,1235,0.17298492661113796,0
325,1883,-0.22955505742657367,0
47,1777,0.15420031477735152,0
56,1472,0.11327560643087331,0
1248,1495,0.47747381824262725,0
373,1351,-0.2511963867571365,0
1745,1962,-0.17673018108148852,0
1437,1590,-0.013386111729966954,0
801,1344,0.3454565784384278,0
315,1164,-0.22594704239702512,0
471,662,-0.04772232608882909,0
262,1428,0.40108738495738583,0
74,905,0.12964163974870568,0
757,1342,0.036411899310374474,0
1461,1926,0.2659827544940716,0
795,1397,0.0411497320299421,0
950,1908,-0.0923112624777005,0
1130,1708,0.05608868739138706,0
678,1217,-0.05641256352751567,0
997,1911,0.147406372200917,0
1456,1942,0.04815869258009098,0
1439,1856,0.0507691962305824,0
83,740,-0.16179855103819052,0
474,1899,0.1382446674645197,0
348,840,-0.021670325984611827,0
599,849,0.056227656514584945,0
1030,2041,0.18852592623594377,0
1156,1562,0.21102406592581768,0
1519,1718,-0.007650710698249741,0
