i,j,kappa_ollivier
381,900,0.421396
317,2140,0.296416
847,3764,0.096796
2444,3460,0.233606
458,3572,0.0291286
1527,1889,-0.00967976
1895,1941,0.641639
1436,2846,0.0155769
2464,2831,0.107831
1691,2842,-0.226121
2906,3049,0.126431
534,3282,-0.0282333
1667,4086,0.139657
322,2461,0.140412
2106,2910,0.158014
3294,4030,0.130017
1626,3071,-0.0373869
1026,3572,-0.104211
90,2597,0.288258
1433,3328,-0.162506
773,2472,-0.150807
1829,3208,-0.153971
1838,3541,-0.325344
851,2209,-0.0100758
1401,1943,-0.194374
322,559,-0.182242
1423,3094,-0.0876521
2499,3486,-0.266916
1385,3865,0.239812
175,3284,0.296749
1580,3693,0.379893
1005,1794,-0.188281
666,2012,-0.0530194
404,2737,0.444554
1899,2327,-0.247162
293,3819,-0.542534
753,2718,-0.224049
3992,4023,0.116144
3035,3292,0.118891
56,494,-0.172636
143,503,-0.261192
1256,1453,-0.224415
877,1105,-0.0810898
418,1719,0.334316
2691,3202,-0.543462
726,3206,0.00450715
207,1967,-0.0249045
2595,3242,-0.0810853
735,2520,0.126133
2895,2906,0.193632
770,3327,-0.0136852
836,2853,0.0491379
1237,2891,0.087626
508,1370,-0.0824737
3018,3582,-0.0763221
5,4044,0.0796186
1013,3415,-0.175544
497,3275,-0.0308283
434,3066,-0.0601857
2464,3499,-0.0212895
905,3360,0.125836
613,636,-0.214393
365,1678,0.285234
72,1047,0.0607714
442,2765,0.575366
38,1629,-0.0392194
1383,3402,0.273224
858,2891,0.544854
2924,3683,-0.0643941
1219,2014,-0.0038378
43,1711,0.200949
613,966,0.102668
959,3431,0.380821
150,4044,0.186567
421,2079,-0.12922
1701,2839,-0.061134
2345,2482,-0.198395
374,2787,-0.0254456
186,4056,0.15472
2022,2028,0.0313098
1864,3295,-0.178735
1400,2790,0.249927
2263,3555,-0.0552323
2990,3002,0.0520183
361,1526,-0.242309
1887,2438,-0.192615
2195,3244,-0.480105
790,3683,0.333782
3284,3832,0.285716
121,2312,0.0153032
2318,3388,0.0898992
1116,2959,0.203403
1923,2686,-0.168694
85,1018,0.0943726
177,2595,0.308961
2038,2335,-0.0973131
1599,3399,0.0426327
1733,2831,-0.11569
358,795,0.204734
2113,3776,-0.0514526
1832,3825,0.193925
228,3679,0.256737
254,2508,0.48845
1213,3131,0.274158
3182,3262,0.012634
512,1496,-0.197907
193,4008,-0.0521663
420,2963,0.114766
1002,3504,-0.226745
3458,3992,0.239235
3675,3950,-0.762424
2883,3992,-0.156326
2538,3342,0.0971497
1228,1236,0.671388
1486,1959,0.179261
3037,4056,0.0139612
2380,3884,0.268159
1087,2029,0.0314798
1895,2207,0.180897
2208,2470,-0.0989396
3144,3157,-0.106869
1759,3949,-0.0660636
322,2660,0.0038157
375,3952,-0.154588
2568,3356,0.170684
769,1465,0.638272
1759,3969,0.239048
1885,2467,0.0284189
815,1829,0.0403308
1661,2599,-0.0390543
1283,3094,0.141826
1894,2420,0.0386349
1582,4040,-0.27895
1677,1999,-0.032819
309,2857,-0.00626413
1167,3732,-0.13088
1735,3461,-0.221784
1167,2013,-0.344087
921,2163,0.0240247
1453,2003,0.0105512
530,2029,0.0692419
2013,2147,0.221354
202,3947,0.0270148
292,1856,0.295343
273,2339,0.0735371
300,1532,0.41848
1772,1967,0.0281121
314,3065,0.416241
1443,3721,-0.044103
436,1870,0.360704
2612,3880,-0.330716
172,3861,0.0801134
2895,3658,-0.137794
2661,2708,0.00723165
2663,3163,0.282894
1241,3303,0.241296
404,4004,0.261264
1647,2337,0.38026
1361,4019,-0.123148
1712,2310,-0.258925
146,3907,0.368145
3075,3549,0.112323
1167,1171,-0.300051
1353,3859,0.0358932
341,374,0.224265
2804,3245,-0.301459
2221,3037,0.262705
754,3900,-0.350144
536,1691,0.368203
2058,3776,-0.104951
800,3128,0.150297
358,650,0.0297174
1347,3261,-0.0593791
2612,3896,0.00254717
1424,1626,0.176411
377,3632,0.146624
1019,2553,-0.251441
2769,4064,-0.211616
807,2818,0.103535
1752,3553,-0.514413
2657,3419,-0.0430269
3398,3966,0.164993
3262,4008,0.0602893
2615,3876,-0.232252
73,3399,0.210683
3193,3981,0.254734
966,2695,-0.0692536
80,3171,0.191612
636,2921,-0.147367
994,3137,-0.122083
1153,1556,-0.13569
1288,3415,-0.0234586
1351,4085,-0.221668
15,691,0.236715
640,887,0.106446
492,2010,-0.205699
2701,2901,-0.364934
1596,2699,0.14935
211,1508,-0.491091
487,3210,-0.247512
3680,3961,-0.216997
84,4095,-0.123753
294,4042,0.417734
2379,3943,-0.0989399
769,3838,0.310412
1464,3531,0.179043
1694,3797,0.00992265
1895,3551,0.461958
1294,1382,-0.0577758
547,1132,0.229869
1432,1714,0.0272707
1163,1704,-0.385915
1222,2402,0.0571021
2714,3969,0.414884
3022,3846,-0.0967005
272,770,-0.0223531
150,1888,0.0922136
540,1922,0.0344712
547,2941,0.232491
3329,4000,-0.178814
141,2963,-0.00188708
258,3107,0.440295
988,1929,0.0523094
1829,2885,0.356063
1716,2869,0.18568
2082,3361,0.20358
3163,3271,0.00869269
1823,3266,0.147295
1664,3680,0.148576
994,1396,0.265001
770,1805,0.680096
2253,3985,-0.140008
374,2822,-0.195697
1317,1829,0.218771
1758,3961,-0.0870255
366,3457,-0.124607
1041,3971,-0.192166
2980,3703,0.0514527
2088,2871,0.498777
2350,3854,-0.200631
1152,3171,0.246816
128,297,0.0772136
784,3133,-0.0366596
1564,3739,-0.498977
3063,3364,0.169496
156,1424,0.209661
18,227,-0.56116
722,2353,0.0334924
1115,1196,-0.0811581
751,1929,-0.00682828
468,1752,0.110855
924,1915,0.284674
1068,3724,0.0316216
1236,2331,0.200154
397,3813,0.0335702
19,576,0.475575
2156,3909,0.284933
1763,3202,-0.184677
618,1081,-0.16448
433,4023,0.0566738
1483,2403,-0.377945
2401,3235,0.129324
824,4073,-0.192442
2173,2410,0.0566965
2636,3293,-0.00283483
1364,3162,0.0280645
219,3701,-0.602158
1574,3396,0.469737
118,1887,-0.0469904
1796,3899,0.687105
49,3311,0.323613
1936,4021,0.0568733
245,4027,0.133879
1171,2380,-0.020722
2782,3037,-0.203648
1754,3750,0.185801
2765,2783,0.170937
1610,1654,-0.0339738
1684,3081,-0.01441
1068,2542,-0.0178961
377,555,-0.00412612
1613,2775,0.0764443
56,3543,0.372679
1223,2632,-0.0744192
605,2207,0.186329
3337,3605,0.180952
1937,3040,-0.0378821
1399,1681,-0.359475
279,1708,-0.163292
1797,3010,-0.0451227
348,3943,0.0922579
877,3031,0.254433
1793,2296,0.2578
2924,3193,0.0782517
1594,2418,0.176348
2333,3774,-0.0418552
248,2418,-0.20404
1569,3014,0.135656
1157,2104,-0.107517
1284,2659,-0.520903
790,4081,0.213504
1255,3036,0.0764251
592,3695,-0.124133
239,2692,-0.289851
2243,2600,0.269181
3683,3724,0.117152
375,1483,0.192129
2380,2413,0.216747
2241,3678,0.297379
682,757,-0.145765
1343,3844,-0.254447
1352,2685,0.376843
509,1480,-0.105942
851,2047,-0.0286985
336,339,0.0668376
506,2153,-0.237938
926,3363,0.0135033
693,2141,-0.00494994
611,2479,-0.121532
3099,4081,-0.0623703
530,2402,-0.105422
235,697,-0.00902036
624,1380,0.344211
3537,3731,0.204634
2135,4069,-0.0165406
1960,2963,0.172908
2682,3507,-0.545006
2821,3519,-0.0794125
1869,2955,0.268401
2690,3162,-0.175613
3755,3763,-0.146455
3461,3842,-0.0233713
1217,1400,0.133067
3525,3750,0.572088
1189,2131,0.348566
524,833,-0.309933
1812,3969,-0.177564
206,2067,-0.0989449
1985,3356,0.358693
1823,3665,-0.106328
3630,3843,-0.103373
1125,1476,0.101743
1002,3110,0.295638
2958,3346,-0.189908
158,1338,-0.297647
1354,3342,0.107326
2219,3810,-0.244356
231,1294,-0.0636455
1159,2384,0.013762
1944,3260,-0.169578
1887,3350,0.128275
103,1745,-0.128116
160,2926,0.151104
1427,3466,0.218558
1056,3386,-0.482034
241,1610,-0.293304
288,3068,-0.154079
3282,3903,-0.0753531
2996,3964,-0.0628786
2217,2487,-0.273242
1504,1956,0.190635
1950,2718,-0.279732
2831,3659,-0.150113
2596,3997,0.129177
114,1143,-0.189626
1875,3282,0.231961
2748,2956,-0.0331239
662,2838,-0.153045
1210,2040,0.186191
3139,3151,0.104929
2018,3274,0.169399
2179,3791,0.0461619
524,1054,-0.0430478
180,873,-0.479534
1880,3024,0.0689921
340,2406,0.21787
1307,1605,0.278459
271,3221,-0.0700526
2202,2617,0.138616
609,2365,-0.00509161
108,3744,0.0943102
895,992,-0.413433
1812,3796,0.48927
2334,2848,0.350453
2327,2926,0.331199
3206,3308,0.131373
553,3749,0.124218
1408,2696,0.0876983
1445,2211,-0.393079
1040,1228,0.0590672
1521,1640,0.171865
1629,2698,-0.260862
1280,3230,-0.15011
3042,3235,0.00233419
150,3752,0.549554
3614,3665,-0.00148989
1261,3174,-0.179428
194,454,0.0737364
1241,3080,-0.0733658
306,1934,-0.0125621
2629,3882,-0.224069
1513,2094,0.0128307
1045,3094,0.334889
910,2334,0.0869052
3105,3944,0.321145
520,2625,0.358704
1256,2547,0.0476611
257,2622,-0.225738
2858,3943,0.322255
486,2666,0.0977619
1346,2785,0.0553845
1157,3026,0.0422665
1549,2266,0.202101
433,3944,0.352115
3008,3604,0.0918792
272,1314,0.183809
1156,3221,0.57476
1465,2603,-0.365238
1236,3412,0.00578961
425,1507,0.240254
2347,2831,-0.137423
300,406,-0.458812
1714,1967,0.0169537
2228,3793,-0.020268
1399,3281,0.00733123
48,1714,0.0766736
1401,3882,0.0025431
1153,2831,0.152491
636,2359,0.0328277
764,1701,0.0449113
1300,1956,0.0196004
2085,2658,-0.133374
676,3407,-0.207867
810,2714,0.181258
471,2838,0.15622
536,2996,-0.0717392
243,3262,0.0532943
1091,1353,-0.27874
330,3807,-0.0337617
2222,2929,0.231408
2460,3957,-0.0367595
2349,3057,0.0193677
104,1827,0.397099
1271,3388,-0.178755
3334,3879,0.0115243
439,660,-0.10854
3037,3804,0.572563
1466,1965,0.342305
534,2673,0.0948146
566,624,0.0872323
637,3287,-0.0483668
3466,3634,-0.0281934
582,852,0.0753765
1802,2221,0.0379493
122,3135,0.180877
1647,1690,0.253726
1410,2686,0.159517
856,1787,0.0976272
1837,2783,0.0506262
3216,3695,0.265013
1047,3211,0.128763
1869,2153,-0.31724
842,1172,0.0268509
2411,4026,-0.191859
862,4076,0.254634
1155,1363,-0.0391003
1985,2716,0.220513
682,1628,-0.262999
1424,2268,-0.161746
2738,3183,0.344527
1816,2842,-0.210736
1944,3006,0.0435718
1036,1613,-0.00690032
1491,2176,-0.240107
2189,3670,-0.448476
2355,3685,-0.39608
1690,1839,0.225001
564,1651,-0.294561
703,3993,-0.512852
3133,3264,-0.0719593
472,2005,-0.0300454
901,2454,-0.0295741
148,2183,-0.0523946
2047,3148,-0.202505
1437,4066,0.202263
2598,3389,-0.0418508
336,2243,0.429731
2278,2920,0.126156
414,1562,-0.0972907
1047,2779,-0.126467
270,2361,-0.181465
556,3276,-0.622354
992,1197,-0.2299
1872,3821,0.140525
2265,2715,0.448138
508,1704,-0.0525468
1801,3330,-0.341211
294,613,0.320172
792,806,0.0660394
1884,2402,0.282907
1344,2608,-0.106179
73,654,-0.352604
1667,2956,0.0243554
151,1233,-0.163622
1572,3049,0.0952541
2184,2321,0.0583453
1451,2009,0.0407778
850,3611,0.131916
1511,1667,-0.0256154
258,1931,0.0397889
1456,2347,0.075219
801,3494,-0.0399626
78,3264,0.335486
1197,3458,0.156176
322,3163,0.0109719
1266,1805,0.142874
505,3262,0.422986
471,1554,0.0827881
105,2519,-0.112809
1055,3891,-0.204425
2005,2743,-0.25034
473,1149,0.0149789
1985,2612,-0.00340912
1867,3550,-0.0526516
3287,3900,0.112581
13,3960,0.142574
250,3017,-0.199078
49,3807,-0.0363081
925,3703,-0.149663
770,2756,0.379499
516,2822,0.235926
2541,2760,0.0801024
3192,4086,0.246514
2359,3068,0.216233
1713,3356,-0.0443725
367,2359,0.0730479
857,2036,0.195151
1115,3308,0.196334
403,1653,0.0541333
135,3182,-0.285829
859,1377,-0.160403
1694,2380,0.140151
3943,4085,0.00250876
3420,3804,0.167251
1917,4017,-0.190184
183,3359,0.157802
366,3633,-0.270287
2169,2821,-0.0285156
3028,3342,-0.0411153
2430,2925,-0.509595
44,721,0.141171
3644,3815,-0.0419955
2274,2480,0.165189
2777,2940,0.124625
873,2085,0.375816
494,1043,0.101408
1076,3708,0.477291
1754,2238,0.264941
3,933,0.045064
3281,4000,0.290827
1358,3531,0.167911
864,1987,-0.31972
2741,3864,-0.234485
1679,3624,0.185666
660,2516,-0.00712046
273,2847,-0.299353
2331,3419,0.063609
1395,2611,-0.0785374
205,533,0.271444
2345,3440,-0.217792
2497,2951,0.187733
2219,3453,-0.386601
2221,3603,-0.0433878
2595,3614,0.0395355
54,943,0.155265
1541,4005,0.0729654
1990,2966,0.235176
121,1823,-0.0433021
3771,3789,0.22579
1517,1976,0.223136
1447,2166,-0.326992
915,2331,0.0170563
43,1730,-0.103984
1377,3005,0.177386
204,570,-0.104039
1315,1997,-0.376173
870,2016,0.261858
3544,3804,-0.128484
341,3881,0.245463
2846,4029,-0.315449
1252,1870,0.121323
448,2947,0.0864318
126,3591,0.369308
1355,3698,0.310346
2516,3958,0.144979
1281,3019,-0.265134
616,2453,-0.413755
1962,2196,0.0286078
2035,2520,0.0868605
3638,3771,-0.192244
643,1881,0.10777
454,1102,-0.0963535
184,1852,-0.0882887
1922,2283,0.30506
101,3004,-0.295911
1081,2969,-0.0934621
712,1634,-0.132947
122,3844,0.0276156
701,2900,0.312725
116,2028,0.00753218
1184,2699,-0.142636
1156,3525,-0.36179
2274,3090,0.13985
1580,2386,0.1782
2488,2993,0.197318
2010,2787,0.084778
914,1205,-0.495738
101,1974,0.234901
673,3257,0.0230758
1051,2491,-0.286905
1375,1477,-0.151511
135,2131,-0.0831649
1251,1502,0.515845
994,1241,0.165176
414,636,0.0853832
1425,3131,0.178694
1799,2148,0.183155
1591,2816,0.196315
1812,3804,-0.363723
1514,2038,0.0503845
1283,4009,0.0960212
658,3958,-0.0634028
2147,2372,0.0177525
2157,4094,-0.432972
1423,3374,-0.0682291
2305,3364,0.38422
964,3754,-0.105488
265,3862,-0.324613
1719,3697,-0.280489
249,1633,-0.000449037
1763,3041,-0.137718
3101,3958,0.531571
636,3308,-0.0309144
2508,3324,-0.0926129
1083,2198,0.140268
1208,2213,-0.271917
336,2865,0.430957
252,2852,-0.00597671
1234,1249,-0.19307
1091,4056,0.127081
1140,3226,0.0194477
1847,2389,-0.156757
3103,3138,-0.0365663
1733,2963,0.310643
584,3583,-0.279799
1836,2814,0.158535
1353,2927,-0.0960605
1856,4042,-0.255216
118,1468,0.0366513
1355,2571,0.0310988
3281,3633,-0.052004
1786,1797,-0.100216
1001,2173,-0.178615
3986,4080,-0.373147
162,833,-0.00280523
235,1274,0.165528
3844,4033,-0.143088
1617,2205,-0.158767
1404,4060,-0.145216
2261,2508,0.279132
555,1091,0.0398854
85,1572,-0.055583
491,1065,-0.00625223
3171,3816,0.135877
1805,3197,0.0771558
97,3651,-0.1522
420,3944,0.053192
202,2599,-0.0576807
851,2904,0.180016
1420,1838,0.0253385
1400,2106,0.0490106
1498,2184,0.146253
2711,3468,-0.00483311
89,2637,0.214474
3141,3498,0.160433
532,2457,-0.0163904
1875,3286,-0.0614204
1436,1483,-0.0498462
1441,1449,0.131182
1836,1992,0.00900012
242,2915,0.148666
2768,2932,-0.133145
471,655,0.0645778
2372,3657,-0.41086
1422,2544,0.0327767
1579,3336,-0.0120376
1179,3068,0.0783082
1021,3340,0.216368
900,3040,-0.0572516
374,2718,0.242261
72,3346,0.0394843
655,2062,-0.0552896
2167,3356,0.285436
2293,2903,-0.171823
1518,4035,0.159326
2663,3214,0.314527
387,2436,-0.02654
945,1956,0.0282624
939,3562,-0.0549908
1852,3634,-0.156712
766,1468,0.0630452
3236,3360,0.024077
1050,1733,0.135064
2118,2307,0.270217
707,2152,0.341389
406,1968,0.344242
458,2776,-0.0942191
231,1886,0.00607861
1887,2906,-0.150496
610,3625,0.310043
1840,3660,-0.0721905
279,3094,0.165744
1200,3832,0.0373851
1332,3640,-0.0331291
190,2256,0.34059
2551,2727,0.664274
2481,3536,0.0343053
1072,3792,0.258858
1110,3033,-0.114889
547,771,0.213396
3856,3955,-0.0565111
613,3116,0.34644
1397,3749,-0.158664
2230,2371,-0.251508
800,990,0.113386
402,3466,0.0558334
711,1772,0.389702
473,711,-0.0461084
852,3094,-0.169923
2135,3327,0.243066
73,2440,0.180546
1396,2459,0.0346047
2594,2997,-0.170783
2756,3313,0.388637
1427,2043,0.00616648
1974,2337,0.0193028
2569,3393,-0.108607
434,1961,0.0388007
3238,3534,0.0903994
275,2004,0.250699
193,2564,-0.101367
1155,2166,0.147845
1580,2248,0.314924
2035,2766,-0.283679
2342,2886,0.298404
1647,1805,0.56795
1634,1665,-0.234865
2776,3971,0.109973
230,3612,0.161586
415,812,-0.0495733
1191,3441,-0.0675788
231,1248,-0.0614354
1875,3748,-0.119532
1967,3002,-0.048654
2289,2698,-0.121182
1314,2924,0.108191
429,1070,0.0824881
2568,2612,0.25442
4058,4073,-0.0953973
2913,3377,0.136432
642,2269,0.254704
433,2458,0.249281
1776,2842,-0.178284
2189,2581,0.044139
157,4025,0.0916651
413,1846,-0.0306087
2296,4010,0.263197
530,1509,-0.00783524
1131,3238,-0.0800328
579,2436,-0.0302338
564,2079,0.186246
1214,3544,-0.147473
805,3631,0.117379
1320,3501,0.0476872
2303,4093,0.343783
1044,2232,0.0176871
249,2823,0.134141
905,3139,0.0837601
691,2334,0.208979
3750,3760,0.154307
1001,1964,0.0473854
415,1474,0.20556
3474,3494,0.391642
1125,3132,-0.540254
3272,3606,-0.0879264
2407,3372,-0.107459
300,624,-0.505989
2186,3289,-0.0298352
595,1063,-0.385434
2966,3550,0.658161
2834,3501,-0.170136
534,3094,0.227919
602,3286,0.0644537
3461,3888,0.162334
3142,3483,0.145286
1274,3666,-0.267084
2679,2836,-0.232406
115,2848,0.278039
78,1362,-0.186137
255,378,0.434576
128,3784,-0.00502184
2789,3914,0.232585
956,2022,0.00906113
750,1384,0.187628
2754,3285,-0.0828068
1679,2775,0.221442
3337,3397,0.321004
3944,4044,0.00265796
83,1370,-0.189835
2160,3644,-0.0171848
3523,3723,-0.0445811
2511,3336,0.320308
1069,3969,0.0852556
1117,2760,0.0249096
2062,2884,0.0096948
884,2342,0.0861867
1617,1977,0.0504207
1097,1950,-0.0677548
1894,2731,0.0294022
225,2663,-0.248937
172,1002,0.152888
548,3405,-0.328885
1812,3084,0.0474113
1673,3424,-0.0799502
2070,2096,0.0915564
1961,3760,-0.105299
721,2568,0.0890613
1290,2954,-0.10226
494,1554,-0.0771008
1168,3930,-0.466558
1199,1434,-0.0685302
1317,1453,-0.10316
1582,2984,-0.229957
439,1596,0.0963083
1434,2433,0.172901
2272,3485,-0.0511578
2662,3897,-0.261019
349,1062,0.358329
1198,2676,-0.0215394
872,2501,-0.0104462
1970,3542,-0.0513242
405,1514,-0.361347
966,1786,-0.178974
1874,3085,-0.205558
896,1483,0.0436091
482,2780,0.515174
315,2997,0.103539
143,490,-0.326969
1071,4015,0.26189
1502,2304,-0.0484036
3287,4047,0.0461518
1687,2726,0.162905
897,2020,0.192204
555,3796,0.541257
1233,3271,-0.319383
2802,3144,0.528562
1170,3553,0.31824
666,974,-0.148324
554,1539,0.0746791
2162,3412,-0.10103
2271,3997,-0.172059
1972,2196,-0.0942971
2166,3656,0.153236
1152,1772,0.0531656
2155,3041,-0.322967
62,2643,-0.340693
288,2738,0.283899
1556,3079,0.0822236
2208,2210,0.468942
1920,2571,0.419963
866,1017,-0.671
769,3544,0.179317
2863,2933,-0.128402
1358,2486,-0.496994
139,3984,-0.0943229
143,961,-0.362075
1034,1396,-0.011139
2140,3882,0.139825
3039,3948,-0.318132
1992,3545,0.116909
1050,2854,-0.405659
2438,3060,0.350451
20,2208,0.223775
356,1423,0.0436029
1766,3766,0.335654
450,827,0.295892
956,3791,0.379657
1417,1567,-0.200339
1605,2208,-0.147187
1419,2969,0.0653245
128,1632,0.122036
1594,2118,-0.400014
145,3529,0.140886
2736,3990,0.399832
2664,3227,0.153481
685,3461,-0.0114056
1401,1690,0.114044
1064,3105,-0.00217766
228,2494,0.234446
1512,1570,0.108292
2198,2513,0.110911
1880,2993,0.342075
2549,3388,-0.185413
1026,1387,-0.0399759
3428,3512,0.111471
3221,3566,-0.0236414
392,3236,0.056561
430,2631,0.152965
314,3663,-0.275053
1558,1749,-0.116123
1447,3657,-0.000733822
1283,1562,0.0479925
2628,3187,-0.185905
1415,3930,-0.440576
495,3181,-0.0636779
699,3689,0.0754195
3101,3226,0.313097
2233,2380,-0.438397
1598,1691,-0.333608
2172,2314,0.345095
111,3818,0.0906138
128,3313,0.0891529
107,3647,-0.263968
465,509,-0.632763
1255,2162,0.15201
2011,2869,-0.262514
2305,3964,0.245022
1917,2997,0.121802
515,3841,0.454136
3155,3214,0.191204
2274,3474,-0.00873941
476,1209,-0.352828
1235,2424,0.0404257
3255,3902,-0.360105
1196,3559,-0.119233
1554,3693,-0.00436769
3308,3796,-0.106535
1105,3001,-0.237916
2993,3081,0.200787
1271,2212,0.483992
2219,3514,-0.34947
2240,3481,0.133671
2396,2541,-0.0438266
2111,3012,0.0970623
2672,4060,-0.176906
1109,2261,-0.0834419
2015,2812,0.187799
44,3880,0.00217561
1426,3346,0.268529
1249,2603,0.019915
364,2643,0.267904
1679,4042,0.220221
2867,3177,0.4514
1147,2446,0.0107805
3570,3963,-0.0843421
73,1891,-0.244234
3031,3534,-0.016676
2014,2565,0.322221
959,2249,0.0309069
2811,2989,-0.14085
2801,3108,-0.1118
812,3905,-0.276316
145,2786,-0.317009
2865,3597,-0.0767353
2047,3010,0.278068
601,3051,0.538494
2334,2921,-0.264803
3563,3763,-0.117493
3364,3488,0.014906
1483,1991,-0.237542
510,4048,0.50985
873,3951,0.0412374
86,1610,0.0482197
2759,3818,0.153935
365,2331,0.168865
672,1216,1.85629e-13
49,2334,0.0266122
1818,3544,0.0931226
1174,2717,0.228051
1690,3301,0.0649742
527,2783,0.210938
1654,2111,-0.162684
721,1091,0.229563
1642,3637,-0.429092
2183,2810,0.211626
3230,3689,-0.0685197
2003,3162,0.296946
181,231,-0.244767
472,2716,0.589451
2301,3090,0.014239
735,1502,-0.0215513
2657,3051,0.391551
1224,2746,-0.230426
2035,2516,0.315705
2341,3128,0.191415
1466,2882,-0.0538435
1174,1666,0.103146
611,2916,-0.155944
1936,2095,0.237985
2403,3157,-0.0739263
1303,2885,0.481312
2517,3633,0.177385
1366,2486,0.488661
954,2451,0.00850299
3209,4035,0.0152315
2070,3256,0.623391
677,3262,-0.224527
891,2115,0.564004
1022,1450,-0.873362
2631,3078,-0.301792
1102,3863,-0.197983
802,2082,-0.0446466
1097,3995,-0.238344
1066,3223,-0.0705722
735,3857,0.000252175
2103,3217,0.0431255
1191,1813,0.0382701
2043,2595,-0.143459
1340,2836,0.0335268
2653,3173,-0.219961
996,1935,0.197402
1061,2604,-0.117927
403,534,0.0242087
2765,3755,0.0716339
2488,3743,-0.0713288
1482,3277,0.0350881
1562,3211,0.196859
1317,2340,0.257453
507,1441,0.598083
1072,2324,0.0274471
117,2994,-0.116599
249,2417,-0.0347522
1322,1397,0.234771
1825,1993,-0.577006
928,1423,0.394085
2040,2818,0.221696
763,2893,0.32677
713,1423,-0.0516907
2451,2538,-0.221997
984,3878,-0.28377
2666,2841,0.0778853
985,1991,-0.072684
468,2189,-0.129319
363,473,0.371683
3294,3638,-0.355948
2902,3328,-0.101376
862,1217,0.108918
874,1302,0.0177064
144,1046,-0.0685678
2386,3843,0.233164
806,1454,0.402376
3867,4007,-0.208141
835,3147,-0.0182151
150,1102,0.134975
325,2473,-0.120628
1658,1691,0.121025
1245,2443,-0.0951913
2005,2011,-0.0240754
327,2701,-0.358367
471,1231,0.398482
12,2082,-0.549168
2555,3817,0.0459174
547,1072,-0.0811189
1620,3543,-0.21279
2018,2221,0.119822
2029,2386,-0.2057
701,722,0.372521
1059,2649,0.172303
1208,2280,0.0466283
1050,2122,0.554974
169,3187,0.00750518
287,1580,0.273611
2769,3217,-0.291093
833,2491,0.00852883
2423,4026,-0.0110865
102,2424,0.0485269
616,869,-0.205863
1685,2449,0.0863494
619,2387,0.185286
100,623,-0.11563
1573,3655,-0.256856
2141,2642,-0.225973
657,1736,0.246434
1068,3818,-0.0113669
103,2529,0.168608
23,3084,0.0887229
1102,4071,-0.202569
2716,3946,0.195301
3105,3586,0.138198
355,2975,-0.240644
1264,2355,-0.113648
1045,1222,-0.252615
1898,2926,0.160745
2490,2929,-0.0660475
2335,2604,0.245743
2134,2158,0.353193
451,4033,-0.314285
2198,3333,0.218279
1979,3210,0.0655738
993,2349,0.451152
678,2327,-0.32834
372,728,-0.0317029
1247,3703,-0.0679014
569,1738,-0.122686
1929,3085,-0.291733
931,2543,-0.103591
655,1772,-0.323976
37,3234,0.211407
1272,1400,-0.0201391
1087,2716,-0.0364008
2715,2843,0.123348
680,1375,0.0277183
618,2906,-0.0167363
3221,3485,0.36357
3924,3962,-0.319771
1615,2467,0.271306
1741,2176,0.165253
2273,2603,-0.0949321
1234,1793,-0.374203
276,4042,0.176863
1596,2885,0.124461
310,1283,0.206549
651,2070,-0.288959
481,2394,0.0516015
2029,2916,-0.429395
1219,1987,0.109538
896,2426,-0.110245
16,1889,0.128849
942,3258,0.317028
1501,2327,0.125397
849,1013,-0.0636949
1855,3836,-0.160204
965,2114,-0.257025
1241,3494,0.0300902
1117,2085,0.217468
2852,2895,-0.0104091
2761,3612,-0.0755226
29,721,0.0112037
945,1666,0.516964
1387,3235,0.239703
851,852,-0.241423
181,964,-0.157294
391,810,0.407955
1965,2216,-0.11567
1141,4047,-0.105939
555,2730,0.464659
1614,2635,-0.0852384
2186,3274,-0.0595739
1161,2657,0.0272266
383,2927,-0.257528
3922,4048,-0.148344
1087,3493,0.0135564
1424,2876,0.125159
3275,3279,0.168426
786,3229,-0.31536
780,1087,-0.0970315
449,1886,0.518034
2034,3242,0.0177026
532,2419,0.292431
1901,3886,0.0224302
3148,3207,-0.15464
1449,2464,0.103847
1676,4054,-0.25625
2543,4064,0.00535591
1997,3314,0.312644
2443,3128,-0.438228
778,1012,0.0754746
892,1889,-0.308678
3015,3715,-0.0841216
260,1543,-0.32176
2341,3040,0.258869
1855,2776,-0.0902957
2360,3071,-0.250123
1399,1734,0.197696
246,3145,0.532786
2688,3969,0.510585
371,3898,0.50394
180,3776,0.019634
2528,3551,0.507198
2208,3807,0.135385
713,3099,-0.0717878
2760,3101,0.085216
2437,4084,-0.131493
516,643,-0.361071
579,2815,0.369703
1236,2763,0.170923
2309,3642,-0.237267
1821,3667,-0.114501
381,3364,0.155479
726,1940,-0.0367463
2860,2895,-0.460368
2101,2211,-0.350733
291,1068,0.0608676
2242,3866,-0.159514
1845,2576,0.104869
158,1465,0.192342
1894,2978,0.0517805
442,812,0.175076
2264,3991,0.398822
1670,3173,-0.0122792
1914,2830,0.283817
2685,3843,0.090839
163,1191,-0.110988
2637,2653,0.21155
1949,3185,-0.0390773
1149,3116,-0.229083
57,2479,0.128816
1569,3419,-0.186618
919,3603,0.195919
5,3423,0.0132751
777,2858,0.0842765
2809,3428,-0.681443
226,3224,0.246856
128,1749,0.0960102
1715,3244,0.246419
1314,3151,-0.328314
186,2730,0.0469525
2471,3793,-0.105537
173,230,0.551576
208,1351,-0.0314562
2004,2838,-0.352644
86,2168,-0.0300542
1056,3309,-0.507223
1632,2273,0.398961
