i,j,kappa_ollivier
166,3706,0.0704015
2820,3789,0.264682
2481,2864,-0.135576
177,274,0.0606742
1174,2696,0.327296
160,922,-0.052581
142,3783,0.0325679
2869,3224,-0.565243
2025,2884,-0.0518218
2189,3625,-0.149089
2386,2521,0.0672157
547,770,0.27022
160,2603,0.175804
2224,3742,0.281571
252,914,-0.363338
655,1437,0.165681
207,1097,0.0563495
3008,3022,-0.0315364
205,3009,-0.0899724
849,1812,0.315508
1607,3857,0.0872318
397,2062,-0.126566
2730,3934,-0.061958
889,3821,0.00544258
2816,3679,-0.279005
3002,4035,0.128091
109,3325,-0.0776515
3357,3922,0.170735
261,1610,0.231147
1692,2855,0.0842295
2866,3508,-0.122283
2695,3972,-0.00138384
2327,3544,0.1079
1189,3969,-0.00295567
942,1917,0.408134
721,3979,-0.19942
1178,1258,0.217558
860,1363,0.130054
959,1191,0.0157756
1569,3829,0.0648101
439,1156,0.0227295
1110,3090,-0.358997
1920,2106,0.409127
1189,3461,0.177493
225,3886,0.390641
23,2326,0.137028
1924,3057,-0.0214916
3388,3449,0.439154
2673,2860,0.234133
325,2125,0.126156
226,1224,-0.273737
2445,3985,0.0574736
757,3896,0.255424
2209,3883,-0.31257
958,1081,0.00684105
443,3704,0.0740749
1340,1726,-0.176465
208,687,0.263442
880,3706,0.221709
1431,1705,0.215898
1047,3485,0.142813
547,852,-0.0556966
1805,2331,0.0177267
2488,3964,-0.203447
1123,3620,0.0740643
3234,3277,0.0203619
2368,3108,0.615023
19,2984,0.166345
2599,3493,0.20277
1106,1622,-0.158629
341,3028,0.227114
452,1870,0.222106
956,1288,0.583491
378,1459,0.0658428
353,3463,0.459865
540,3583,0.358164
990,1526,0.350917
1036,3541,0.138136
3136,3314,0.179001
749,1619,-0.318689
1304,3819,0.0788503
720,2722,0.088653
3722,3831,0.0608083
954,2765,0.353482
2207,2846,-0.153764
2098,2873,-0.317217
907,970,0.427925
144,1235,-0.0615753
294,1563,-0.293488
3723,3882,0.000708699
1714,2013,-0.00351928
1012,3504,0.629429
124,3849,-0.0535458
6,383,0.0949744
1257,2479,0.431317
439,1509,0.130238
3827,3884,0.0481917
945,1505,-0.0943475
562,1421,0.227643
1821,1967,-0.071803
2569,3040,-0.138037
1741,3144,0.235279
2657,4066,0.170288
24,1899,0.296725
369,601,0.0347053
235,507,0.0219797
515,1679,0.0950882
2511,3897,-0.16212
100,2695,0.142096
1429,2497,0.177908
2853,3336,-0.0243476
2579,2643,-0.0479211
511,703,0.363318
1757,3181,-0.175316
423,1888,0.087239
116,1181,-0.234869
1151,3696,-0.0325075
1411,2634,0.0443203
110,2376,0.115824
1381,4013,-0.127664
748,1420,0.235715
900,2858,0.00315539
336,2499,0.143738
1362,4092,0.15442
2646,3553,0.383457
1619,3551,0.190048
3378,3554,0.106197
534,1018,-0.0351529
852,1456,-0.112335
569,2859,-0.690489
623,1317,-0.119857
1652,3312,-0.111936
70,447,0.050703
633,2185,0.138042
1251,2765,-0.0245335
1649,1690,-0.109657
896,996,-0.257706
965,1826,0.211984
554,611,0.170698
358,2305,0.110005
1495,2874,-0.198166
107,1715,0.0817536
1993,2979,-0.718778
793,2360,-0.15785
701,3895,-0.10128
1939,2500,-0.168329
1345,3173,0.316698
1134,3976,0.0435638
813,2605,0.291936
796,2491,0.607736
64,1756,-0.97822
680,2769,0.0741302
1580,2119,-0.454016
1236,2005,0.0678164
1019,2396,-0.167762
211,1791,0.0913968
1023,3686,0.0426499
1352,3284,0.308858
2238,3522,0.135128
1590,2547,0.290758
2434,3888,0.596986
1249,2379,0.0205022
75,1429,-0.0491891
378,3337,0.346867
943,3742,0.26323
629,2746,0.059403
2834,3964,0.0713083
959,1614,0.134258
105,879,0.0854111
358,2742,-0.290758
3026,4008,0.128363
1784,2524,0.0392944
1319,1883,0.503608
1174,1353,0.328053
1796,1868,-0.324173
3152,3330,-0.0407639
2248,3494,-0.0692575
379,579,-0.10492
1507,2645,0.174638
2788,3554,0.1609
667,3378,0.0842625
919,3944,-0.165896
126,1826,0.266525
1794,3581,-0.428391
3,4074,-0.0838194
2307,2632,-0.235382
2451,4066,0.0548153
692,755,-0.189196
1410,1815,0.538577
1768,3821,0.0392946
212,1266,-0.0911457
1245,3921,0.130862
3424,3958,-0.00516447
1174,3218,-0.0295821
414,3804,-0.110076
1111,2858,-0.108111
2218,3721,0.113173
1155,1901,0.19015
1628,1763,0.0994932
1231,1232,0.0486526
1603,3864,0.00536304
1091,3544,0.085623
2598,3683,0.141438
423,2921,0.434581
676,968,0.556846
1699,3235,-0.244258
1477,2722,-0.146729
612,2685,-0.340495
3290,4073,-0.284068
2724,4082,0.236028
1114,2072,-0.00171315
1617,3666,0.120676
2529,2671,-0.198808
0,2403,-0.0773578
1130,1708,-0.184593
1055,1692,-0.363493
748,3014,0.0735612
1758,2206,-0.0130068
2827,3757,0.0435742
3159,3244,0.307471
1213,3631,0.135924
1963,2772,-0.198667
1821,2728,-0.0946821
1823,3284,-0.0780684
761,2326,0.431081
2248,2301,0.594858
2008,3646,-0.0622899
598,3828,-0.112206
272,1782,0.034929
1043,2169,-0.102998
2274,4047,0.0966601
3670,3707,-0.0863551
3356,3448,0.171625
1266,1373,0.453881
300,710,-0.110734
847,2331,-0.144761
1159,2790,-0.0947133
802,1344,0.531802
699,3561,-0.527242
508,3547,0.0488216
69,2369,-0.423473
130,700,-0.0600059
884,1933,0.23589
2016,2670,-0.198144
3226,3520,-0.0521221
225,2895,-0.0659071
1904,3272,0.0789374
1666,2834,0.308236
3581,3898,0.443567
2782,3755,0.0667163
685,3270,0.0663903
1502,3693,-0.103265
2136,3485,-0.126092
1590,3301,0.543217
878,3610,-0.0622611
508,1816,-0.0398785
14,1147,0.489066
351,941,-0.0282701
1725,3148,-0.0788888
780,2972,0.15912
619,1026,0.0912667
2295,3971,-0.00736357
1962,3519,0.498807
142,818,0.0185888
2624,3826,0.183505
899,3777,-0.161284
402,1191,0.0884707
1911,3499,0.0388416
448,2665,0.249128
1962,4035,0.0914845
2386,3614,0.0616123
2638,2727,0.441009
3012,3550,0.157827
1192,3951,0.257108
1826,3317,-0.163514
3248,3595,-0.231329
2204,2969,0.0288881
1735,3071,-0.0727708
2529,3082,0.0424614
1847,2853,-0.124936
554,2337,0.211644
2014,2705,0.0177486
1876,3189,-0.324739
936,2023,0.0112182
892,2336,0.132894
3854,3896,-0.0409106
1013,2851,-0.132724
2317,3093,-0.00898096
2074,2680,0.00999387
3515,3714,0.277285
862,1805,0.0891969
1001,1992,-0.0789498
1813,2339,0.0467607
244,3499,0.131067
1050,2921,-0.421616
847,3265,0.600824
986,3610,-0.0472099
1268,1550,0.158804
1201,4011,0.326766
2464,3545,0.210108
253,447,-0.0641986
472,611,0.0700214
524,1535,0.130219
830,1219,0.00692607
1498,1898,-0.25311
530,3829,-0.0140627
762,1844,0.0670921
188,2005,0.435093
1667,2671,0.111
1625,4009,0.299672
1248,2538,0.0811998
2484,3905,-0.147157
1968,2140,0.264876
1676,2602,-0.0633902
181,3200,-0.24432
733,3531,-0.463606
1698,3609,-0.249293
1533,1638,-0.202385
2869,3708,0.350461
51,3997,-0.123361
2782,4086,0.0109753
1484,3476,-0.235575
2028,3584,0.0843884
14,2441,-0.171467
1353,2501,0.0586655
1104,3482,0.0912865
1539,1632,0.121268
1691,2654,-0.231511
2449,3327,-0.176671
2516,4037,0.0524173
3112,3647,0.528031
784,2318,-0.172056
2097,3833,0.0803289
782,3348,0.642647
993,2964,0.139685
1793,3632,-0.00991314
2082,2504,0.110726
80,3580,0.161641
1528,1557,0.129593
1269,1445,0.0139591
1610,2333,0.148322
580,2715,-0.0700827
1974,3949,0.0359324
423,1895,0.0240868
3410,3566,0.197244
2413,3829,0.0855285
74,2590,0.0649683
1559,3151,0.329596
2966,3552,-0.232357
2689,3344,-0.64162
74,2317,-0.0208045
271,1605,0.376617
1746,3303,-0.1359
458,1011,0.0406769
1944,2848,0.00915042
640,3483,-0.0699403
142,533,-0.0974733
938,3882,-0.16477
1477,1816,-0.222702
1233,1678,-0.125962
752,3478,-0.128866
1899,2514,-0.0493594
1232,2227,-0.104594
1274,2323,-0.083777
1477,3966,-0.171122
1018,3916,-0.44711
1704,3797,0.1215
911,1031,-0.309941
260,1137,-0.128529
1991,3234,0.151527
50,711,-0.150647
2458,3783,-0.436899
148,3520,-0.224355
1347,2366,0.618126
800,1815,0.137916
207,1433,-0.0826975
111,1579,0.101761
85,1429,0.109608
892,1880,0.00288447
700,968,-0.330308
54,1488,0.142688
3392,3748,0.416381
529,1512,-0.0685842
860,928,0.274733
420,2560,0.0835877
2011,2337,0.273526
375,3350,-0.22948
2685,2974,-0.177826
777,2247,0.0188862
1964,3333,0.619125
927,2185,-0.0168933
1427,3723,-0.25101
589,3704,0.116055
3149,3646,-0.140042
3167,3418,0.0900215
376,1661,0.134682
576,1640,0.112245
1161,3282,0.0127951
358,3584,-0.170932
2814,3333,0.0998643
72,1193,0.168808
1164,2843,-0.409142
2783,3504,0.189486
1457,2557,-0.35552
1572,3357,-0.469487
696,770,-0.144309
239,1498,0.0891565
2967,4005,-0.177973
3525,3857,0.127335
875,3657,-0.0685577
331,3419,-0.180573
1116,2808,0.164789
3075,3468,-0.383736
401,1346,-0.316101
2699,3311,0.0311146
114,2006,-0.0742004
1331,1964,0.201918
2402,2860,0.453906
1745,2070,-0.0156634
1434,1582,-0.110662
208,3688,0.0791224
2210,2541,0.308383
1297,1452,0.311224
32,2794,-0.048083
1696,2459,-0.216385
2113,3173,-0.0596324
346,2281,-0.204275
1779,3110,0.020793
1400,3040,-0.173484
3765,3818,-0.0747842
1936,3863,-0.0320062
530,3966,-0.186861
1792,3909,0.147881
620,3214,0.0532366
2321,3563,0.12145
978,1442,-0.140596
3301,3999,0.707993
2449,2460,-0.00116302
2065,3660,-0.152822
1963,3198,-0.19381
1792,1917,0.00195135
2972,2984,-0.0658884
970,2926,0.166512
1213,2783,-0.128329
887,4095,0.220682
276,3423,0.22796
1021,2125,-0.159815
1881,3499,-0.0166908
878,1261,0.159184
1962,3257,-0.0502995
2731,3159,0.0470888
3212,3252,0.55048
1477,3079,-0.01272
1271,1573,0.457453
79,1347,-0.348587
2136,3736,-0.0898272
1224,1560,-0.408986
641,1276,-0.295181
2093,3921,-0.0654417
753,1354,-0.0760886
1370,2699,0.225745
933,3755,-0.0649877
1291,2191,-0.00335348
1026,2727,-0.0632052
3022,3192,0.163834
1009,1378,-0.237802
2608,2823,-0.190173
25,3499,-0.538513
2282,3145,0.256706
673,1667,0.0834866
273,1268,-0.0218896
870,1070,-0.32678
1619,3109,0.0126831
2100,2764,0.426802
2603,3004,-0.136083
864,3839,0.0385096
2021,3786,-0.18465
2116,2268,-0.222411
1864,3105,0.0368102
45,2195,-0.288577
297,747,-0.303
1084,3931,-0.263316
790,2047,0.171385
1610,2764,-0.241255
877,2676,0.295202
1139,1887,0.0438248
2843,3815,0.144627
1428,1707,0.333989
2009,2282,-0.334878
2590,3541,0.0991357
2385,3006,0.277688
1307,3710,-0.176346
1727,3541,-0.144099
2556,3106,0.0953317
1248,2844,0.249415
1353,1898,-0.0289166
1895,3533,0.220626
983,1130,0.0389869
1140,1780,-0.30707
907,2926,0.0874109
826,2624,-0.200334
400,2323,-0.00949268
678,2470,0.117959
1184,3177,-0.0193727
396,1977,-0.122162
2428,2632,0.110145
654,4063,0.33492
675,906,0.201898
771,1569,0.0696441
2070,2228,0.167957
1011,3182,0.0683323
2933,2942,-0.124892
2336,3964,-0.178968
3028,3827,-0.0787964
1040,1132,-0.136616
327,2449,-0.173209
684,3685,0.195983
1093,1692,0.227865
812,3418,-0.160574
1396,1616,-0.37195
633,1518,0.0964925
1118,1948,-0.269477
37,1371,0.193561
2413,3324,0.0406731
421,1920,0.122058
1001,1240,0.446083
