source,file,kernel_file,n,spin,rho_scale,a2,beta,sdim,se,mds_stress
sdim_collated,K_2048_same_rho1p16_a2p55_b1p65_tfine.json,K_2048_same_rho1p16_a2p55_b1p65.npy,2048.0,same,1.16,0.55,1.65,-0.0955769674307986,0.0004496880189685,0.9520742591540146
sdim_collated,K_2048_same_rho1p18_a2p55_b1p50_tfine.json,K_2048_same_rho1p18_a2p55_b1p50.npy,2048.0,same,1.18,0.55,1.5,-0.0967193823449554,0.0004590785728179,0.9413338294835152
sdim_collated,K_2048_same_rho1p20_a2p50_b1p60_tfine.json,K_2048_same_rho1p20_a2p50_b1p60.npy,2048.0,same,1.2,0.5,1.6,-0.0536708057182746,0.0001413789539067,0.9458286944637748
sdim_collated,K_2048_same_rho1p20_a2p55_b1p50_tfine.json,K_2048_same_rho1p20_a2p55_b1p50.npy,2048.0,same,1.2,0.55,1.5,-0.0975071890590555,0.0004517652499791,0.9394751068671232
sdim_collated,K_2048_same_rho1p2_a20p5_b1p6_tfine.json,K_2048_same_rho1p2_a20p5_b1p6.npy,,,,,,-0.0974733252043025,0.0002536208871296,0.9458286944637748
sdim_collated,K_4096_same_rho1p12_a2p55_b1p50_tfine.json,K_4096_same_rho1p12_a2p55_b1p50.npy,4096.0,same,1.12,0.55,1.5,-0.1858273376020159,0.0009839445232694,0.9691473413253292
sdim_collated,K_4096_same_rho1p14_a2p55_b1p50_tfine.json,K_4096_same_rho1p14_a2p55_b1p50.npy,4096.0,same,1.14,0.55,1.5,-0.187554297998056,0.0009715411751536,0.9677459064432634
sdim_collated,K_4096_same_rho1p16_a2p55_b1p35_tfine.json,K_4096_same_rho1p16_a2p55_b1p35.npy,4096.0,same,1.16,0.55,1.35,-0.1911493070865395,0.0009777946608145,0.9575201667131182
sdim_collated,K_4096_same_rho1p16_a2p55_b1p40_tfine.json,K_4096_same_rho1p16_a2p55_b1p40.npy,4096.0,same,1.16,0.55,1.4,-0.1904022972763452,0.0009708466068498,0.9606461913627544
sdim_collated,K_4096_same_rho1p16_a2p55_b1p45_tfine.json,K_4096_same_rho1p16_a2p55_b1p45.npy,4096.0,same,1.16,0.55,1.45,-0.1898079305198757,0.0009650215213013,0.9636165536482616
sdim_collated,K_4096_same_rho1p16_a2p55_b1p50_tfine.json,K_4096_same_rho1p16_a2p55_b1p50.npy,4096.0,same,1.16,0.55,1.5,-0.1893360606925103,0.0009599453999658,0.9662998333841258
sdim_collated,K_4096_same_rho1p16_a2p55_b1p55_tfine.json,K_4096_same_rho1p16_a2p55_b1p55.npy,4096.0,same,1.16,0.55,1.55,-0.1889634273977923,0.0009554070365296,0.9686300293199522
sdim_collated,K_4096_same_rho1p16_a2p55_b1p60_tfine.json,K_4096_same_rho1p16_a2p55_b1p60.npy,4096.0,same,1.16,0.55,1.6,-0.1886724724402659,0.0009510713941494,0.9706309206034658
sdim_collated,K_4096_same_rho1p16_a2p55_b1p65_tfine.json,K_4096_same_rho1p16_a2p55_b1p65.npy,4096.0,same,1.16,0.55,1.65,-0.1884494661427248,0.0009469775362394,0.972353222166454
sdim_collated,K_4096_same_rho1p18_a2p55_b1p50_tfine.json,K_4096_same_rho1p18_a2p55_b1p50.npy,4096.0,same,1.18,0.55,1.5,-0.191173476364438,0.0009494632451988,0.9648144339975342
sdim_collated,K_4096_same_rho1p20_a2p50_b1p60_tfine.json,K_4096_same_rho1p20_a2p50_b1p60.npy,4096.0,same,1.2,0.5,1.6,-0.1518598784781584,0.0008348915336847,0.9677432232570372
sdim_collated,K_4096_same_rho1p20_a2p55_b1p50_tfine.json,K_4096_same_rho1p20_a2p55_b1p50.npy,4096.0,same,1.2,0.55,1.5,-0.1930688683115398,0.0009404907972385,0.9632988248683988
sdim_collated,K_4096_same_rho1p2_a20p5_b1p6_tfine.json,K_4096_same_rho1p2_a20p5_b1p6.npy,,,,,,-0.1935506156618698,0.0010597324317631,0.9677432232570372
sdim_collated,K_8192_same_rho1p12_a2p55_b1p50_tfine.json,K_8192_same_rho1p12_a2p55_b1p50.npy,8192.0,same,1.12,0.55,1.5,-0.2730763708447145,0.0016770955465805,0.9806494425715876
sdim_collated,K_8192_same_rho1p14_a2p55_b1p50_tfine.json,K_8192_same_rho1p14_a2p55_b1p50.npy,8192.0,same,1.14,0.55,1.5,-0.2764358960684122,0.0016859321386139,0.9799112144857351
sdim_collated,K_8192_same_rho1p16_a2p55_b1p35_tfine.json,K_8192_same_rho1p16_a2p55_b1p35.npy,8192.0,same,1.16,0.55,1.35,-0.2846277947863278,0.0017241684535242,0.9745757183958228
sdim_collated,K_8192_same_rho1p16_a2p55_b1p40_tfine.json,K_8192_same_rho1p16_a2p55_b1p40.npy,8192.0,same,1.16,0.55,1.4,-0.2827692696120412,0.0017124073484786,0.97632440761288
sdim_collated,K_8192_same_rho1p16_a2p55_b1p45_tfine.json,K_8192_same_rho1p16_a2p55_b1p45.npy,8192.0,same,1.16,0.55,1.45,-0.2812067998994076,0.0017031669419028,0.9778387169688352
sdim_collated,K_8192_same_rho1p16_a2p55_b1p50_tfine.json,K_8192_same_rho1p16_a2p55_b1p50.npy,8192.0,same,1.16,0.55,1.5,-0.2798865432495651,0.0016958031226669,0.9791606876635998
