i,j,kappa_forman
0,16,-107230.6760899798
0,23,-1281688.3603809224
0,29,-883748.7618693196
0,53,-593734.4009111021
0,93,-942070.6268589866
0,130,-309790.4916499078
0,135,-76945.95217109722
0,158,-96507.96434270259
0,169,-244501.43322813013
0,187,-1157157.4329528343
0,193,-633403.4907118855
0,213,-978119.4925096936
0,268,-3185138.732001062
0,312,-1700196.3109987841
0,315,-338656.85996133136
0,318,-270936.9829718806
0,325,-849747.4217884938
0,342,-132048.03765743572
0,348,-210104.78945139496
0,367,-487746.4369454077
0,377,-144979.22397413815
0,381,-2310515.8080710075
0,429,-2154498.294032667
0,434,-724599.9069165448
0,440,-4125427.8689058176
0,458,-349962.28000456706
0,486,-2856135.1096246233
0,489,-324999.32317614224
0,495,-292709.03281441564
0,503,-894152.3697530866
0,504,-1360928.855265956
0,505,-590968.7363416617
0,524,-2124183.88483964
0,555,-1681247.6243384564
0,562,-1487662.7086008124
0,599,-1981639.5934128314
0,605,-679799.5566407427
0,619,-388473.00907262415
0,627,-1132750.7736707316
0,629,-2810643.6202428825
0,645,-1287815.0026569373
0,666,-1504326.0005766256
0,677,-204270.43742391083
0,688,-2105966.474078917
0,692,-2368638.6272854595
0,699,-575204.64841688
0,715,-151193.11318110075
0,728,-1402062.6551088463
0,740,-1561515.0689811024
0,749,-1637531.5224219502
0,765,-1697856.4546308885
0,769,-178379.29458458416
0,775,-1579018.249282002
0,784,-3393509.853259609
0,789,-377178.58204969467
0,796,-1012373.4005313055
0,800,-1030656.8082324564
0,832,-58763.1285030619
0,833,-371061.1591262407
0,834,-1402909.6043807603
0,838,-364213.0120047251
0,849,-692692.9485228233
0,855,-315605.76357505657
0,872,-81454.34741132567
0,873,-3511218.9673875268
0,892,-1564943.1098183172
0,900,-1558892.0117013548
0,901,-2396011.520321793
0,922,-383527.3002434089
0,933,-2500084.7599027986
0,942,-645790.9465101078
0,945,-252849.4326907927
0,952,-1048414.2663068895
0,974,-325802.701701874
0,1000,-2898994.5827109236
0,1011,-382554.4855920788
0,1021,-102129.69922566117
0,1026,-122833.51858517357
0,1041,-1433828.6606518056
0,1051,-972197.6700867112
0,1054,-410900.09890104074
0,1055,-2082157.6685343906
0,1069,-205329.35662489667
0,1070,-1938139.3660804816
0,1085,-869425.1479050833
0,1116,-891286.2813706828
0,1117,-1885054.383987366
0,1123,-72171.63181426241
0,1137,-1024065.77890278
0,1164,-77868.69307713879
0,1174,-3784781.1807282716
0,1179,-420580.8741490945
0,1189,-570025.8223974406
0,1192,-2877898.945070043
0,1212,-1221163.9170088996
0,1257,-591632.2741314718
0,1272,-403578.21253962896
0,1280,-1462581.868247077
0,1300,-311890.88470680406
0,1326,-401979.88203794474
0,1338,-942524.9027666119
0,1353,-4091448.5822266242
0,1381,-297817.0280534322
0,1387,-169206.46765521492
0,1397,-1579905.3178589365
0,1400,-2800736.681840938
0,1407,-426468.15261674445
0,1410,-711090.471076206
0,1421,-1560574.730252733
0,1436,-579391.9813834028
0,1443,-1719657.7859354764
0,1448,-857950.9084359056
0,1465,-288353.1940281134
0,1483,-943067.0458185057
0,1485,-4889786.909496657
0,1488,-4180523.2727456633
0,1504,-357265.53835515195
0,1505,-1347139.4930568787
0,1527,-2196080.5018453863
0,1542,-1270902.011608573
0,1565,-788315.8862520871
0,1578,-189213.15730299146
0,1602,-2440550.371391187
0,1604,-961201.2004175899
0,1666,-242439.9999753685
0,1687,-238674.92149110071
0,1699,-460924.692851844
0,1700,-1459881.344196178
0,1713,-1573671.0410083171
0,1738,-557472.0856395742
0,1773,-477654.868459466
0,1779,-988072.9104705721
0,1783,-157830.43741173763
0,1793,-596822.3235579521
0,1807,-4191239.557309535
0,1812,-538332.9908974646
0,1815,-704197.4158035144
0,1855,-133188.3634875659
0,1889,-162769.45375040226
0,1895,-2529056.5101303984
0,1897,-153054.8510061518
0,1905,-1190909.26294437
0,1910,-746097.5892984007
0,1912,-356390.54926114564
0,1917,-264291.52527736785
0,1937,-962281.2588118277
0,1941,-3504779.182153339
0,1956,-85938.06548919682
0,1971,-1689146.396297332
0,1991,-2726334.6619648766
0,1999,-710255.9327277677
0,2012,-1769080.5052517075
0,2017,-952126.7971370211
0,2032,-1140667.9156760084
0,2044,-86387.21695256906
0,2045,-179209.7548823205
1,24,-326427.9557117334
1,59,-554025.0147236218
1,65,-51955.51874293955
1,82,-573300.1868426668
1,106,-602349.6112905676
1,111,-115182.90352709584
1,116,-2426399.754520281
1,117,-33261.664436222054
1,125,-287605.5287919458
1,138,-52641.950172661695
1,139,-476062.45694872725
1,145,-3145091.5718780975
1,173,-27056.93700023381
1,216,-1518886.6983685016
1,230,-31685.065758397
1,250,-991363.0936299573
1,262,-73632.77904376267
1,280,-266100.0823350833
1,306,-60690.4020403348
1,313,-211705.20528854264
1,327,-51555.46954187308
1,352,-1674831.0478220156
1,421,-154656.83407065002
1,474,-421100.90556995646
1,541,-131272.35086738458
1,564,-64991.26318870074
1,659,-40874.62384127151
1,661,-17907.361392396662
1,686,-242895.77705437795
1,687,-616047.6755818555
1,741,-806147.8445058091
1,743,-1217962.2684707076
1,768,-868142.8938188781
1,776,-511685.07378653117
1,798,-690363.1682138783
1,809,-698966.2407744348
1,836,-300157.19862891734
1,848,-169438.029067582
1,862,-571891.6082579464
1,929,-54372.28493633059
1,965,-1359279.4098174062
1,1093,-842193.9082436587
1,1151,-13828.446677085332
1,1159,-385707.581262913
1,1198,-902136.6696489155
1,1217,-1493488.2449456393
1,1230,-19236.194290255018
1,1325,-753700.092357994
1,1364,-60256.78614740314
1,1403,-217208.15216889596
1,1428,-69283.12055372212
1,1528,-453106.88148734416
1,1533,-1053642.165416245
1,1557,-143194.5838345065
1,1558,-526697.0813749573
1,1579,-545498.9201103715
1,1651,-1207294.5486884827
1,1675,-383495.47720682033
1,1690,-3411003.988222846
1,1692,-132018.92468052724
1,1707,-32968.02163806846
1,1710,-610884.3610626805
1,1824,-156505.18839708608
1,1826,-885767.4820128845
1,1839,-980430.7227374328
1,1847,-111239.22404080097
1,1876,-659237.9559212056
1,1899,-1818113.5727223724
1,1902,-127543.73527631261
1,1930,-114137.80159897273
1,1934,-666774.7695032938
1,1938,-296975.3469781792
1,1969,-977997.4062198428
1,1981,-291260.33567294537
1,2003,-898579.4900377317
2,9,-488727.41435589467
2,17,-2151964.9154619896
2,24,-170565.38996816223
2,29,-904355.2988910056
2,34,-2469142.6107056984
2,44,-775756.1121915686
2,54,-388789.99131808657
2,101,-4087665.906416517
2,116,-288012.72105953377
2,126,-139269.1632444342
2,139,-265099.6268644935
2,145,-153490.84270672227
2,156,-1378480.393610212
2,158,-3810437.738868604
2,160,-675581.9018915782
2,173,-1020682.2498471665
2,188,-3909843.065237018
2,208,-1194089.735384982
2,213,-3205287.388015443
2,216,-517258.8146552329
2,230,-1613529.4775019146
2,291,-2068407.9087757661
2,312,-2968229.3827972016
2,317,-3515589.4516273346
2,327,-549267.420696752
2,342,-2046774.6634244304
2,352,-212469.73600862562
2,367,-2658399.97971808
2,373,-189228.3659174932
2,377,-1803254.9962265606
2,383,-2540715.932672237
2,391,-1055123.6745819137
2,417,-1428664.103246994
2,421,-474505.45792984695
2,471,-6080637.029159445
2,472,-767692.9210226507
2,474,-892540.3709424732
2,495,-484268.8554522084
2,540,-3272790.2240352547
2,544,-4924974.076911747
2,554,-2451484.188871006
2,564,-657887.4980119905
2,584,-288491.55261607235
2,611,-4174493.8356402568
2,629,-333566.45101792994
2,647,-3992541.8242025403
2,665,-1952768.6706173501
2,678,-999122.0439170633
2,686,-754746.7434966584
2,687,-1381285.8695703894
2,688,-179064.57630726034
2,692,-1422756.4918883974
2,693,-951011.1167115462
2,696,-134611.5931784336
2,721,-1312253.3916527464
2,741,-683125.9792911994
2,743,-2317940.2746663415
2,769,-964785.1467735275
2,770,-5500365.73831357
2,798,-118874.84219753108
2,810,-341636.0602812609
2,840,-2526536.8597849314
2,847,-484884.4028087102
2,849,-2135847.4114456037
2,862,-861382.1968141703
2,872,-1084287.3108853013
2,877,-119198.07450603037
2,891,-6549439.185234939
2,907,-811966.4986007578
2,912,-1274672.2790197327
2,922,-3369596.9756392604
2,933,-1654797.0185531653
2,940,-1412812.4820780926
2,943,-471483.1312780414
2,945,-1238492.7849102207
2,965,-2711593.7585245306
2,966,-8140552.587218597
2,970,-319415.159603404
2,973,-1309381.3631922086
2,985,-139986.9581561699
2,988,-2826151.194130029
2,990,-1338988.1578865922
2,1003,-1284378.7648663663
2,1013,-2656830.8534750943
2,1040,-1156144.76643242
