i,j,kappa_oll,approx
530,1420,0.06924471260948317,0
1744,1774,-0.33229588019596346,0
98,339,-0.14100774179940512,0
392,1617,0.25801118831023184,0
598,1908,0.402846192365409,0
960,1109,-0.3278754548553673,0
1482,1488,-0.23083310392923373,0
872,1026,0.09679350495988592,0
623,1933,-0.3461005893285227,0
1690,2005,-0.059564103948244185,0
408,648,0.4304472177778348,0
37,928,0.17494938379175096,0
1078,1370,0.3391348489761755,0
166,186,-0.13733350422304857,0
1043,1156,0.5473370018062521,0
378,857,-0.2667648642715428,0
611,1373,0.2971835063183528,0
1110,1429,-0.31026496239919155,0
322,1303,-0.30893508711817885,0
42,776,-0.19822977799469688,0
911,1031,-0.46856698297695876,0
132,1700,0.03385108219293009,0
1730,2043,-0.11316084548848249,0
181,533,0.06314924353064977,0
193,974,-0.18389653990798038,0
1838,1960,-0.043407813431179276,0
504,1848,-0.08766942728587046,0
740,1012,0.18888053144402006,0
1263,2046,-0.03896770251443282,0
985,1249,0.13021858853559964,0
1335,1873,0.13030726005293702,0
434,1991,-0.07587518635063795,0
859,1651,0.16204011552105824,0
790,1929,0.33247958727771554,0
57,508,0.043408267571376835,0
442,1196,0.45348745341684893,0
648,1541,-0.019146782798870055,0
1681,1842,0.022731690081664868,0
641,961,-0.42655304637754665,0
1149,1354,0.19293412731443926,0
474,776,0.1461734779019993,0
94,1735,0.3583204099974515,0
1003,1723,0.12747210611094062,0
33,1342,0.1482773816088978,0
582,1130,-0.19286038981956732,0
605,1779,-0.19761207526354108,0
1741,1898,-0.10593731969270781,0
1745,1820,-0.3292332321264153,0
1047,1556,-0.1571244755440766,0
191,1169,0.14134831741047293,0
270,967,-0.10808069217425698,0
421,1690,0.27521504756568815,0
157,1559,-0.013762554653656833,0
1807,1880,0.10396338613709322,0
949,1342,0.09358043519724868,0
49,901,-0.08877200900748816,0
357,516,0.2146486020016043,0
1911,1976,0.44618886985994854,0
225,778,0.2109054011512017,0
927,1095,-0.03191275191508369,0
450,1708,-0.21912778808749023,0
310,1350,-0.004132272583175389,0
517,1459,-0.10320749099143933,0
678,947,0.04661899804749825,0
74,1626,0.22886763448845715,0
862,965,0.27814304688166835,0
3,998,-0.13809503756904573,0
697,1331,0.33874133060230893,0
711,1654,0.34272103771049367,0
814,932,0.12140149460002714,0
9,373,0.21474498761057736,0
1104,1377,-0.201534307554752,0
1712,1933,0.02894047527631982,0
293,1966,-0.004033053091951677,0
655,685,0.20893687790063487,0
1151,1902,0.10633642762591189,0
712,1634,0.08423344772967534,0
893,1188,0.0963895956956271,0
548,1382,-0.20351647946908846,0
275,1268,0.44342993144132214,0
1214,1570,-0.12371348365362911,0
74,1075,0.2087787365190743,0
591,1860,0.4911506398936363,0
1504,1932,-0.00613828458762411,0
960,1950,-0.19893175251816353,0
50,1032,0.15850835210626701,0
78,1683,-0.09074127792363451,0
439,1596,0.2161272235459627,0
1237,1741,-0.26326771073503585,0
1091,1716,-0.020629254279517895,0
1079,1965,-0.20525115091626245,0
700,1783,-0.04206280371234117,0
698,1433,-0.37093813872558434,0
1354,1960,0.23825028386209923,0
208,743,0.21157742621914633,0
186,1626,0.2563539294317805,0
1511,1629,-0.1668548663130922,0
208,932,0.06831998801925632,0
15,771,-0.1452744425865311,0
740,933,-0.06130510110226561,0
1607,2008,-0.02349656713134496,0
813,1987,0.15637719715924747,0
1174,1231,-0.26811675848743177,0
1511,1596,0.023334318654357866,0
14,806,0.05476621553511818,0
304,646,-0.15580998081349584,0
128,1977,0.14609031716604293,0
111,208,-0.10398128888102653,0
578,921,0.44559966306310717,0
694,2041,0.10335965222005394,0
1115,2012,-0.1234366160094913,0
927,1199,-0.13218406820405249,0
250,809,0.5701793740173726,0
933,1397,0.046928729876878905,0
385,1925,0.5569792363572761,0
1162,1209,-0.5972469831809835,0
118,1248,0.04534080390921569,0
1314,1649,0.35449094896860855,0
279,291,0.049944375823985254,0
365,1562,0.508648459164623,0
1045,1139,-0.3053050668650985,0
887,1419,0.1544700652925458,0
654,1456,0.06268855692724773,0
1649,1968,0.39132129722931375,0
38,1716,-0.16026100761734297,0
1043,1437,-0.20766605624203605,0
544,1386,-0.09697250046904471,0
304,931,-0.3281917468686586,0
1362,1733,-0.30510589321956405,0
115,1210,-0.2919030799609361,0
648,864,0.703500668508009,0
254,754,-0.13982558196490147,0
1228,1288,-0.28773768139063116,0
207,1772,0.21468957978014314,0
59,1245,-0.4385930766315598,0
985,1400,0.5128532643418964,0
383,1193,0.012946776493742096,0
643,1019,-0.09639356540790955,0
765,1448,0.6231378977246719,0
886,968,0.019243264079242817,0
552,1922,0.2292019845123554,0
1283,1384,-0.05206822372144537,0
26,1711,-0.1829978548029767,0
1276,1410,-0.30375121381157455,0
1075,1231,0.13407071934851278,0
1456,2004,-0.28160305601439806,0
279,1617,0.28499945547044714,0
481,616,-0.24535028983875184,0
814,1437,0.20263772973855487,0
900,1257,0.45525304902426944,0
9,1045,0.5182201422373827,0
813,1248,-0.00496091437564905,0
403,1193,-0.07048549891411326,0
1085,2045,0.03284671707452003,0
110,1845,0.21125570436517727,0
477,865,-0.01290718706975924,0
56,310,0.18458043146973757,0
1091,1189,-0.10007852954882623,0
575,1761,-0.12864103207744138,0
623,1632,0.32663318293206656,0
1798,1809,-0.3477709280169592,0
517,1602,0.5462856915534962,0
277,940,-0.3814598016112454,0
678,1465,-0.34288091085342653,0
1234,1408,0.1204897738956704,0
965,1974,0.06535393097163533,0
673,780,-0.013696927181605423,0
392,406,0.20045067766971214,0
461,681,0.35204713304844715,0
1123,1504,0.20648252050685367,0
141,892,0.17175597028498812,0
54,1554,-0.13402547958888844,0
156,373,0.12263183963625579,0
1074,1260,0.14010903479338932,0
823,1992,0.4469322677729898,0
1523,1967,0.1801373854197199,0
715,763,0.24144947435170372,0
1605,1960,0.349272020404334,0
815,1549,0.3032716006741477,0
309,829,-0.680491289078663,0
877,1651,0.14188539494053176,0
128,1968,0.26500849696340645,0
1095,1109,-0.08845445102432503,0
1380,1512,-0.10872938360449691,0
942,1421,0.08378754243376008,0
512,1281,0.37704622251619346,0
514,2000,-0.2447719376846933,0
241,1681,0.45484441744534176,0
238,1082,0.014709663088451341,0
632,1643,0.35676963409973994,0
59,417,-0.06654950535363113,0
180,1404,-0.18312815197910015,0
1718,1978,0.0558618056005985,0
889,1051,-0.0010076940945036306,0
747,1456,-0.10451413623727746,0
1219,1511,0.209064384615684,0
440,873,0.25224001331133683,0
1245,1659,0.34390934709689835,0
155,685,0.3465875516781789,0
1171,1903,-0.20882835217427886,0
35,1331,0.2846582266231148,0
75,204,-0.34183679450535864,0
1569,1678,0.22066266173739602,0
300,956,0.21515622716971017,0
121,1213,-0.08736835266026244,0
992,1197,-0.051966839565425804,0
281,407,0.3949473156770742,0
147,2032,-0.007245903809998122,0
933,1214,-0.39696946554731216,0
20,1013,-0.1601192864750982,0
1351,1558,-0.22562087944154685,0
371,1293,0.1416700255920853,0
141,420,-0.3887318250043994,0
685,1679,0.5069319756555605,0
287,1523,0.01592495888431633,0
916,1286,0.3803903833599437,0
980,1821,-0.04417578609341222,0
516,835,0.22718983685349048,0
688,1937,0.34339104301953605,0
1350,1691,0.0941715160892237,0
