node,mean_kappa_oll
74,-0.002517754329356265
297,0.13207802476171462
887,0.18438579444523276
1141,0.1651659293406938
118,0.005977104590423809
205,0.05725649724441502
784,0.03776510597486253
1477,-0.08448466772250245
1557,0.004775168190736603
1839,0.0014573374291743236
932,0.20553745625004222
1453,0.16258653575168422
71,-0.09073620003395422
1661,-0.09256825038015717
275,0.10941179839639507
1250,0.013765886909920881
1021,0.21942360649416762
1889,-0.026021475606093847
770,0.22393862228582526
1539,0.16872417721489183
970,0.06930409912304343
1823,-0.16383460399421076
1075,0.05337450443798255
1091,0.09071995383883813
1956,-0.12858359449036424
141,-0.054925196066103785
1777,0.008052446716246263
1064,0.04562988629502006
1616,-0.053579774638068546
1868,-0.017013899775682795
680,0.05100939091358203
1875,0.008735291210851799
602,-0.1284788439026355
1838,-0.0776790988712937
239,-0.014452388002441469
1604,-0.09298644550649761
1200,-0.10829029320347075
1946,0.0937608729339657
949,0.07898877665708699
1541,-0.060575974264949296
1426,-0.0908643741563315
1799,-0.14769170096944534
44,-0.11921213659737744
1351,-0.07776418172775935
1261,-0.1591231489684909
1614,-0.2289018423374717
84,-0.00571087238652595
1206,0.05576227914873224
852,0.03834110548844673
1979,0.02700585235228422
22,-0.10766455923286004
1914,0.3719683019635659
889,-0.036272890743818745
1648,0.0720675440070197
29,0.026275394731021258
721,0.05299716994249963
1217,0.12513042687064369
1400,-0.052766008568317556
1749,0.19865521227006286
1854,0.2148958342099395
150,-0.053218121041201535
1864,0.0458001921891279
978,0.012447283742930828
1060,0.00017450885051826704
979,0.1026795672705861
1462,-0.012695334709313787
556,-0.2996884588089818
1195,0.021977949746114056
1651,0.04656600851570472
637,0.017426614294730157
959,0.03491856285434572
494,-0.004172707416246098
1684,0.05526302602137246
310,0.025787018941953916
1716,-0.17125213623884641
279,-0.003980020550539593
1549,0.15694759713774814
1558,0.08192513103673353
1847,-0.3280063974746983
255,-0.1654452381082416
378,-0.022715614269839236
511,0.35939586014549213
703,0.17159273704966682
1081,0.12367129969575373
1888,-0.028919996305350235
140,0.12635132078239092
155,0.014713700546059139
1758,-0.15148895502983153
1904,-0.17747769370868047
119,-0.18849903009394087
1320,0.02855654103057068
935,0.048878728117259726
1149,0.06269286664347437
636,-0.00867553914457368
1163,0.025505056202061147
1131,0.07177638223916466
1991,-0.03453435948230097
544,-0.041225998955072986
1271,-0.04947012902604407
920,-0.21074226380199024
1611,-0.5919099129527012
181,-0.022323798743465594
2014,-0.031381390444706656
349,-0.23514321520731227
1655,0.14856864504406586
403,0.10097514650074303
723,0.01729986581331316
1826,-0.025031273586117692
291,0.17710803809711234
1690,0.09535146007409595
1740,0.0011402180153343175
2031,0.12546774649506523
57,-0.022234838896112455
476,-0.35450084355914824
1765,-0.1161615456311697
21,0.20536170459835054
1228,0.14931360245438113
988,0.16279980544333963
1786,0.11401380882147953
1233,-0.07150079051729717
892,-0.021386128786731236
214,-0.0990963444999861
228,0.13214401652772534
1255,-0.025716967287899784
1776,-0.21154329567606212
564,-0.06556509568458566
798,0.09399871032309527
1124,0.3402169079263562
1919,0.07141046543404626
218,-0.3452540480639684
1126,-0.08323691966549392
585,-0.07850721529657266
1856,-0.07335707655841053
777,-0.07765035793135516
942,-0.000840900720137878
1076,-0.1340248457531888
1613,-0.21208481062975412
1123,0.0035631757670246053
1855,0.007008169968985539
1111,-0.08758667091252217
628,0.21338820556672208
98,0.010258095801529143
873,-0.027396909859197488
169,-0.0631898890096493
1474,-0.04361343509660217
2035,0.05198486794395438
1003,0.09655006834952484
2005,0.043198091035658415
877,0.03692928281166712
1353,0.006942762147528951
468,-0.13731702963204
1681,-0.13278124418511786
657,-0.035162545307044504
1570,-0.1972922406163301
815,0.18686107732041798
1678,0.049694357241428296
1468,-0.027611636233152742
1987,0.043471837396152485
530,0.0033558905597435747
2013,0.005758187966856095
580,-0.05905942318257478
1384,-0.016501640037634494
1592,-0.24651074434133038
1770,-0.006186875166138709
1802,0.03092656156702362
1941,0.0011017682007764074
510,-0.10096372697701152
1574,0.09030174642573056
1983,0.01690179283076012
96,0.03401142053201947
198,-0.32015356607838286
208,-0.05600845870302303
377,-0.04582095722662049
1397,-0.05670981061465035
1580,0.033060231048291755
1901,0.16636348351839117
1167,-0.009199616431312355
1821,0.013080993609867407
363,-0.020135235317099653
1768,0.0619546340135473
253,-0.019639817664858773
1274,-0.042767615435830006
1679,0.10239190485761421
1829,0.1151153310399029
270,-0.11783459770142618
1647,0.18969227016495951
1035,-0.30907849038915736
1169,-0.06072223865784491
1812,0.009832992550239407
919,-0.03321508032739192
1984,-0.021892828434443606
811,0.04925930464546317
1269,-0.19215011622846156
19,-0.04991734209035959
88,0.04990080034295343
954,0.0011813322849968581
1596,0.10435882776661164
925,0.09206345753001911
1153,-0.23102849040801016
72,0.10069021169515593
1437,0.07824199224778948
891,0.23139880100011595
1632,0.1258518292338901
28,0.057123205606238965
1070,0.012041750928627692
1243,-0.022133270275161706
1928,-0.0005787879141154494
128,0.08911024654034862
547,0.14830154056722206
613,0.1165079746178801
1620,-0.013895825383305931
757,-0.17851085614608084
1922,-0.11159524239195356
312,0.1439088467853448
1174,0.0555443065451431
60,0.08391133157637568
455,-0.03998555080992821
515,0.11400554071392448
864,0.0526901287014825
1078,0.07760861340590777
1036,0.058843641472031846
1933,-0.15754373451770315
1372,-0.03823322983594335
389,-0.09639451835596695
1848,-0.009090939467493175
1667,0.08420990882807605
589,-0.0011939725283356276
908,-0.27691063834394736
634,0.0
1330,-0.4794385423009069
1105,-0.11751383412473031
1943,-0.031240727376776096
691,0.014483565380314383
1058,-0.1039502653563809
1379,-0.5075054782858777
830,-0.002669547381961136
958,0.002734726513005272
254,-0.07782605110614783
1694,0.117387630101223
805,-0.08587037273642631
1887,-0.030511570878499043
300,-0.08601903398906158
639,0.04546379321880378
226,-0.17074098827874937
624,-0.281121165258282
219,-0.09153257072518749
1286,-0.09307460553525505
1782,-0.06754204049374724
1785,-0.15616751391033296
710,-0.052458700725183154
1634,0.0028967308128945595
782,-0.006187544543396545
948,-0.3390622640776081
1696,-0.39753226754287263
224,-0.1087526594546231
1583,0.020313280079642393
288,0.0009883986599467365
550,0.008849970065302304
846,0.06769783306798854
577,-0.0607524855246866
651,-0.07372561045143038
682,-0.1485001870099033
1139,0.12417686521419959
133,0.0790621879932997
137,0.024360369637662808
193,-0.038706383323757476
1192,0.014724729530007554
655,0.11490684227165598
937,0.08323781622186271
1942,-0.10813693199743543
101,0.14885495477221658
966,0.0927201667590162
97,-0.06663481633143446
1940,-0.0033574067656125
998,-0.1495931618850091
685,0.05573523674268547
2011,0.2050506466496327
180,-0.08457213750455413
422,-0.06087229128339889
139,0.10935910487558097
230,0.027160197944145165
315,-0.1151046863658213
1272,0.16038595664030536
1259,-0.061862214881272894
1582,0.056004759794918736
1590,0.11549563835127971
172,-0.07458839958359947
616,-0.400284675836758
643,0.05202632456014315
1424,0.06149837938344318
529,-0.2553322089386717
1040,0.04386535129650641
1355,0.012385829470011683
619,-0.3430613161565719
845,-0.6588484444303961
1347,0.026538078735369997
321,-0.1586874504194958
525,-0.044060787534324124
1605,-0.03582969470563597
34,-0.10283680758371166
1291,-0.6342091319327752
145,0.08103189797373288
522,-0.030647816218678584
1955,-0.39997009357023244
952,0.058444978050912186
1257,-0.10487257591752383
383,0.09144670684018874
2029,0.008392926906688154
206,0.07931390147600972
281,0.07893729458896968
1654,0.012225929734219853
1097,0.08631342054469751
1772,0.05777734309814738
681,-0.15404676749188964
983,-0.03584463028257138
1297,-0.07034612505805053
771,0.10739817769481255
832,-0.02602934513566128
1164,-0.12172617036616593
46,0.07189686009344745
1240,-0.04936893513532575
471,0.0012251967505592903
1371,-0.046432936728537114
1924,0.010754340506239569
352,0.03820869858151609
1093,0.08668854860447407
27,-0.5983812978704046
1571,-0.46756957995556264
660,0.013478711200298421
1967,0.005375217405403538
753,0.031046235546888255
1629,0.02261881031892167
623,0.2283504795199283
938,0.13906006951608238
1573,0.06801433432386
665,0.2031992615944049
1045,0.03130472045962144
487,-0.1193650888385039
1429,0.00885124839794015
1421,-0.00449975752599197
598,-0.029163263772660916
1908,-0.16231462614494638
1488,0.010976780179874242
415,0.07889925069410261
754,0.11468067899249332
1816,0.006825149076193602
2,0.13558705921641234
1401,0.06496698919555517
113,-0.0616002924370321
1336,-0.06231125305621555
1082,-0.1526215325404235
436,0.15657442678170164
1155,0.18257766583490656
442,0.04550477561720891
433,-0.18460584648332048
1219,-0.06632439769481488
1973,-0.02849898258898605
151,0.0670641359941567
217,-0.11212640538803598
1302,-0.07512079901640319
1962,-0.1192410530945219
900,0.022565394173481104
93,-0.0414747483907426
901,0.006847685269687298
1189,-0.09286956176295794
1793,-0.10490079134859219
325,-0.05314970622305537
1845,0.04801354512847044
1404,-0.028285428397678114
24,0.08754838476625615
474,-0.020159410751919505
912,-0.1677551804690787
860,0.15412835995898544
1635,0.1361417239885957
611,0.012818622088281974
2004,-0.09160235058122715
1047,0.04468973628863578
5,-0.1311729111031419
30,0.05540094482838005
1705,0.06627185753211923
1554,-0.05711693820109367
1599,0.0724276666662382
733,-0.046607963865220134
947,-0.1308127269628316
1646,-0.09297312021082688
