step,node,omega,phi,spin,,
4000,1,1,5.497793166,-1,-1,0
4000,2,1,2.356188468,1,1,0
4000,3,1,2.356188468,-1,-1,0
4100,0,1,5.497791603,1,1,0
4100,1,1,5.497791603,-1,-1,0
4100,2,1,2.356190031,1,1,0
4100,3,1,2.356190031,-1,-1,0
4200,0,1,5.497790446,1,1,0
4200,1,1,5.497790446,-1,-1,0
4200,2,1,2.356191188,1,1,0
4200,3,1,2.356191188,-1,-1,0
4300,0,1,5.497789589,1,1,0
4300,1,1,5.497789589,-1,-1,0
4300,2,1,2.356192045,1,1,0
4300,3,1,2.356192045,-1,-1,0
4400,0,1,5.497788954,1,1,0
4400,1,1,5.497788954,-1,-1,0
4400,2,1,2.35619268,1,1,0
4400,3,1,2.35619268,-1,-1,0
4500,0,1,5.497788485,1,1,0
4500,1,1,5.497788485,-1,-1,0
4500,2,1,2.356193149,1,1,0
4500,3,1,2.356193149,-1,-1,0
4600,0,1,5.497788137,1,1,0
4600,1,1,5.497788137,-1,-1,0
4600,2,1,2.356193497,1,1,0
4600,3,1,2.356193497,-1,-1,0
4700,0,1,5.497787879,1,1,0
4700,1,1,5.497787879,-1,-1,0
4700,2,1,2.356193755,1,1,0
4700,3,1,2.356193755,-1,-1,0
4800,0,1,5.497787688,1,1,0
4800,1,1,5.497787688,-1,-1,0
4800,2,1,2.356193946,1,1,0
4800,3,1,2.356193946,-1,-1,0
4900,0,1,5.497787547,1,1,0
4900,1,1,5.497787547,-1,-1,0
4900,2,1,2.356194087,1,1,0
4900,3,1,2.356194087,-1,-1,0
5000,0,1,5.497787442,1,1,0
5000,1,1,5.497787442,-1,-1,0
5000,2,1,2.356194192,1,1,0
5000,3,1,2.356194192,-1,-1,0
5100,0,1,5.497787365,1,1,0
5100,1,1,5.497787365,-1,-1,0
5100,2,1,2.356194269,1,1,0
5100,3,1,2.356194269,-1,-1,0
5200,0,1,5.497787307,1,1,0
5200,1,1,5.497787307,-1,-1,0
5200,2,1,2.356194327,1,1,0
5200,3,1,2.356194327,-1,-1,0
5300,0,1,5.497787265,1,1,0
5300,1,1,5.497787265,-1,-1,0
5300,2,1,2.356194369,1,1,0
5300,3,1,2.356194369,-1,-1,0
5400,0,1,5.497787234,1,1,0
5400,1,1,5.497787234,-1,-1,0
5400,2,1,2.3561944,1,1,0
5400,3,1,2.3561944,-1,-1,0
5500,0,1,5.49778721,1,1,0
5500,1,1,5.49778721,-1,-1,0
5500,2,1,2.356194424,1,1,0
5500,3,1,2.356194424,-1,-1,0
5600,0,1,5.497787193,1,1,0
5600,1,1,5.497787193,-1,-1,0
5600,2,1,2.356194441,1,1,0
5600,3,1,2.356194441,-1,-1,0
5700,0,1,5.49778718,1,1,0
5700,1,1,5.49778718,-1,-1,0
5700,2,1,2.356194454,1,1,0
5700,3,1,2.356194454,-1,-1,0
5800,0,1,5.497787171,1,1,0
5800,1,1,5.497787171,-1,-1,0
5800,2,1,2.356194463,1,1,0
5800,3,1,2.356194463,-1,-1,0
5900,0,1,5.497787164,1,1,0
5900,1,1,5.497787164,-1,-1,0
5900,2,1,2.35619447,1,1,0
5900,3,1,2.35619447,-1,-1,0
6000,0,1,5.497787159,1,1,0
6000,1,1,5.497787159,-1,-1,0
6000,2,1,2.356194475,1,1,0
6000,3,1,2.356194475,-1,-1,0
6100,0,1,5.497787155,1,1,0
6100,1,1,5.497787155,-1,-1,0
6100,2,1,2.356194479,1,1,0
6100,3,1,2.356194479,-1,-1,0
6200,0,1,5.497787152,1,1,0
6200,1,1,5.497787152,-1,-1,0
6200,2,1,2.356194482,1,1,0
6200,3,1,2.356194482,-1,-1,0
6300,0,1,5.49778715,1,1,0
6300,1,1,5.49778715,-1,-1,0
6300,2,1,2.356194484,1,1,0
6300,3,1,2.356194484,-1,-1,0
6400,0,1,5.497787148,1,1,0
6400,1,1,5.497787148,-1,-1,0
6400,2,1,2.356194486,1,1,0
6400,3,1,2.356194486,-1,-1,0
6500,0,1,5.497787147,1,1,0
6500,1,1,5.497787147,-1,-1,0
6500,2,1,2.356194487,1,1,0
6500,3,1,2.356194487,-1,-1,0
6600,0,1,5.497787146,1,1,0
6600,1,1,5.497787146,-1,-1,0
6600,2,1,2.356194488,1,1,0
6600,3,1,2.356194488,-1,-1,0
6700,0,1,5.497787146,1,1,0
6700,1,1,5.497787146,-1,-1,0
6700,2,1,2.356194488,1,1,0
6700,3,1,2.356194488,-1,-1,0
6800,0,1,5.497787145,1,1,0
6800,1,1,5.497787145,-1,-1,0
6800,2,1,2.356194489,1,1,0
6800,3,1,2.356194489,-1,-1,0
6900,0,1,5.497787145,1,1,0
6900,1,1,5.497787145,-1,-1,0
6900,2,1,2.356194489,1,1,0
6900,3,1,2.356194489,-1,-1,0
7000,0,1,5.497787145,1,1,0
7000,1,1,5.497787145,-1,-1,0
7000,2,1,2.356194489,1,1,0
7000,3,1,2.356194489,-1,-1,0
7100,0,1,5.497787144,1,1,0
7100,1,1,5.497787144,-1,-1,0
7100,2,1,2.35619449,1,1,0
7100,3,1,2.35619449,-1,-1,0
7200,0,1,5.497787144,1,1,0
7200,1,1,5.497787144,-1,-1,0
7200,2,1,2.35619449,1,1,0
7200,3,1,2.35619449,-1,-1,0
7300,0,1,5.497787144,1,1,0
7300,1,1,5.497787144,-1,-1,0
7300,2,1,2.35619449,1,1,0
7300,3,1,2.35619449,-1,-1,0
7400,0,1,5.497787144,1,1,0
7400,1,1,5.497787144,-1,-1,0
7400,2,1,2.35619449,1,1,0
7400,3,1,2.35619449,-1,-1,0
7500,0,1,5.497787144,1,1,0
7500,1,1,5.497787144,-1,-1,0
7500,2,1,2.35619449,1,1,0
7500,3,1,2.35619449,-1,-1,0
7600,0,1,5.497787144,1,1,0
