node,mean_kappa_forman
0,-23898412429.90191
2,-21715421119.699413
3,-33326651022.66005
7,-12050615471.421175
9,-27298704639.386917
16,-19169661799.551113
23,-13960207779.189774
28,-20791971520.07398
29,-31391292088.431786
30,-27423015759.324642
34,-16095372383.462502
53,-22766120019.517517
57,-32843324659.97265
93,-18269999296.32801
116,-26076339610.779675
120,-18993837224.359634
130,-20004130509.916744
135,-19333802766.830006
141,-33659630570.4085
143,-11616946905.519213
148,-19622499080.065567
156,-30607558991.57501
158,-24362100704.538445
159,-26069179279.18215
160,-19594613588.69615
162,-9030158096.793297
164,-24358752327.375214
169,-18717338931.4746
172,-21589714014.4529
185,-12508721687.874733
187,-7282066085.782239
193,-21901135836.29497
213,-32474707337.70973
214,-14294985560.8369
216,-13035452698.544455
239,-30482845163.968407
243,-12302561533.435427
248,-15667663082.837036
268,-27575862736.03412
276,-35796805249.42955
281,-20663404921.65537
284,-10075046341.680378
288,-20870946863.68595
312,-35046606886.57619
315,-27690729575.613846
318,-21940034763.664185
325,-22440380717.619785
328,-14842328780.139496
330,-15590106792.303305
333,-22022081875.38583
342,-20889160379.14364
348,-25491321769.365215
352,-20089249595.216667
358,-18496425653.952976
367,-25202632431.783997
372,-25347578959.59372
375,-22914178049.003433
377,-26396080210.20309
381,-42491916468.365456
389,-13509636779.24617
391,-13492212323.478704
422,-20391362179.045345
429,-22299378478.56941
434,-21963078279.134926
440,-40275888990.76015
458,-19938383350.625206
472,-37303716182.81207
481,-17703459075.094692
486,-23919241424.809162
489,-22911636564.011013
495,-20078572760.233723
503,-13362850213.35997
504,-18304229244.080097
505,-14375158632.679218
517,-13378939416.322758
524,-9073557199.70495
545,-16035505422.113688
553,-22678097453.0942
555,-45487542108.16836
560,-13177241911.235336
562,-11337708567.317926
580,-23150539694.49339
584,-35124254375.41509
594,-13996790524.218134
599,-22119463804.40186
605,-17107533998.100822
619,-13726840847.320013
627,-22575509290.344696
629,-24343020090.621357
636,-36330956946.97214
641,-9192902771.784325
645,-9420242553.630749
666,-24663559559.659985
677,-14806587731.240688
678,-27597664918.740112
688,-22977060218.088047
691,-30001299493.553303
692,-15659288579.405905
696,-26567489989.80744
699,-14473142019.249847
700,-16916252263.572634
715,-16325929605.957838
721,-26399929920.324623
728,-26478649331.182247
740,-27485091427.677647
749,-11405670356.05822
761,-13714881058.730186
763,-9146529776.628815
765,-10567719244.020124
769,-30791577318.81256
775,-11330846763.762169
777,-24528843827.895916
782,-34652797998.81588
784,-40754347247.88744
789,-22572368937.169956
796,-16765153127.552479
800,-14303313386.207748
810,-15278767795.19391
812,-31076918143.77682
832,-26433206114.140713
833,-11790365485.724064
834,-12802904865.606129
838,-17593985799.60525
840,-14818505522.57196
845,-8768332456.80978
847,-36910550099.48532
849,-24517651505.084415
853,-7639436461.110294
855,-26666710860.128036
870,-18509574892.010822
872,-25638553869.16333
873,-26009245267.567383
876,-9915378845.211788
877,-27400374369.812054
886,-19237204078.432045
889,-22860754630.597076
892,-42327171629.30262
896,-28319705378.858234
900,-39985473499.20184
901,-23565016489.808743
913,-18473972481.72305
919,-26786329165.048374
922,-28064289182.668015
933,-30406135970.30232
942,-20922273143.11427
945,-29056511741.89345
952,-42847310043.58688
963,-8856530571.572401
964,-20833471868.523598
970,-32621305067.34492
974,-21564639800.595093
985,-39739085447.10604
990,-16850794340.129385
993,-19681920986.257523
1000,-24106790621.495117
1002,-32993873635.71691
1011,-11056912975.72131
1012,-23641283562.488297
1021,-20336381183.86676
1026,-19840025034.20189
1037,-18992012665.563435
1041,-13112326018.18956
1051,-18584484736.44107
1054,-15104065549.78836
1055,-13053279316.198326
1069,-25103873894.45996
1070,-17477305991.803146
1079,-26665398545.8806
1084,-14244731768.310682
1085,-24418434098.010715
1091,-41558854216.83764
1093,-26590757520.402077
1096,-18871551760.130817
1106,-13645155860.30262
1111,-21181396221.475315
1115,-34470127841.18853
1116,-22340360389.528194
1117,-35985501528.18399
1123,-24339088217.856445
1137,-13732957348.920668
1164,-22428057650.346928
1174,-34269563930.364544
1178,-8671262529.753119
1179,-22731607105.608208
1189,-35536455490.68443
1192,-41621475917.82395
1212,-12298376799.456797
1214,-25063086470.58689
1231,-33658781320.796417
1234,-27434756759.119072
1239,-15534618851.393818
1257,-30317710318.13912
1271,-27179558257.70602
1272,-22165699641.22029
1280,-10612074758.068964
1295,-14268987949.74739
1300,-28194652111.104107
1307,-35236058840.931465
1319,-11827517302.153694
1322,-33213335424.949924
1326,-15118795806.588917
1338,-30105321285.743107
1340,-24173882573.77024
1350,-37082896805.670265
1351,-26209606189.498188
1353,-28217637125.442947
1359,-14603944222.472624
1381,-26685464584.158142
1385,-28487758356.570454
1387,-18121654440.61087
1397,-38253142980.093155
1400,-28449962534.44967
1404,-22781650572.502888
1407,-9534218321.108181
1410,-10388137271.219625
1411,-28397807487.69764
1421,-19119819420.39808
1424,-31041935837.82223
1436,-18151567610.660885
1443,-17184320544.376328
1448,-15263798651.079725
1461,-16902413210.70257
1465,-30222393402.16106
1483,-20082182136.261276
1485,-33916523996.089493
1488,-38887809009.24698
1501,-37104710432.96819
