node,kappa_forman_node,deg,deg_w
0,-554.567541374497,9,2.271709884402375
1,-187.74850869180233,6,1.157028770242725
2,-648.7418218039031,10,2.3283430346134013
3,-255.38072087835252,6,1.6038849362168688
4,-198.69281692323693,5,0.9264760664614601
5,-263.50793779791866,7,2.1166009836518
6,-868.8587528997484,10,1.888974910128551
7,-10.269092409902964,2,0.34808073780691057
8,0.0,0,0.0
9,-309.95507810098513,7,1.9424186235629102
10,0.0,0,0.0
11,-1.5195349213752167,1,0.49949636962668387
12,0.0,0,0.0
13,-169.22043671171613,4,0.690711354257641
14,-269.19714734551536,5,0.8240008176624288
15,-705.1378274631647,10,2.0150955814570795
16,-416.0003206174993,8,1.5053067712480364
17,-236.08707119072244,7,1.7104917990420507
18,-4.413963693916253,2,0.5420793260323886
19,-68.49617196555073,3,0.4144109339377062
20,-63.93071290716054,3,0.5474411950455704
21,-227.27421245782875,5,0.9433461551725004
22,0.0,0,0.0
23,-388.43402143092976,8,1.527266755974669
24,-21.17172435866207,2,0.42220284729570867
25,2.0,1,0.3608492757848847
26,-1220.4922064435268,13,2.3102183481828527
27,0.0,0,0.0
28,-44.384253085170286,3,0.8394024727258133
29,-239.9517082953486,6,1.3201969860235037
30,-870.6356237723135,13,4.331752313495238
31,0.0,0,0.0
32,-97.29972644796479,5,1.6703527397240416
33,-219.746618339773,7,2.2929337020642944
34,-109.1538615944574,5,1.2295396749344303
35,-37.66019280182776,4,1.361648703032774
36,-96.96393983812982,4,0.7351642423088232
37,-743.239683989664,10,2.269135784602038
38,-147.21514038701315,4,0.838909181804941
39,-91.70256059830243,3,0.5072663039354652
40,0.0,0,0.0
41,0.0,0,0.0
42,-68.36786747552307,4,1.1647365552105655
43,-1044.5901739457272,14,3.6284855783065275
44,-300.5426940452916,7,1.2257997068141882
45,0.0,0,0.0
46,-225.64226992724133,7,1.843100421292426
47,-37.53531176393099,3,0.7177019948395681
48,-444.8916099258722,9,2.649580282561296
49,-181.18920948557567,6,1.708179902135894
50,-57.39352092793422,2,0.38138419980969784
51,2.0,1,0.542740320982264
52,0.0,0,0.0
53,-227.57274653689956,5,0.8529311639281096
54,-445.1454317426473,9,2.15678707982349
55,-15.206853423381553,2,0.35006859494473097
56,-829.9443349295811,11,2.714136417413538
57,-356.59067419248515,7,1.284745963480539
58,-85.66335650196314,4,0.6623427608299834
59,-6.159490187149125,2,0.38236959783149876
60,-464.89483552141957,9,2.2906008933968502
61,0.0,0,0.0
62,2.0,1,0.1631225831368757
63,-465.0498485819351,9,2.590896768228802
64,0.0,0,0.0
65,0.05418102312292117,1,0.12711318103790034
66,-7.071816215799203,1,0.16307187327611658
67,-11.203754407723151,2,0.4783476116652987
68,-35.92898661501724,3,0.9766985754761989
69,-13.61957351048319,2,0.2962416047016515
70,-465.4885485687562,9,2.860285778546521
71,-73.56101709366922,4,1.1834026625448513
72,-1072.1650230541377,13,3.0717580039855847
73,-1209.0652111078302,13,2.576265827656542
74,-723.1948705974827,10,2.220086292209884
75,-10.398161478106966,1,0.3196520390538063
76,-38.957061319456315,2,0.5443640572556039
77,0.0,0,0.0
78,-7.195679323722486,1,0.2896908780813365
79,-114.05636220810402,5,0.9581580471490915
80,-392.97311787984927,6,0.9971897368655758
81,0.0,0,0.0
82,-5.115325805398244,2,0.8394429290375575
83,-1033.7165541750635,13,3.5285543909868853
84,-480.57345152164135,9,1.4857195611731058
85,-455.0705778661222,10,2.9796998220281137
86,-351.54336603305353,7,1.4643344395231535
87,0.0,0,0.0
88,-605.9985482331566,10,1.8949407627708807
89,-141.74281410808146,5,1.2319599884804358
