kernel,spin_mode,rho_scale,a2,beta,fit_window,n,kernel_file,smallt_sdim,smallt_se,smallt_intercept,smallt_slope,mds_stress_smallt,tfine_sdim,tfine_se,mds_stress_tfine
RTG-K1,same,1.16,0.55,1.5,smallt,2048,K_2048_CURRENT.npy,-0.011742075633488459,9.766945444923865e-06,0.018453247822447717,0.00352430170412937,0.9433317132219565,-0.05266370485830537,0.0001406943011551073,0.9433317132219565
RTG-K1,same,1.16,0.55,1.5,smallt,4096,K_4096_CURRENT.npy,-0.04355970028418384,0.0001456463839842607,0.0580767609974866,0.011060002893634572,0.9662998333841258,-0.14891293959165172,0.0008342480801961683,0.9662998333841258
RTG-K1,same,1.16,0.55,1.5,smallt,8192,K_8192_CURRENT.npy,-0.07477039155646943,0.00014039756670875442,0.1046568514482464,0.019916095529668637,0.9791606876635998,-0.24261253458594398,0.0007730618374032224,0.9791606876635998
