node,deg_wsum,ric_forman
0,0.41640543937683105,1.6813437938690186
1,0.48813191056251526,2.0
2,0.6141061782836914,0.6341384649276733
3,0.8411372900009155,2.0
4,1.5532135963439941,-15.211126804351807
5,1.2440639734268188,-0.37383174896240234
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.4144989252090454,2.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.5025569200515747,1.162344217300415
14,0.40092217922210693,-1.356626033782959
15,1.4206327199935913,-0.5607396364212036
16,1.0758094787597656,-15.48313558101654
17,0.5767456293106079,2.0
18,0.45236003398895264,2.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.47613319754600525,1.0404176712036133
24,0.4346108138561249,-1.7413520812988281
25,0.0,0.0
26,1.1064107418060303,-2.3760958909988403
27,0.0,0.0
28,0.5104514956474304,0.8385448455810547
29,0.0,0.0
30,1.858755350112915,-23.424440383911133
31,0.0,0.0
32,0.9164913892745972,-2.1004462242126465
33,0.909392237663269,0.5578042268753052
34,0.43039724230766296,2.0
35,0.4051646590232849,2.0
36,0.5265894532203674,2.0
37,0.7478416562080383,2.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,1.3711857795715332,0.32243382930755615
43,3.007995843887329,-116.7770586013794
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.9056985378265381,1.0586990118026733
48,1.5583631992340088,-23.874098300933838
49,0.8254761099815369,2.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.5903459191322327,2.0
55,0.0,0.0
56,0.0,0.0
57,0.4226195216178894,1.3714499473571777
58,0.425757497549057,1.1660826206207275
59,0.0,0.0
60,0.7034890055656433,0.49330317974090576
61,0.0,0.0
62,0.0,0.0
63,1.4187755584716797,-20.11558508872986
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.5763811469078064,0.6898096799850464
69,0.5804533362388611,2.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,1.2853502035140991,0.9268317222595215
74,0.9116484522819519,-1.9403271675109863
75,0.0,0.0
76,0.43477627635002136,2.0
77,0.40649524331092834,1.3433918952941895
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.42409658432006836,2.0
83,3.3045883178710938,-244.78922271728516
84,0.46315109729766846,1.1591203212738037
85,1.7791205644607544,-15.502110004425049
86,0.0,0.0
87,0.0,0.0
88,0.5712109208106995,2.0
89,1.0601191520690918,-15.1808580160141
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.9583923816680908,-1.9961669445037842
95,1.3743575811386108,-0.4488651752471924
96,0.0,0.0
97,0.0,0.0
98,0.6211681365966797,0.6922023296356201
99,0.0,0.0
100,1.7012014389038086,-24.1298508644104
101,0.5694707036018372,-7.027772903442383
102,0.0,0.0
103,1.4305387735366821,-3.535851836204529
104,1.0051249265670776,0.8094795942306519
105,0.0,0.0
106,0.0,0.0
107,0.4859338402748108,1.0673441886901855
108,0.0,0.0
109,1.4346768856048584,-6.013732433319092
110,0.4008561670780182,1.121095895767212
111,0.7792794704437256,2.0
112,0.0,0.0
113,0.0,0.0
114,0.59764164686203,2.0
115,0.0,0.0
116,1.870115876197815,-18.785335540771484
117,0.0,0.0
118,0.4657912254333496,1.4366192817687988
119,0.0,0.0
120,1.1826868057250977,-6.483619928359985
121,0.0,0.0
122,0.6578856706619263,-2.250185251235962
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,1.740057110786438,-15.5084707736969
127,0.5322051048278809,2.0
128,0.5203821063041687,0.9048837423324585
129,0.0,0.0
130,0.5231636166572571,-7.308879852294922
131,0.40846607089042664,2.0
132,1.068026065826416,0.9934885501861572
133,0.7800107002258301,2.0
134,0.0,0.0
135,1.092781901359558,-15.443992972373962
136,0.0,0.0
137,0.9996384382247925,-7.779280185699463
138,0.0,0.0
139,0.8134930729866028,2.0
140,0.9874765872955322,1.3916757106781006
141,1.356597661972046,-28.221556663513184
142,1.174072027206421,-5.972514629364014
143,1.3531253337860107,-3.1785874366760254
144,0.5948934555053711,2.0
145,1.6954889297485352,-18.294060230255127
146,0.0,0.0
147,1.3170256614685059,-3.540099263191223
148,0.4461384415626526,2.0
149,0.0,0.0
150,0.6002580523490906,0.6861895322799683
151,1.2446411848068237,-8.184236764907837
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,1.1747702360153198,-11.372003555297852
156,0.8742547631263733,-1.9828383922576904
157,0.0,0.0
158,0.0,0.0
159,1.1407485008239746,2.0040239095687866
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.43419286608695984,2.0
165,0.0,0.0
166,0.44963252544403076,2.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.8811043500900269,-1.8943214416503906
