beta,var,sdim_n2048,sdim_n4096,sdim_n8192
1.35,0.005878450763236256,-0.09682346777414455,-0.1911493070865395,-0.2846277947863278
1.4,0.005785083636113111,-0.09646393226222523,-0.19040229727634528,-0.2827692696120412
1.45,0.005705902984229974,-0.0961831087567816,-0.1898079305198757,-0.28120679989940767
1.5,0.006013787467083183,-0.05266370485830537,-0.14891293959165172,-0.24261253458594398
1.55,0.005580273753817927,-0.09579728883905536,-0.18896342739779232,-0.2787668855385519
1.6,0.0055303082665462125,-0.09567034824815804,-0.1886724724402659,-0.27781558040424353
1.65,0.005487188672410242,-0.0955769674307986,-0.1884494661427248,-0.2770071917008242
