"beta","sdim","se","mds"
"1.4","-0.09843336645455705","0.00026741610780647466","0.9332745084673666"
"1.4","-0.09610407042221275","0.00021801917081858995","0.9370526580061734"
"1.6","-0.09742569677114393","0.0002580055537965859","0.9160883186723308"
"1.6","-0.09528857273935284","0.00021099182708006438","0.9498178628914892"
