file,kernel_file,n,spin,rho_scale,a2,beta,sdim,se,mds_stress
K_4096_same_rho1p14_a2p55_b1p50_tfine.json,K_4096_same_rho1p14_a2p55_b1p50.npy,4096,same,1.14,0.55,1.5,-0.187554297998056,0.0009715411751536142,0.9677459064432634
K_4096_same_rho1p16_a2p55_b1p35_tfine.json,K_4096_same_rho1p16_a2p55_b1p35.npy,4096,same,1.16,0.55,1.35,-0.1911493070865395,0.0009777946608145805,0.9575201667131182
K_4096_same_rho1p16_a2p55_b1p40_tfine.json,K_4096_same_rho1p16_a2p55_b1p40.npy,4096,same,1.16,0.55,1.4,-0.19040229727634528,0.0009708466068498054,0.9606461913627543
K_4096_same_rho1p16_a2p55_b1p45_tfine.json,K_4096_same_rho1p16_a2p55_b1p45.npy,4096,same,1.16,0.55,1.45,-0.1898079305198757,0.0009650215213013319,0.9636165536482617
K_4096_same_rho1p16_a2p55_b1p50_tfine.json,K_4096_same_rho1p16_a2p55_b1p50.npy,4096,same,1.16,0.55,1.5,-0.18933606069251033,0.0009599453999658157,0.9662998333841258
K_4096_same_rho1p16_a2p55_b1p55_tfine.json,K_4096_same_rho1p16_a2p55_b1p55.npy,4096,same,1.16,0.55,1.55,-0.18896342739779232,0.0009554070365296323,0.9686300293199522
K_4096_same_rho1p16_a2p55_b1p60_tfine.json,K_4096_same_rho1p16_a2p55_b1p60.npy,4096,same,1.16,0.55,1.6,-0.1886724724402659,0.0009510713941494375,0.9706309206034658
K_4096_same_rho1p16_a2p55_b1p65_tfine.json,K_4096_same_rho1p16_a2p55_b1p65.npy,4096,same,1.16,0.55,1.65,-0.1884494661427248,0.0009469775362394725,0.9723532221664539
K_4096_same_rho1p18_a2p55_b1p50_tfine.json,K_4096_same_rho1p18_a2p55_b1p50.npy,4096,same,1.18,0.55,1.5,-0.19117347636443802,0.0009494632451988312,0.9648144339975342
K_4096_same_rho1p20_a2p50_b1p60_tfine.json,K_4096_same_rho1p20_a2p50_b1p60.npy,4096,same,1.2,0.5,1.6,-0.15185987847815843,0.0008348915336847507,0.9677432232570372
K_4096_same_rho1p20_a2p55_b1p50_tfine.json,K_4096_same_rho1p20_a2p55_b1p50.npy,4096,same,1.2,0.55,1.5,-0.1930688683115398,0.0009404907972385426,0.9632988248683987
K_4096_same_rho1p2_a20p5_b1p6_tfine.json,K_4096_same_rho1p2_a20p5_b1p6.npy,,,,,,-0.19355061566186982,0.0010597324317631847,0.9677432232570372
K_8192_same_rho1p12_a2p55_b1p50_tfine.json,K_8192_same_rho1p12_a2p55_b1p50.npy,8192,same,1.12,0.55,1.5,-0.2730763708447145,0.0016770955465805304,0.9806494425715875
K_8192_same_rho1p14_a2p55_b1p50_tfine.json,K_8192_same_rho1p14_a2p55_b1p50.npy,8192,same,1.14,0.55,1.5,-0.27643589606841223,0.0016859321386139968,0.9799112144857351
K_8192_same_rho1p16_a2p55_b1p35_tfine.json,K_8192_same_rho1p16_a2p55_b1p35.npy,8192,same,1.16,0.55,1.35,-0.2846277947863278,0.0017241684535242792,0.9745757183958227
K_8192_same_rho1p16_a2p55_b1p40_tfine.json,K_8192_same_rho1p16_a2p55_b1p40.npy,8192,same,1.16,0.55,1.4,-0.2827692696120412,0.0017124073484786,0.9763244076128801
K_8192_same_rho1p16_a2p55_b1p45_tfine.json,K_8192_same_rho1p16_a2p55_b1p45.npy,8192,same,1.16,0.55,1.45,-0.28120679989940767,0.0017031669419028481,0.9778387169688351
K_8192_same_rho1p16_a2p55_b1p50_tfine.json,K_8192_same_rho1p16_a2p55_b1p50.npy,8192,same,1.16,0.55,1.5,-0.2798865432495651,0.0016958031226669032,0.9791606876635998
K_8192_same_rho1p16_a2p55_b1p55_tfine.json,K_8192_same_rho1p16_a2p55_b1p55.npy,8192,same,1.16,0.55,1.55,-0.2787668855385519,0.0016895106896659673,0.9803213092441854
K_8192_same_rho1p16_a2p55_b1p60_tfine.json,K_8192_same_rho1p16_a2p55_b1p60.npy,8192,same,1.16,0.55,1.6,-0.27781558040424353,0.0016842417295364533,0.9813472568104997
K_8192_same_rho1p16_a2p55_b1p65_tfine.json,K_8192_same_rho1p16_a2p55_b1p65.npy,8192,same,1.16,0.55,1.65,-0.2770071917008242,0.0016799742197373957,0.9822610925916012
K_8192_same_rho1p18_a2p55_b1p50_tfine.json,K_8192_same_rho1p18_a2p55_b1p50.npy,8192,same,1.18,0.55,1.5,-0.28343075674835194,0.0017069975420016255,0.9783976774462138
K_8192_same_rho1p20_a2p50_b1p60_tfine.json,K_8192_same_rho1p20_a2p50_b1p60.npy,8192,same,1.2,0.5,1.6,-0.24783103478750837,0.0007818552931001002,0.9798320343026689
K_8192_same_rho1p20_a2p55_b1p50_tfine.json,K_8192_same_rho1p20_a2p55_b1p50.npy,8192,same,1.2,0.55,1.5,-0.2870709224888279,0.0017197170684723534,0.9776220644055307
K_8192_same_rho1p2_a20p5_b1p6_tfine.json,K_8192_same_rho1p2_a20p5_b1p6.npy,,,,,,-0.2860555023438224,0.0009829693118541228,0.9798320343026689
K_4096_same_rho1p12_a2p55_b1p50_smallt.json,K_4096_same_rho1p12_a2p55_b1p50.npy,4096,same,1.12,0.55,1.5,-0.04304948851138746,0.000148102878921644,0.9691473413253293
K_4096_same_rho1p14_a2p55_b1p50_smallt.json,K_4096_same_rho1p14_a2p55_b1p50.npy,4096,same,1.14,0.55,1.5,-0.043303751273223855,0.0001468763363710436,0.9677459064432634
K_4096_same_rho1p16_a2p55_b1p45_smallt.json,K_4096_same_rho1p16_a2p55_b1p45.npy,4096,same,1.16,0.55,1.45,-0.04355912093253635,0.00014532916207766802,0.9636165536482617
K_4096_same_rho1p16_a2p55_b1p50_smallt.json,K_4096_same_rho1p16_a2p55_b1p50.npy,4096,same,1.16,0.55,1.5,-0.04355970028418384,0.0001456463839842607,0.9662998333841258
K_4096_same_rho1p16_a2p55_b1p55_smallt.json,K_4096_same_rho1p16_a2p55_b1p55.npy,4096,same,1.16,0.55,1.55,-0.04356556503037296,0.00014595482504762414,0.9686300293199522
K_4096_same_rho1p18_a2p55_b1p50_smallt.json,K_4096_same_rho1p18_a2p55_b1p50.npy,4096,same,1.18,0.55,1.5,-0.04381724868226411,0.00014441511100591847,0.9648144339975342
K_4096_same_rho1p20_a2p55_b1p50_smallt.json,K_4096_same_rho1p20_a2p55_b1p50.npy,4096,same,1.2,0.55,1.5,-0.044076270905247655,0.00014318665693469158,0.9632988248683987
K_8192_same_rho1p12_a2p55_b1p50_smallt.json,K_8192_same_rho1p12_a2p55_b1p50.npy,8192,same,1.12,0.55,1.5,-0.07345588173540203,0.00014094062259671327,0.9806494425715875
K_8192_same_rho1p14_a2p55_b1p50_smallt.json,K_8192_same_rho1p14_a2p55_b1p50.npy,8192,same,1.14,0.55,1.5,-0.0741094697178293,0.00014066882035361757,0.9799112144857351
K_8192_same_rho1p16_a2p55_b1p45_smallt.json,K_8192_same_rho1p16_a2p55_b1p45.npy,8192,same,1.16,0.55,1.45,-0.07492320934756155,0.00013953636671967657,0.9778387169688351
K_8192_same_rho1p16_a2p55_b1p50_smallt.json,K_8192_same_rho1p16_a2p55_b1p50.npy,8192,same,1.16,0.55,1.5,-0.07477039155646943,0.00014039756670875442,0.9791606876635998
K_8192_same_rho1p16_a2p55_b1p55_smallt.json,K_8192_same_rho1p16_a2p55_b1p55.npy,8192,same,1.16,0.55,1.55,-0.07463691442719568,0.00014121761241888423,0.9803213092441854
K_8192_same_rho1p18_a2p55_b1p50_smallt.json,K_8192_same_rho1p18_a2p55_b1p50.npy,8192,same,1.18,0.55,1.5,-0.07543833806493386,0.00014013451299695138,0.9783976774462138
K_8192_same_rho1p20_a2p55_b1p50_smallt.json,K_8192_same_rho1p20_a2p55_b1p50.npy,8192,same,1.2,0.55,1.5,-0.07611294494669692,0.00013988691104701578,0.9776220644055307
