node,kappa_forman_node,deg,deg_w
0,-315.73416892105996,7,1.594488410754429
1,-70.4197700583351,4,1.2860302120531757
2,-522.1743616719343,8,1.5207863460827824
3,-773.6099790263718,10,1.8378652208127093
4,-1104.8540373547914,11,1.7975545006176232
5,-618.5946550856049,9,1.874957022595522
6,-948.1680113837429,12,2.3806631644851923
7,2.0,1,0.1614321213415138
8,0.0,0,0.0
9,-492.4473902067344,7,1.239203008803376
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,-160.542822476229,6,1.610564063224253
14,-320.79237218725603,7,1.2282406969513007
15,-543.1209661458178,9,2.51239135491604
16,-240.31917196595973,7,2.2965852635582436
17,-257.98616378267377,7,1.62235998997282
18,-13.43229133048867,2,0.4481273554884808
19,-164.2614797623105,5,1.0627133331302396
20,-116.2876374603025,4,0.6281097995671461
21,-210.3671354763951,5,1.3184488639940606
22,2.0,1,0.152923694881538
23,-30.93641086572251,3,1.2148629275612404
24,-270.1274035618039,6,1.1226445421410896
25,-3.0254289683157616,2,0.44584843187774825
26,-683.8962486792361,11,2.883529046643551
27,0.0,0,0.0
28,-282.30789973762717,6,1.117654322169463
29,-438.8462649524372,8,1.6854281707055714
30,-431.21179508773656,9,2.63468154257351
31,2.0,1,0.11241826470336908
32,-165.29095742600254,5,1.3033659810550091
33,-381.2863969321753,8,1.6012254365405492
34,-95.14242613008474,5,1.6810946818271015
35,-33.05251274058031,2,0.41562814714075236
36,-172.98427581509304,5,1.0229649368827363
37,-902.6780439480676,12,2.5015553527732566
38,-270.60639875703015,7,1.6568520482125588
39,-29.72089262965966,2,0.3115480689617943
40,0.0,0,0.0
41,0.0,0,0.0
42,-28.286090890120164,3,1.0139229645749646
43,-389.7108885371039,8,2.1234586932986894
44,-32.58461240377858,2,0.6816618426701384
45,-16.588802283717115,2,0.3447694741017572
46,-128.66791465556173,5,1.1881068061115139
47,-199.20329033026658,6,1.2845735323893075
48,-437.0452582066627,8,2.263765998411973
49,-287.80338934472223,7,2.099133857415566
50,-16.660384049793365,2,0.3595853982593912
51,0.0,0,0.0
52,-10.939345077530419,1,0.1413059121095167
53,-299.9077211719044,7,1.3975314555436795
54,-342.093425490316,7,1.5677296350512853
55,0.0,0,0.0
56,-691.4905498048537,10,2.1895886460190863
57,-404.0729425412929,7,1.3855086461427708
58,-34.44287328960759,3,0.8742146081652036
59,2.0,1,0.19579469780322217
60,-485.3142417524591,10,2.949621087650861
61,0.0,0,0.0
62,-39.79650951120905,3,0.6800496008745354
63,-389.8864573663312,9,2.725484094082771
64,-3.2155624575080672,1,0.2065653458273549
65,-3.468230786852244,1,0.1630542238476243
66,-41.67227946300017,3,0.4403453934439645
67,-3.1514249768877427,1,0.18191057040861322
68,-48.63381801449797,3,0.9334434328822785
69,-10.1413383738255,2,0.3581172749956688
70,-240.83408846192503,5,1.1331090485398483
71,-45.61587147619875,3,0.7336102870372123
72,-1392.5162211364807,14,3.056425840251171
73,-755.1673192060001,11,2.4362986578291475
74,-801.4756883284745,11,2.5394137117968336
75,-154.20481167974796,5,1.113057505279967
76,-16.771968214906618,2,0.8104419936873077
77,-3.833619224532683,1,0.12063706228326619
78,-227.2662349859119,5,0.8213619636125298
79,-47.57181436660551,3,0.5819081551273066
80,-725.012588457374,9,1.5497353082322434
81,0.0,0,0.0
82,-2.708625447181391,1,0.3188046897970926
83,-1024.6713694670646,14,4.648195497897799
84,-374.9542455388754,9,2.570342874185069
85,-540.6526734609433,10,3.052653210051325
86,-403.35802973026153,7,1.0489753514882392
87,0.0,0,0.0
88,-357.9230191539378,7,1.3368903422170149
89,-84.51603805907065,4,1.2851163306826945
90,-12.689892978475324,2,0.32248652620810614
91,0.0,0,0.0
92,-9.361919157736708,1,0.1333934958640456
93,-296.87656954362666,6,0.9442286753875271
94,-335.88923465326934,7,1.5810774976863704
95,-534.8850733733645,8,1.5296224306245787
96,-92.17978969850543,4,0.6354479596230671
97,-574.651150882561,9,1.393362078233976
98,-142.6835746017686,5,1.418062973975502
99,-38.619281324588634,3,0.7900607328900096
100,-531.4736515331715,8,1.941063630653821
101,-546.5514038148417,9,2.2887184960000466
102,-121.30958362215003,5,1.2357583299082704
103,-66.92120016364996,4,1.6056955596084346
104,-623.5457602879619,10,2.175460740600314
105,-92.89412718205786,3,0.45138037495796607
106,-9.43382598933455,1,0.11957508429175089
107,-124.64418607720879,4,1.2561858598601676
108,-80.05151288214773,3,0.7016692955763209
109,-350.40815991280056,8,2.1074741896991753
110,-652.8232482601901,10,1.9918917758010155
111,-62.63310754395586,4,1.1379663035387417
112,0.0,0,0.0
113,-94.20242610417915,3,0.48810029075440975
114,-44.01155005484675,3,0.5787412154283013
115,-325.03859645074385,7,1.4760887954092128
116,-308.2063236918343,7,1.734459323309464
117,-54.86215586611927,3,0.4203373651480165
118,-255.09773011364152,6,1.339849426156615
119,-51.574459535890966,3,0.5616423182460858
120,-48.69336331631424,5,2.4112435969589785
121,-95.58028044377171,4,0.8816494470793182
122,-58.804890128636174,4,1.0769426758472636
123,0.0,0,0.0
124,0.0,0,0.0
125,-18.56339306732557,2,0.531812775945504
126,-793.8133742160682,11,2.8440349416181134
127,-0.7115199078435155,1,0.8042518988875282
128,-574.1052119155875,9,2.1784555820469684
129,-106.00569732123824,3,0.5534739812376167
130,-205.92449139061588,6,1.2458802260364052
131,-8.66272284540823,2,0.5743886679409702
132,-149.90799341680116,5,1.3225890636158575
133,-18.0867420822497,3,0.7181775235984426
134,2.0,1,0.1809061376296672
135,-280.7163931696577,7,1.7059639883741615
136,0.0,0,0.0
137,-68.30466649957994,4,1.4298943578041898
138,2.0,1,0.1447234674975271
139,-382.83984352615516,8,1.899876831643689
140,-985.6132747461843,13,3.05241338395215
141,-600.2637013877687,9,1.6831700815660642
142,-268.7268985105894,7,1.889494037629938
143,-77.62008277224334,5,1.8317967471591645
144,-30.41548805142831,3,0.735049582484071
145,-769.1951683845723,10,2.1395490538359265
146,-257.1561859250158,6,0.9168866552386215
147,-24.881499741729428,3,1.2836364372137186
148,-77.16001453747751,3,0.6267173422394337
149,0.0,0,0.0
150,-180.89477776118463,5,1.1621171499420633
151,-426.5259380867847,8,1.8543824194090432
152,-124.82938377026498,5,0.9718521551273089
153,0.0,0,0.0
154,-79.11282633779423,4,1.040284322450068
155,-576.1866828050274,9,1.8366431212333088
156,-661.3252625060118,10,2.3471841835014935
157,-12.033459025117937,2,0.532730286808079
158,-220.11319641681268,6,1.4574762607951501
159,-277.0892706307668,7,1.6935045996595164
160,-32.40767412645901,2,0.3933778828228908
161,0.0,0,0.0
162,-50.92467113117771,3,0.7099694057877619
163,-113.5523715690367,4,0.6780040809793085
164,-425.0324216589672,8,1.6387256530037861
165,0.0,0,0.0
166,-183.49562044677046,6,1.3750178011142418
167,0.0,0,0.0
168,-8.158185462318446,2,0.6726964131062336
169,-65.23615701306596,3,0.6353064770691315
170,0.0,0,0.0
171,-68.66441264148273,4,1.1295052827368366
172,-185.2736743641377,5,1.1005455729658018
173,-40.8033968549273,3,0.8500795163890971
174,0.0,0,0.0
175,-185.30102986159713,5,0.8679770374949928
176,0.0,0,0.0
177,-639.481091484268,9,1.6141009685631735
178,-89.9607562138227,4,0.8789390560869333
179,-7.779445749245177,1,0.11980435255798993
180,-287.68579432672436,8,1.6877617558737683
181,-71.88290263882683,4,0.842541774434064
182,-87.31632653639537,4,0.9310138668007708
183,-23.630394596156528,2,0.2752455448256623
184,-29.950023592435983,3,0.7340897327091045
185,-217.51251454994878,5,0.9057476673521655
186,-117.41678368962324,5,1.745574846252525
187,-6.484318510945767,1,0.13093568484510337
188,-165.18233839323534,5,1.9936435827989383
189,0.0,0,0.0
190,-7.276436739508833,2,0.9283918019889302
191,-43.405360612069146,4,0.9430095334370207
192,0.0,0,0.0
193,-232.04878361090596,5,0.9656338752916385
194,-72.11492797598592,4,1.1178564290554633
195,0.0,0,0.0
196,0.0,0,0.0
197,-138.56507935374964,5,1.4639585563947994
198,-3.932494932436531,1,0.17439614429097977
199,0.0,0,0.0
200,-4.431584267354248,1,0.11629656366094815
201,-9.022747295922702,2,0.37469203298630444
202,-211.7116654743438,6,1.0299988615691376
203,0.0,0,0.0
204,-197.48579644448492,5,0.8978665353873831
205,-192.84433791292693,6,1.9282824249421253
206,-163.1406987577823,5,0.8013879708048913
207,-177.3747274917664,6,1.4567418479669663
208,-223.9956250083993,5,0.870430228896647
209,0.0,0,0.0
210,0.0,0,0.0
211,-39.86000626086169,3,1.1320845318308617
212,-605.8296672890066,11,3.316392241713176
213,-511.4171547013151,9,2.390695437849783
214,-89.01220266638654,4,0.8426829381312193
215,0.0,0,0.0
216,-79.74087108487936,3,0.4952330966313327
217,-122.77187417794687,4,0.6415906383257555
218,-74.66089955901796,3,0.4327713619590251
219,2.0,1,0.11241826470336908
220,0.0,0,0.0
221,0.0,0,0.0
222,0.0,0,0.0
223,2.0,1,0.1272086144934264
224,-26.51251146262901,3,1.0096017220561084
225,-438.4779483173909,8,1.6443818323315949
226,-21.55849537492841,2,0.25162946782003043
227,-25.348544682434422,2,0.44495244225413577
228,-25.94577654850289,2,0.44973159074375163
229,0.0,0,0.0
230,-64.61084603720181,4,0.9012370590604764
231,-196.20378697494098,5,1.0674241143965815
232,-21.726363850111415,2,0.26565319687257155
233,-219.79625381024704,5,0.9813688825477427
234,0.0,0,0.0
235,-941.4950143890474,13,3.039096186575951
236,0.0,0,0.0
237,0.0,0,0.0
238,-192.88818185523144,6,1.0883912032839278
239,-268.5014780959664,6,1.4219371514623769
240,2.0,1,0.4816061436596248
241,-101.99223956644738,4,0.8117358390430756
242,-51.22431628749723,3,0.5498546838708793
243,-99.80210150811543,5,1.3855703034822777
244,-583.1534928120645,9,1.9358782615411927
245,-399.4330069631711,8,1.7980791543117745
246,-6.806308634458201,2,0.46006728517198325
247,-67.20058257779637,4,1.255957437045122
248,-443.6978298228652,9,2.1031998280599753
249,-77.86270070287429,3,0.6506527118854538
250,-70.2382392137434,5,1.3250526304578198
251,-377.9555230797576,8,1.935117868533421
252,-126.1361570826422,4,0.9107874018687325
253,-918.2814554142476,12,2.4765516351050687
