k,mds_stress,sdim
2,0.978279356622654,-0.04341824636664553
3,0.9711996354520245,-0.04341824636664553
4,0.9662998333841258,-0.04341824636664553
5,0.9609328216869668,-0.04341824636664553
6,0.9546306483975465,-0.04341824636664553
