i,j,kappa_oll,approx
1590,3505,0.9994429544047865,1
1573,2169,0.9999928019578674,1
320,2301,0.9995363010068893,1
1191,2360,0.9998005839503943,1
1812,3572,0.9997977185303091,1
2828,3934,0.9993909724269555,1
1351,1465,0.9999225395752352,1
3014,3655,0.9997448217032787,1
1920,3162,0.9992219109866168,1
2506,3799,0.9852693602693603,1
1234,2359,0.9999124577737497,1
111,1717,0.9977661271939822,1
685,795,0.9995939939597698,1
555,900,0.9999879502973866,1
35,1083,0.9980027040314651,1
1152,2065,0.9997791730328495,1
1865,2973,0.9982334869431644,1
1943,2802,0.9998832116788321,1
968,4021,0.9986263736263736,1
125,686,0.9998991935483871,1
507,3070,0.9998572093745149,1
440,596,0.9999916364650125,1
3970,4009,0.9998534491782686,1
597,2919,0.9991348890153671,1
629,3891,0.999540878415754,1
1115,2993,0.9999947635205898,1
3420,3424,0.9991498604395173,1
2341,2604,0.9999810643716686,1
2008,3572,0.9996489090064995,1
985,1214,0.9999354641884916,1
2261,3856,0.999059373023467,1
1309,3709,0.998172514619883,1
3423,3966,0.9998426994570884,1
2598,2872,0.999489222010514,1
178,1390,0.999904782308553,1
1340,3640,0.9992089075530846,1
3547,3884,0.9997615416956895,1
2871,3014,0.9998698055763273,1
1979,3485,0.9996648076164724,1
1164,2212,0.9995973337298047,1
1419,3686,0.9998217468805705,1
307,3381,0.9989922480620155,1
1193,3250,0.999777060875495,1
102,1895,0.9993111032460309,1
1754,3206,0.9999605401267451,1
1842,2646,0.9978119706380576,1
1166,2161,0.9979363207547169,1
2240,3422,0.9993398129470017,1
1093,2308,0.9988556920381197,1
3302,3829,0.999219855205126,1
810,2224,0.9998353096179183,1
1269,4054,0.9969410456062291,1
530,582,0.9996061038397122,1
2408,2442,0.9977486559139785,1
0,3042,0.9998155292728691,1
151,3441,0.9997853802293548,1
1064,3804,0.9998464912280701,1
2097,2241,0.9998162008412578,1
693,2038,0.9997389423435519,1
1730,3731,0.9984398034398034,1
1363,2740,0.9954749974435014,1
933,2714,0.9994960357175813,1
1552,2872,0.998122350090854,1
2119,2636,0.9993686547685633,1
242,436,0.9991234221598878,1
3422,3560,0.998230064211624,1
9,3161,0.9996940533475911,1
2203,3309,0.9992936723705954,1
2243,3984,0.9998733108108108,1
2705,3408,0.9999250868991969,1
30,707,0.9994772658150851,1
878,2250,0.9988356881214024,1
3245,3569,0.9996314819689391,1
896,2059,0.9999210527913911,1
2027,3527,0.9984817813765182,1
3387,3665,0.9998141133557801,1
