u,v,curv
299,1391,7.0
299,2530,7.0
299,3681,6.0
300,956,36.0
300,1288,37.0
300,1368,27.0
300,1532,29.0
300,1561,27.0
300,2114,28.0
300,2162,27.0
300,2931,37.0
300,3091,28.0
300,3255,38.0
300,3560,28.0
300,3662,28.0
300,3715,33.0
301,1177,7.0
301,1367,10.0
301,2144,7.0
301,2161,10.0
301,3391,8.0
302,480,31.0
302,714,27.0
302,1190,27.0
302,1390,34.0
302,1537,27.0
302,1633,34.0
302,2357,27.0
302,2448,30.0
302,2519,29.0
302,2526,30.0
302,3080,33.0
302,3621,27.0
302,3786,26.0
303,451,15.0
303,543,11.0
303,1695,13.0
303,2887,10.0
303,3019,15.0
303,3709,10.0
303,3986,9.0
304,570,41.0
304,664,41.0
304,752,49.0
304,801,37.0
304,802,51.0
304,842,43.0
304,879,38.0
304,1205,40.0
304,1290,40.0
304,1344,46.0
304,1827,59.0
304,2417,52.0
304,2446,52.0
304,2543,51.0
304,2660,47.0
304,2815,49.0
304,2984,50.0
304,3012,56.0
304,3080,41.0
304,3339,42.0
304,3474,55.0
304,3494,52.0
304,3856,48.0
305,478,35.0
305,610,38.0
305,1229,44.0
305,1438,28.0
305,1471,39.0
305,1574,31.0
305,1959,41.0
305,2053,32.0
305,2202,41.0
305,2264,29.0
305,2908,42.0
305,3321,28.0
305,3396,42.0
305,3542,28.0
305,3625,31.0
305,3670,31.0
306,659,20.0
306,661,30.0
306,836,25.0
306,848,19.0
306,1707,22.0
306,1981,30.0
306,2308,26.0
306,2644,30.0
306,2662,29.0
306,2853,32.0
306,2855,27.0
306,3439,29.0
307,321,37.0
307,525,36.0
307,939,35.0
307,1246,39.0
307,1345,28.0
307,1473,28.0
307,1791,29.0
307,2179,37.0
307,2437,26.0
307,2637,40.0
307,2665,37.0
307,3125,35.0
307,3231,32.0
307,3459,31.0
307,3776,39.0
307,3777,39.0
307,4084,35.0
308,2889,6.0
308,3615,8.0
309,558,37.0
309,936,35.0
309,957,33.0
309,1223,36.0
309,1337,49.0
309,1944,41.0
309,2040,39.0
309,2252,42.0
309,2306,50.0
309,2368,38.0
309,2453,39.0
309,2527,34.0
309,2550,38.0
309,2789,44.0
309,3108,40.0
309,3117,35.0
309,3328,42.0
309,3332,29.0
309,3645,34.0
309,3914,31.0
310,365,86.0
310,439,80.0
310,647,79.0
310,685,74.0
310,771,87.0
310,966,84.0
310,1075,84.0
310,1078,84.0
310,1091,78.0
310,1236,75.0
310,1370,84.0
310,1573,82.0
310,1625,77.0
310,1626,79.0
310,1679,88.0
310,1716,66.0
310,1829,87.0
310,2194,65.0
310,2697,67.0
310,2775,76.0
310,2786,75.0
310,2787,76.0
310,2927,80.0
310,3071,61.0
310,3093,79.0
310,3211,81.0
310,3305,78.0
310,3488,79.0
310,3493,84.0
310,3502,80.0
310,3543,84.0
310,3624,81.0
310,3880,88.0
310,3970,85.0
310,4009,89.0
311,808,15.0
311,1126,13.0
311,1585,10.0
311,1663,11.0
311,3546,7.0
311,3862,8.0
312,333,68.0
312,348,70.0
312,728,63.0
312,855,68.0
312,922,72.0
312,933,73.0
312,945,75.0
312,1174,76.0
312,1272,73.0
312,1338,62.0
312,1385,70.0
312,1421,61.0
312,1488,80.0
312,1501,82.0
312,1666,73.0
312,1713,80.0
312,1773,68.0
312,1898,70.0
312,1910,70.0
312,1991,72.0
312,2059,84.0
312,2176,80.0
312,2866,72.0
312,2926,83.0
312,3143,60.0
312,3157,72.0
312,3202,65.0
312,3238,87.0
312,3620,66.0
312,3764,68.0
312,3772,72.0
312,3854,75.0
312,3936,72.0
312,3943,74.0
312,4074,65.0
313,1033,5.0
313,1428,8.0
313,1707,12.0
313,2994,13.0
313,4001,11.0
314,904,22.0
314,906,26.0
314,1402,16.0
314,1787,19.0
314,2285,20.0
314,2645,23.0
314,2755,25.0
314,3017,22.0
314,3065,21.0
314,3148,25.0
314,3983,29.0
314,4055,27.0
315,789,55.0
315,855,58.0
315,1000,49.0
315,1116,53.0
315,1578,54.0
315,1773,58.0
315,1905,44.0
315,1910,60.0
315,1917,60.0
315,2177,53.0
315,2403,52.0
315,2484,52.0
315,2551,48.0
315,2585,52.0
315,2638,52.0
315,2727,56.0
315,2808,54.0
315,2977,55.0
315,2997,48.0
315,3235,62.0
315,3340,67.0
315,3397,46.0
315,3620,56.0
315,3754,51.0
315,3772,62.0
315,3779,50.0
315,3793,50.0
316,1555,12.0
316,1568,15.0
316,1857,14.0
316,1865,14.0
316,3003,10.0
316,3451,11.0
316,3872,19.0
317,628,71.0
317,891,78.0
317,912,59.0
317,956,53.0
317,1040,66.0
317,1105,63.0
317,1224,67.0
317,1228,73.0
317,1236,69.0
317,1320,72.0
317,1472,65.0
317,1539,74.0
317,1705,60.0
317,1716,60.0
317,1854,77.0
317,1974,62.0
317,2011,75.0
317,2058,56.0
317,2115,83.0
317,2135,62.0
317,2140,73.0
317,2697,61.0
317,2746,69.0
317,2931,54.0
317,3317,69.0
317,3327,64.0
317,3415,70.0
317,3521,60.0
317,3688,66.0
317,3738,56.0
317,3792,72.0
318,458,46.0
318,489,49.0
318,974,52.0
318,1021,55.0
318,1051,54.0
318,1123,53.0
318,1179,53.0
318,1387,56.0
318,1436,55.0
318,1443,52.0
318,1504,55.0
318,1699,53.0
318,1897,58.0
318,1956,56.0
318,2045,50.0
318,2473,49.0
318,3042,47.0
318,3274,54.0
318,3572,56.0
318,3576,57.0
318,4060,52.0
319,632,8.0
319,1643,11.0
319,2373,5.0
319,3874,6.0
320,637,78.0
320,959,69.0
320,1191,81.0
320,1396,50.0
320,1427,71.0
320,1429,74.0
320,1711,72.0
320,1894,64.0
320,2034,81.0
320,2043,57.0
320,2069,58.0
320,2103,61.0
320,2248,72.0
320,2249,73.0
320,2274,75.0
320,2301,70.0
320,2459,63.0
320,2468,58.0
320,2635,69.0
320,2673,85.0
320,2807,67.0
320,2860,77.0
320,2976,73.0
320,3033,63.0
320,3090,68.0
320,3239,68.0
320,3242,74.0
320,3267,65.0
320,3287,69.0
320,3442,75.0
320,3466,68.0
320,3720,71.0
320,4047,57.0
320,4063,62.0
321,624,28.0
321,899,43.0
321,916,32.0
321,1380,28.0
321,1512,44.0
321,1791,32.0
321,2022,41.0
321,2113,32.0
321,2179,40.0
321,2637,43.0
321,2653,37.0
321,3125,38.0
321,3224,35.0
321,3562,41.0
321,3776,42.0
321,3777,42.0
321,3974,35.0
321,4070,25.0
321,4084,38.0
322,602,59.0
322,931,51.0
322,1099,64.0
322,1147,53.0
322,1172,51.0
322,1259,56.0
322,1422,49.0
322,1572,52.0
322,2111,56.0
322,2147,61.0
322,2253,70.0
322,2304,60.0
322,2417,57.0
322,2543,56.0
322,2648,69.0
322,2752,55.0
322,2769,71.0
322,2823,54.0
322,2984,55.0
322,3271,59.0
322,3658,56.0
322,3736,54.0
322,3774,55.0
322,3829,73.0
322,3856,53.0
322,3858,53.0
322,3922,56.0
322,3960,54.0
322,3976,55.0
323,380,35.0
323,461,35.0
323,482,38.0
323,559,40.0
323,681,32.0
323,983,36.0
323,994,30.0
323,1241,38.0
323,2043,40.0
323,2069,41.0
323,2250,27.0
323,2468,41.0
323,2780,32.0
323,2807,50.0
323,3090,51.0
323,3137,45.0
323,3634,35.0
324,986,17.0
324,1770,18.0
324,1874,19.0
324,2291,11.0
324,2404,21.0
324,3610,28.0
325,605,55.0
325,700,55.0
325,974,57.0
325,993,57.0
325,1387,61.0
325,1436,60.0
325,1619,55.0
325,1699,58.0
325,1895,65.0
325,1897,63.0
325,1921,48.0
325,1941,67.0
325,1984,61.0
325,1999,54.0
325,2125,47.0
325,2207,58.0
325,2411,51.0
325,2423,62.0
325,2471,50.0
325,2528,59.0
325,2655,50.0
325,2808,57.0
325,2861,60.0
325,2964,53.0
325,3088,55.0
325,3109,54.0
325,3551,64.0
325,3576,62.0
325,3721,49.0
326,3452,3.0
327,564,48.0
327,661,38.0
327,1364,42.0
327,1557,48.0
327,1692,41.0
327,2389,46.0
327,2460,53.0
327,2744,40.0
327,2853,40.0
327,2910,48.0
327,3162,43.0
327,3168,43.0
327,3170,43.0
327,3279,37.0
327,3612,45.0
327,3891,44.0
327,3920,40.0
327,4076,58.0
328,389,39.0
328,505,38.0
328,796,40.0
328,1070,47.0
328,1443,48.0
328,1461,45.0
328,1603,45.0
328,1848,40.0
328,1926,35.0
328,2072,45.0
328,2094,37.0
328,2257,45.0
328,2846,43.0
328,3119,41.0
328,3146,48.0
328,3241,36.0
328,3249,34.0
328,3262,40.0
328,3309,38.0
328,3490,39.0
328,4026,43.0
329,1672,2.0
329,1958,1.0
330,429,59.0
330,481,54.0
330,553,70.0
330,599,69.0
330,627,57.0
330,666,69.0
330,886,54.0
330,1051,61.0
330,1070,58.0
330,1443,59.0
330,1603,56.0
330,1648,62.0
330,1862,57.0
330,1895,67.0
330,1941,69.0
330,2018,65.0
330,2072,56.0
330,2075,67.0
330,2152,53.0
330,2257,56.0
330,2336,68.0
330,2349,55.0
330,2390,58.0
330,2394,51.0
330,2801,50.0
330,3006,56.0
330,3146,59.0
330,3407,56.0
330,3941,49.0
331,346,92.0
331,365,95.0
331,507,88.0
331,530,85.0
331,613,103.0
331,655,98.0
331,680,95.0
331,754,98.0
331,780,86.0
331,1047,88.0
331,1156,95.0
331,1233,86.0
331,1303,88.0
331,1372,86.0
331,1441,87.0
331,1456,85.0
331,1562,90.0
331,1569,95.0
331,1829,96.0
331,1838,84.0
331,2173,86.0
331,2190,93.0
331,2241,83.0
331,2317,95.0
331,2323,80.0
331,2347,83.0
331,2648,87.0
331,2769,89.0
331,2885,89.0
331,2903,97.0
331,2972,87.0
331,3093,88.0
331,3116,99.0
331,3130,85.0
331,3221,101.0
331,3250,101.0
331,3305,87.0
331,3441,88.0
331,3485,89.0
331,3493,93.0
331,3502,89.0
331,3547,87.0
331,3580,98.0
331,3624,90.0
331,3880,97.0
331,4009,98.0
331,4066,87.0
332,2049,6.0
332,2362,3.0
333,372,58.0
333,682,58.0
333,728,59.0
333,896,68.0
333,942,59.0
333,1012,58.0
333,1338,58.0
333,1612,69.0
333,1898,66.0
333,1961,68.0
333,1991,68.0
333,2184,61.0
333,2247,70.0
333,2754,57.0
333,2847,63.0
333,2866,68.0
333,3041,49.0
333,3143,56.0
333,3187,59.0
333,3200,65.0
333,3258,60.0
333,3504,56.0
333,3563,68.0
333,3755,65.0
333,3772,68.0
333,3854,71.0
333,3936,68.0
333,3943,70.0
334,484,0.0
335,1415,5.0
335,2710,6.0
335,3694,9.0
336,422,56.0
336,580,63.0
336,947,55.0
336,1013,71.0
336,1246,54.0
336,1322,75.0
336,1340,63.0
336,2022,53.0
336,2243,66.0
336,2311,67.0
336,2600,55.0
336,2637,55.0
336,2658,66.0
336,2665,52.0
336,2670,62.0
336,2722,54.0
336,2742,69.0
336,2836,52.0
336,2865,57.0
336,3156,64.0
336,3388,65.0
336,3449,59.0
336,3469,72.0
336,3481,73.0
336,3584,54.0
336,3597,63.0
336,3776,54.0
336,3777,54.0
336,3789,63.0
336,3974,47.0
337,1108,5.0
337,2377,4.0
337,2578,5.0
337,3587,7.0
338,1086,10.0
338,1595,21.0
338,1664,22.0
338,1952,19.0
338,2149,21.0
338,2504,21.0
338,2998,13.0
338,3186,17.0
338,3716,20.0
339,376,48.0
339,720,44.0
339,750,55.0
339,1493,42.0
339,1661,42.0
339,1726,40.0
339,2269,44.0
339,2549,48.0
339,2553,48.0
339,2643,45.0
339,2842,49.0
339,2851,49.0
339,2865,48.0
339,2947,46.0
339,3036,45.0
339,3071,46.0
339,3079,47.0
339,3156,55.0
339,3469,63.0
339,3655,49.0
339,3711,46.0
339,3939,51.0
340,2406,4.0
340,2439,4.0
340,3831,6.0
341,374,74.0
341,660,75.0
341,711,78.0
341,898,80.0
341,1014,67.0
341,1043,85.0
341,1083,75.0
341,1097,71.0
341,1149,66.0
341,1163,75.0
341,1184,93.0
341,1354,68.0
341,1449,74.0
341,1500,67.0
341,1563,76.0
341,1596,90.0
341,1610,69.0
341,1629,69.0
341,1704,74.0
341,1714,75.0
341,1768,67.0
341,1772,75.0
341,1960,71.0
341,2041,87.0
341,2080,65.0
341,2333,83.0
341,2699,82.0
341,2831,71.0
341,2837,80.0
341,3024,77.0
341,3028,84.0
341,3059,80.0
341,3589,64.0
341,3593,73.0
341,3659,75.0
341,3863,70.0
341,3867,63.0
341,3881,62.0
342,495,54.0
342,715,46.0
342,832,62.0
342,872,62.0
342,945,67.0
342,1026,48.0
342,1069,63.0
342,1272,65.0
342,1326,47.0
342,1666,65.0
342,2151,48.0
342,2229,52.0
342,2328,64.0
342,2341,55.0
342,2401,62.0
342,2502,50.0
342,2514,52.0
342,2594,53.0
342,2839,46.0
342,3181,49.0
342,3218,65.0
342,3561,60.0
342,3739,50.0
342,3754,53.0
342,3779,52.0
342,3782,50.0
342,3933,50.0
342,3971,58.0
342,4010,51.0
343,454,61.0
343,473,50.0
343,1032,50.0
343,1140,49.0
343,1242,47.0
343,1610,55.0
343,1673,46.0
343,1906,46.0
343,2163,46.0
343,2246,48.0
343,2622,40.0
343,2728,43.0
343,2930,37.0
343,3062,52.0
343,3342,57.0
343,3440,53.0
343,3659,61.0
343,3797,46.0
343,3827,58.0
343,3877,37.0
343,3985,50.0
343,4000,47.0
344,1235,10.0
344,1850,10.0
344,2245,9.0
344,2344,14.0
344,2732,13.0
344,3990,11.0
345,1176,9.0
345,1457,13.0
345,1841,7.0
345,2144,7.0
345,4045,13.0
346,396,73.0
346,403,77.0
346,530,83.0
346,534,94.0
346,601,93.0
346,680,93.0
346,780,84.0
346,863,88.0
346,1077,83.0
346,1303,86.0
346,1317,96.0
346,1372,84.0
346,1437,88.0
346,1456,83.0
346,1562,88.0
346,1617,92.0
346,1620,88.0
346,1678,88.0
346,1797,95.0
346,1806,98.0
346,1875,82.0
346,1988,86.0
346,2031,82.0
346,2088,81.0
346,2241,81.0
346,2323,78.0
346,2340,84.0
346,2360,94.0
346,2615,79.0
346,2657,96.0
346,2793,93.0
346,2871,76.0
346,2903,95.0
346,2917,89.0
346,3159,94.0
346,3282,81.0
346,3374,86.0
346,3441,86.0
346,3547,85.0
346,3666,83.0
346,3678,85.0
346,4066,85.0
348,728,61.0
348,769,73.0
348,832,68.0
348,855,66.0
348,922,70.0
348,942,61.0
348,945,73.0
348,1123,63.0
348,1272,71.0
348,1338,60.0
348,1465,69.0
348,1604,67.0
348,1666,71.0
348,1713,78.0
348,1773,66.0
348,1889,65.0
348,1910,68.0
348,1917,68.0
348,1991,70.0
348,2328,70.0
348,2638,60.0
348,2866,70.0
348,3143,58.0
348,3157,70.0
348,3187,61.0
348,3235,70.0
348,3340,75.0
348,3620,64.0
348,3754,59.0
348,3772,70.0
348,3905,63.0
348,3979,72.0
349,1062,25.0
349,1112,34.0
349,1378,26.0
349,1532,27.0
349,2113,25.0
349,2652,21.0
349,2777,29.0
349,3314,33.0
349,3511,22.0
349,3560,26.0
349,3662,26.0
349,3897,26.0
349,3902,28.0
350,1215,24.0
350,1467,26.0
350,2651,20.0
350,2750,26.0
350,2989,29.0
350,3112,25.0
350,3198,25.0
350,3371,22.0
350,3556,32.0
350,3647,27.0
350,3714,23.0
350,3907,28.0
350,3961,27.0
351,1327,11.0
351,2515,4.0
351,3834,8.0
352,629,50.0
352,688,45.0
352,990,45.0
352,1093,52.0
352,1198,49.0
352,1692,41.0
352,1736,51.0
352,1899,50.0
352,1937,45.0
352,2449,51.0
352,2701,35.0
352,2826,48.0
352,3128,48.0
352,3170,43.0
352,3232,46.0
352,3377,56.0
352,3612,45.0
352,3891,44.0
352,4030,56.0
353,733,26.0
353,1010,30.0
353,1263,22.0
353,1417,26.0
353,1463,30.0
353,2226,29.0
353,2303,29.0
353,2633,30.0
353,2932,24.0
353,3432,21.0
353,3463,28.0
353,3590,26.0
353,3769,29.0
353,3932,27.0
353,4093,29.0
354,425,11.0
354,1333,10.0
354,1402,9.0
354,3017,15.0
354,3409,11.0
356,574,32.0
356,959,52.0
356,1268,51.0
356,1922,42.0
356,2116,39.0
356,2181,40.0
356,2267,52.0
356,2283,32.0
356,2563,41.0
356,2596,34.0
356,2978,35.0
356,3158,37.0
356,3537,30.0
356,3549,35.0
356,3598,44.0
356,3843,45.0
356,3997,30.0
357,516,45.0
357,586,29.0
357,642,44.0
357,1028,42.0
357,1153,38.0
357,1247,33.0
357,1426,45.0
357,1556,41.0
357,1799,40.0
357,1950,45.0
357,2148,38.0
357,2779,44.0
357,2822,42.0
357,2875,37.0
357,2888,42.0
357,2958,43.0
357,3018,35.0
357,3370,44.0
357,3973,42.0
358,536,58.0
358,750,60.0
358,795,58.0
358,873,61.0
358,1340,59.0
358,1350,77.0
358,1404,60.0
358,1542,63.0
358,1691,50.0
358,1700,74.0
358,2318,54.0
358,2470,73.0
358,2499,64.0
358,2541,66.0
358,2654,57.0
358,2658,62.0
358,2670,58.0
358,2797,48.0
358,2851,54.0
358,2943,76.0
358,3063,64.0
358,3270,74.0
358,3289,54.0
358,3334,48.0
358,3449,55.0
358,3469,68.0
358,3548,60.0
358,3809,59.0
359,592,21.0
359,1975,18.0
359,2121,18.0
359,2792,15.0
359,2889,12.0
359,3304,18.0
359,3695,14.0
359,4082,18.0
360,570,41.0
360,723,48.0
360,1029,41.0
360,1259,51.0
360,1422,44.0
360,1503,44.0
360,1606,48.0
360,1688,55.0
360,1990,39.0
360,2158,48.0
360,2417,52.0
360,2543,51.0
360,2608,50.0
360,2935,38.0
360,2966,43.0
360,2984,50.0
360,3012,56.0
360,3286,53.0
360,3475,39.0
360,3506,47.0
360,3550,41.0
360,3856,48.0
360,3960,49.0
361,759,31.0
361,881,24.0
361,1315,30.0
361,1332,23.0
361,1508,30.0
361,2442,31.0
361,2724,28.0
361,2925,24.0
361,2982,31.0
361,3166,29.0
361,3638,26.0
361,3640,32.0
361,3679,25.0
361,4072,23.0
362,656,12.0
362,825,19.0
362,2033,18.0
362,2154,12.0
362,3132,10.0
362,3553,17.0
363,420,40.0
363,473,42.0
363,1014,45.0
363,1140,41.0
363,1210,36.0
363,1354,46.0
363,1414,37.0
363,1500,45.0
363,1768,45.0
363,2080,43.0
363,3424,35.0
363,3520,36.0
363,3564,32.0
363,3589,42.0
363,3659,53.0
363,3881,40.0
364,1082,26.0
364,1284,28.0
364,1658,25.0
364,1986,33.0
364,2269,32.0
364,2490,20.0
364,2643,33.0
364,2794,20.0
364,3036,33.0
364,3535,23.0
364,3866,19.0
364,4075,21.0
365,439,90.0
365,613,104.0
365,655,99.0
365,680,96.0
365,771,97.0
365,937,87.0
365,966,94.0
365,1047,89.0
365,1075,94.0
365,1078,94.0
365,1370,94.0
365,1375,88.0
365,1437,91.0
365,1509,82.0
365,1562,91.0
365,1569,96.0
365,1625,87.0
365,1626,89.0
365,1678,91.0
365,1679,98.0
365,1829,97.0
365,2331,94.0
365,2718,95.0
365,2775,86.0
365,2787,86.0
365,2885,90.0
365,2903,98.0
365,3093,89.0
365,3130,86.0
365,3211,91.0
365,3250,102.0
365,3305,88.0
365,3488,89.0
365,3493,94.0
365,3502,90.0
365,3543,94.0
365,3566,86.0
365,3624,91.0
365,3852,87.0
365,3880,98.0
365,3966,84.0
365,3970,95.0
365,4009,99.0
365,4066,88.0
366,408,71.0
366,454,69.0
366,473,58.0
366,532,67.0
366,648,74.0
366,818,71.0
366,864,76.0
366,1032,58.0
366,1129,71.0
366,1395,63.0
366,1432,74.0
366,1610,63.0
366,1704,68.0
366,1780,68.0
366,1906,54.0
366,1967,76.0
366,2129,75.0
366,2185,62.0
366,2289,67.0
366,2372,65.0
366,2669,70.0
366,2728,51.0
366,2956,74.0
366,3062,60.0
366,3281,56.0
366,3342,65.0
366,3659,69.0
366,3827,66.0
366,3863,64.0
366,3985,58.0
366,4000,55.0
366,4079,65.0
367,377,74.0
367,678,75.0
367,849,76.0
367,952,85.0
367,1085,69.0
367,1189,78.0
367,1300,66.0
367,1381,70.0
367,1397,81.0
367,1505,73.0
367,1542,73.0
367,1700,84.0
367,1793,68.0
367,1812,81.0
367,2131,74.0
367,2160,75.0
367,2240,78.0
367,2305,79.0
367,2434,82.0
367,2499,74.0
367,2564,64.0
367,2628,85.0
367,2700,75.0
367,2715,69.0
367,2820,72.0
367,2943,86.0
367,3040,74.0
367,3063,74.0
367,3084,67.0
367,3149,74.0
367,3364,80.0
367,3508,77.0
367,3632,71.0
367,3644,68.0
367,3781,82.0
367,3794,72.0
367,3964,83.0
368,3893,13.0
368,4033,9.0
368,4090,6.0
369,383,77.0
369,540,70.0
369,547,94.0
369,554,86.0
369,612,74.0
369,665,75.0
369,772,78.0
369,851,71.0
369,915,78.0
369,988,77.0
369,1061,69.0
369,1132,88.0
369,1266,89.0
369,1373,81.0
369,1549,89.0
369,1590,84.0
369,1786,82.0
369,1929,57.0
369,2097,75.0
369,2159,63.0
369,2542,86.0
369,2598,77.0
369,2612,77.0
369,2872,53.0
369,2924,75.0
369,2941,93.0
369,3094,91.0
369,3197,79.0
369,3301,76.0
369,3583,78.0
369,3683,55.0
369,3723,59.0
369,3724,71.0
369,3784,84.0
369,3882,91.0
369,3999,77.0
369,4081,57.0
370,724,4.0
370,1089,11.0
370,2819,6.0
370,2960,14.0
370,2968,10.0
371,460,41.0
371,807,30.0
371,971,45.0
371,1210,40.0
371,1223,37.0
371,1433,39.0
371,1481,35.0
371,1601,50.0
371,2040,40.0
371,2050,42.0
371,2100,46.0
371,2108,35.0
371,2428,42.0
371,2632,39.0
371,2764,40.0
371,2818,41.0
371,3424,39.0
371,3564,36.0
371,3581,32.0
371,3898,35.0
372,651,51.0
372,777,50.0
372,778,54.0
372,896,62.0
372,964,47.0
372,996,44.0
372,998,46.0
372,1012,52.0
372,1935,54.0
372,1949,45.0
372,2155,68.0
372,2184,55.0
372,2247,64.0
372,2536,47.0
372,2754,51.0
372,2847,57.0
372,3200,59.0
372,3258,54.0
372,3277,39.0
372,3408,55.0
372,3504,50.0
372,3563,62.0
372,3755,59.0
372,3763,43.0
373,584,94.0
373,696,89.0
373,907,82.0
373,943,70.0
373,970,91.0
373,985,97.0
373,1079,85.0
373,1217,82.0
373,1256,88.0
373,1400,89.0
373,1488,90.0
373,1528,70.0
373,1659,75.0
373,1741,73.0
373,1759,97.0
373,1920,92.0
373,1985,96.0
373,2141,100.0
373,2216,77.0
373,2224,72.0
373,2322,91.0
373,2327,91.0
373,2335,71.0
373,2443,89.0
373,2571,84.0
373,2603,89.0
373,2688,95.0
373,2706,93.0
373,2714,72.0
373,2716,94.0
373,2717,81.0
373,2743,92.0
373,2761,79.0
373,2790,83.0
373,2802,93.0
373,2882,81.0
373,3031,93.0
373,3144,97.0
373,3265,91.0
373,3356,88.0
373,3448,89.0
373,3501,85.0
373,3523,93.0
373,3529,79.0
373,3969,84.0
374,516,59.0
374,650,71.0
374,660,71.0
374,685,71.0
374,753,75.0
374,898,76.0
374,937,74.0
374,1043,81.0
374,1097,67.0
374,1163,71.0
374,1449,70.0
374,1605,71.0
374,1629,65.0
374,1683,64.0
374,1714,71.0
374,1772,71.0
374,1816,66.0
374,1960,67.0
374,2122,72.0
374,2270,75.0
374,2699,78.0
374,2718,82.0
374,2831,67.0
374,2963,69.0
374,2996,79.0
374,3593,69.0
374,3821,68.0
374,3852,74.0
374,3995,63.0
375,740,73.0
375,777,64.0
375,830,64.0
375,913,68.0
375,919,83.0
375,958,68.0
375,1002,77.0
375,1111,72.0
375,1219,81.0
375,1483,70.0
375,1845,64.0
375,1888,86.0
375,1924,73.0
375,1940,73.0
375,1973,87.0
375,1984,72.0
375,2096,69.0
375,2178,73.0
375,2426,79.0
375,2705,61.0
375,2782,62.0
375,2783,75.0
375,2861,71.0
375,3008,68.0
375,3066,86.0
375,3110,81.0
375,3192,79.0
375,3206,81.0
375,3532,72.0
375,3586,83.0
375,3611,79.0
375,3760,84.0
375,3846,82.0
375,3959,63.0
375,3992,79.0
375,4023,83.0
375,4086,75.0
376,642,48.0
376,1028,46.0
376,1426,49.0
376,1556,45.0
376,1613,47.0
376,1716,53.0
376,2087,50.0
376,2549,50.0
376,2553,50.0
376,2599,55.0
376,2763,43.0
376,2842,51.0
376,2970,49.0
376,3071,48.0
376,3346,50.0
376,3370,48.0
376,3566,63.0
376,3711,48.0
376,3778,48.0
376,3939,53.0
376,3947,50.0
377,769,75.0
377,849,74.0
377,872,70.0
377,945,75.0
377,1069,71.0
377,1164,72.0
377,1189,76.0
377,1300,64.0
377,1381,68.0
377,1465,71.0
377,1793,66.0
377,1812,79.0
377,2131,72.0
377,2160,73.0
377,2401,70.0
377,2564,62.0
377,2592,70.0
377,2700,73.0
377,2834,72.0
377,3040,72.0
377,3084,65.0
377,3149,72.0
377,3218,73.0
377,3393,65.0
377,3508,75.0
377,3572,68.0
377,3632,69.0
377,3794,70.0
377,3838,75.0
377,3964,81.0
377,3971,66.0
377,3979,74.0
377,4085,73.0
378,407,40.0
378,998,40.0
378,1524,35.0
378,1527,49.0
378,1662,31.0
378,1980,28.0
378,2067,39.0
378,2177,47.0
378,2228,43.0
378,2536,41.0
378,2666,34.0
378,2959,41.0
378,3053,41.0
378,3337,41.0
378,3527,28.0
378,3800,38.0
378,3861,38.0
379,480,27.0
379,614,23.0
379,681,27.0
379,914,24.0
379,1182,23.0
379,1451,20.0
379,1852,24.0
379,2526,26.0
379,2573,24.0
379,2720,23.0
379,3044,24.0
379,3205,23.0
379,3312,23.0
380,559,41.0
380,579,38.0
380,598,41.0
380,792,42.0
380,994,31.0
380,1034,38.0
380,1336,44.0
380,1396,34.0
380,1439,35.0
380,1550,39.0
380,1616,42.0
380,2043,41.0
380,2069,42.0
380,2165,43.0
380,2468,42.0
380,2852,38.0
380,3347,34.0
380,4063,46.0
381,440,93.0
381,555,92.0
381,599,83.0
381,691,87.0
381,784,92.0
381,873,78.0
381,892,89.0
381,900,91.0
381,901,85.0
381,952,92.0
381,1117,95.0
381,1192,93.0
381,1350,94.0
381,1397,88.0
381,1404,77.0
381,1700,91.0
381,1812,88.0
381,2017,96.0
381,2057,91.0
381,2085,87.0
381,2212,96.0
381,2336,82.0
381,2359,98.0
381,2374,90.0
381,2470,90.0
381,2488,92.0
381,2628,92.0
381,2700,82.0
381,2730,91.0
381,2943,93.0
381,2996,89.0
381,3068,89.0
381,3270,91.0
381,3382,91.0
381,3461,96.0
381,3646,88.0
381,3749,92.0
381,3796,93.0
381,3912,98.0
381,3951,90.0
381,3964,90.0
381,4013,94.0
381,4036,88.0
381,4056,92.0
382,1291,16.0
382,2037,13.0
382,2077,17.0
382,2312,15.0
382,3185,16.0
382,3909,14.0
383,540,71.0
383,554,87.0
383,611,81.0
383,612,75.0
383,665,76.0
383,851,72.0
383,988,78.0
383,1003,83.0
383,1045,85.0
383,1061,70.0
383,1132,89.0
383,1207,83.0
383,1249,71.0
383,1266,90.0
383,1355,86.0
383,1373,82.0
383,1590,85.0
383,1632,87.0
383,1786,83.0
383,2004,80.0
383,2005,80.0
383,2097,76.0
383,2542,87.0
383,2568,83.0
383,2598,78.0
383,2612,78.0
383,2882,74.0
383,2941,94.0
383,3094,92.0
383,3197,80.0
383,3301,77.0
383,3356,81.0
383,3523,86.0
383,3534,83.0
383,3583,79.0
383,3724,72.0
383,3784,85.0
383,3882,92.0
383,3999,78.0
385,1016,15.0
385,1391,9.0
385,1717,16.0
385,1925,15.0
385,2530,9.0
385,3681,8.0
386,909,8.0
386,1656,4.0
386,2647,9.0
386,3426,7.0
386,4003,8.0
387,1010,30.0
387,1203,32.0
387,1361,32.0
387,1438,26.0
387,1463,30.0
387,1518,25.0
387,2226,29.0
387,2264,27.0
387,2675,30.0
387,3103,29.0
387,3463,28.0
387,3769,29.0
387,4019,25.0
