node,mean_kappa_forman
0,-3627718.936923415
16,-3297474.221748608
29,-4767838.570377497
53,-2741545.1972821355
93,-2532406.8518040692
130,-3428426.3806140376
135,-2359255.653414312
158,-3521909.1120552793
169,-3240241.106358879
193,-3976656.5124758366
213,-4187766.078088329
312,-4640415.1626207
315,-2287988.919701422
318,-4001557.6250784523
325,-2750019.6756292214
342,-1907408.773415138
348,-3267526.181580843
367,-3297892.6058528493
377,-4555484.379583479
434,-4196822.514688948
458,-2337844.4938491997
489,-3267285.5840969444
495,-3191569.6957885176
503,-1551005.0904689466
504,-3250289.223658474
505,-1713998.5723450368
555,-6503030.462248554
605,-2573391.6937725423
619,-1288245.90530999
627,-2825362.6850467515
666,-3818701.2427892196
677,-1519750.4153480798
699,-1496333.8046128154
715,-1460518.9118185865
769,-4615672.228084619
789,-2634328.3615843705
832,-3218995.241354545
833,-1286750.907060909
838,-2605674.4843114982
849,-3119334.2341027744
855,-3667030.690966462
872,-3466695.5504782177
892,-6987069.180935439
900,-5504198.530251488
922,-3586262.160421769
942,-2959941.742441423
945,-4012924.2379457722
952,-4903329.757490435
974,-2639932.6356547233
1011,-1450453.3242035583
1021,-3909603.483564233
1026,-1847306.166452225
1051,-2966605.2907334105
1054,-2070092.1843315326
1069,-4724807.102302405
1085,-3967845.5789384185
1116,-1919742.5210937797
1123,-3779695.8616101895
1137,-1684426.712300823
1164,-3012001.921979839
1179,-3060394.889756715
1189,-4797252.204265329
1257,-4156032.1167132845
1272,-2717566.2614917667
1300,-3968954.7718565734
1326,-1769070.3971568462
1338,-3944366.9699633485
1381,-4421602.513199719
1387,-2566438.4099073308
1407,-1227548.782638836
1410,-1290192.374056418
1436,-2128757.590350434
1465,-4242296.137201795
1483,-3058744.3496969463
1504,-3411537.747504327
1505,-4471284.0281498125
1578,-2829006.908473089
1604,-4592542.805549953
1666,-3032173.382253994
1687,-1196729.1996044777
1699,-2596596.891863612
1700,-3890816.770995805
1713,-4206846.400322696
1738,-1325415.8339454571
1773,-2788504.783197039
1779,-4697827.0489762705
1783,-1704202.8232984608
1793,-2880714.7105924645
1812,-5126741.641999377
1815,-1744210.6935637225
1855,-2750319.894467236
1889,-3373366.0995225236
1897,-3565490.069428115
1910,-3064889.1846504505
1912,-2408733.6485407655
1917,-2815096.0093069435
1956,-3317472.5209260974
1999,-2557039.237943626
2012,-5384249.983493458
2017,-6192527.227114135
2044,-2132407.2271015616
2045,-4025767.584044886
2059,-4519218.59537475
2060,-955200.9719304376
2131,-4173957.861501364
2151,-2545101.0750731914
2160,-3057272.3984901947
2207,-2362019.308010156
2229,-1758796.157124494
2240,-4988956.003755678
2295,-2640805.101853632
2296,-2905759.6273128055
2328,-3673843.2260106727
2336,-3992861.749500814
2341,-3778276.824424013
2374,-6141992.6487537045
2387,-1975736.524392574
2401,-3403339.2052733656
2403,-2456629.741897564
2473,-1814180.1309273853
2491,-1391015.490874494
2502,-1626449.95167112
2514,-2913358.199734688
2522,-4810598.788948515
2551,-2311203.8914931156
2564,-2226006.25511859
2569,-3765337.108162196
2585,-1527034.6472667286
2592,-4138684.526004372
2594,-2461259.6582809184
2628,-5526226.279756701
2638,-2963698.092868301
2700,-3281929.0106440824
2715,-3612783.7013323787
2727,-2725398.562152734
2776,-1437526.5478275185
2778,-2461412.915134523
2808,-1984802.428071543
2834,-4900922.057006684
2839,-1936433.6577196356
2893,-1248794.57064139
2926,-4309160.357679504
2943,-3927303.498097955
2977,-2868322.5803009346
2997,-1915870.3897926994
3037,-5263131.432342125
3040,-4343636.470569503
3042,-1959760.2709912264
3068,-4993096.874874382
3084,-3903415.298273609
3109,-1677029.7614455149
3123,-1636353.935903384
3128,-2727526.59459313
3149,-4775049.530525095
3157,-3598242.676610152
3181,-1888356.0167711654
