q,tau,beta0,beta1,edges,triangles
0.99,0.00030965321929073304,109,171017,335504,156404
0.97,7.306210909142901e-07,20,829437,1006511,168902
0.95,9.373729449567901e-09,10,1496912,1677517,172423
0.9,1.896358528319425e-12,2,3174578,3355034,172266
0.85,1.5817666354707477e-15,1,4850228,5032551,174132
0.8,2.405162852675607e-18,1,6530884,6710068,170993
