i,j,w,kappa,type
0,832,0.38912027624578777,-15.573172875765653,forman
0,1123,0.34144145506778933,-12.643172832506082,forman
0,2295,0.30887407007552786,-24.039085412045146,forman
0,2328,0.4164054482888444,-11.329860565094608,forman
0,3393,0.26547593611849024,-19.768247137220747,forman
0,3561,0.3173680679907843,-17.252216551054374,forman
0,3572,0.387877028492282,-13.632760104079505,forman
1,661,0.34974444521677883,0.9754553603817779,forman
1,1151,0.48813192108601144,-1.747737161644129,forman
2,1920,0.31836178745444743,-16.043166245983016,forman
2,2443,0.2533034310953542,-7.011001449667342,forman
2,3501,0.6141061931723352,-4.775682858275039,forman
3,239,0.8411372655829359,-4.226828402659026,forman
3,896,0.30197294913841866,0.8711004162774882,forman
3,1961,0.33523240225058665,-4.594652568087868,forman
4,100,0.3936578758418006,-19.090884476833246,forman
4,815,0.6949239510144468,-16.641306057897197,forman
4,1193,0.26520930163445344,-13.84494563041708,forman
4,1317,0.28031312399819447,-12.210465428925666,forman
4,2266,0.8582895939236989,-15.774527799842371,forman
4,2360,0.3928212579263376,-15.872553178341594,forman
4,2793,0.2896700685308615,-18.72823187684918,forman
5,2993,0.6536663312314488,-5.0191733960439775,forman
5,3934,0.255785476715878,-1.5661900062020244,forman
5,3944,0.5903976849772424,-5.389800079420125,forman
6,279,0.26436895969332547,-8.019513184117928,forman
6,547,0.30559103597385473,-13.432023814110028,forman
6,2361,0.26605589709767474,-11.598229405719792,forman
6,2695,0.35380506607397605,-17.185493973541913,forman
6,2917,0.25606218509696205,-15.644947651616718,forman
9,847,0.4144989137381948,-8.563789071017332,forman
9,1232,0.24521278130453245,-13.781851330980743,forman
13,716,0.3381107690401218,-7.430658159261084,forman
13,3552,0.32276426551030035,-0.9054507576665731,forman
13,4048,0.5025569202618264,-6.0331406729995205,forman
14,322,0.266700414681504,-5.090344976064142,forman
14,1147,0.2522431960678135,-4.129780050316475,forman
14,1172,0.37359138230925976,-3.960029764494907,forman
14,1572,0.40092217114369777,-7.0190307887351935,forman
15,685,0.5551282434616336,-8.18646420673264,forman
15,937,0.8655045154291552,-6.818765093778294,forman
15,1370,0.26122510108098856,-7.531978872544618,forman
15,2270,0.3276297162080742,-2.8617197467636437,forman
16,135,0.6677729036219764,-10.247791128768501,forman
16,1387,0.24124132071786825,-10.21133903517218,forman
16,1855,0.40803655880609035,-12.736944321548894,forman
16,2295,0.24230701091610368,-20.051074419227074,forman
16,2977,0.269485389831746,-15.822113326113683,forman
17,1623,0.5767456007146438,-3.8806140611870497,forman
17,2770,0.372764855919891,-5.886815440807284,forman
17,3255,0.25689238111578866,-3.763014197915984,forman
18,3844,0.4523600192543326,0.22380570602969252,forman
19,570,0.2668453903273753,-2.539320848119761,forman
19,1521,0.3488459158532789,-7.223194928830834,forman
19,2660,0.2839232472967422,-2.6420016506186803,forman
20,98,0.27420308379837305,-4.72051318003864,forman
20,132,0.30135000733166933,-4.275589503032586,forman
20,4027,0.31334611208989344,-8.812887014649341,forman
21,623,0.28580263447878024,-9.37682045259936,forman
21,1974,0.34490800397437016,-7.660066245698637,forman
