i,j,kappa_oll,approx
74,297,-0.022950995117985595,0
887,1141,0.16160957568072887,0
118,205,0.6307083380607972,0
784,1477,-0.2919385556152323,0
1557,1839,0.21917151538082613,0
932,1453,0.42636696884066116,0
71,1661,-0.14305709727516724,0
275,1250,0.29998609277210364,0
1021,1889,-0.21871569533434165,0
770,1539,0.350108434980555,0
970,1823,-0.412532692348194,0
1075,1091,-0.23080810180791933,0
1021,1956,0.20967090340818795,0
141,1777,-0.3143403377055254,0
205,1064,-0.032862497137551294,0
1616,1868,0.379917140009868,0
680,1875,-0.3474778367273057,0
602,1838,-0.021032501450106045,0
239,1604,-0.1388843933498669,0
1200,1946,0.04054427657824122,0
949,1541,-0.1068004842880459,0
1426,1799,-0.10440799047855487,0
44,1351,-0.32896901844208015,0
1261,1614,-0.3176598158102797,0
84,1206,-0.3194248491422529,0
852,1979,0.43738773336970016,0
22,1914,0.3212305846216449,0
889,1648,-0.06931641615261874,0
29,721,-0.3676412608754227,0
1217,1400,0.05287520369529786,0
1749,1854,0.244982295196296,0
150,1864,0.24887148674317994,0
978,1060,0.3729688117476657,0
979,1462,-0.1760083967664947,0
556,1195,-0.3858125484862107,0
1453,1651,-0.17409024314802668,0
637,959,0.3130276095131306,0
494,1684,-0.01957290362146713,0
310,1716,-0.2817692390348192,0
279,1549,0.33340058599942024,0
1558,1847,-0.5357685769643736,0
255,378,0.42865358943264176,0
511,703,0.5071643837928954,0
1081,1888,-0.2098474500586951,0
140,155,-0.035717085425671646,0
1758,1904,-0.002438782190044231,0
119,1320,-0.27483662495354655,0
935,1149,0.44601208571706075,0
636,1163,0.3218366143224525,0
1131,1991,-0.2898149472098297,0
544,1271,-0.16234757033240865,0
920,1611,-2.220446049250313e-16,0
181,2014,-0.2832153846802674,0
349,1655,-0.2146059077540945,0
403,723,-0.3367656747872916,0
1557,1826,0.09745766042080939,0
291,1690,0.5900036066685942,0
1740,2031,0.10785341654625014,0
57,1131,0.008019518236244028,0
476,1765,-0.20782548924551358,0
21,1228,0.1461197943180811,0
988,1786,0.41672919134406505,0
1233,1838,0.34978171892557797,0
721,892,-0.38172379014210067,0
214,228,-0.39530260229632486,0
1255,1776,-0.45757427698524555,0
564,798,-0.45796771657927704,0
1124,1919,0.32537964881768155,0
218,1126,-0.09423438724726951,0
585,1856,-0.2127862995754295,0
777,942,-0.15677071487457162,0
1076,1613,-0.44893927249650023,0
1123,1855,0.2777612894810776,0
777,1111,0.246829194987787,0
628,1716,-0.056800305251575756,0
98,873,-0.142379899758317,0
169,1956,0.2785599608706597,0
1474,2035,-0.1463224430661716,0
1003,2005,-0.03187345203615166,0
877,1353,-0.04435938523627381,0
468,1681,-0.07264196638975196,0
657,1570,-0.266428835711755,0
815,1678,0.09408901299184191,0
1468,1987,0.29459623042040295,0
530,2013,-0.24974451962945232,0
580,1384,-0.3153052387847435,0
1592,1770,-0.18008308197023082,0
1802,1941,-0.016527441110221197,0
510,1574,-0.20504574132159914,0
228,1983,0.21578209007039395,0
96,198,-0.5055896136414197,0
208,1320,0.36529308308146735,0
377,1397,-0.056737955215776736,0
1580,1901,-0.08118904810849559,0
1167,1821,0.36000727974672375,0
363,1768,0.4595171428992104,0
253,1274,0.3073169271337505,0
1679,1829,0.01933428394825376,0
270,1647,-0.1336366124447801,0
1035,1169,-0.7325796876003996,0
377,1812,0.16015915328483932,0
919,1984,-0.05351021659225763,0
811,1269,-0.6628201877973439,0
19,88,0.20499122216152255,0
954,1596,-0.15899205711376352,0
925,1153,-0.48115544894117446,0
72,1437,0.46894881850456205,0
891,1632,0.23596192196416355,0
28,1070,-0.406166752586679,0
1243,1928,0.48239571718227414,0
128,547,0.6286956917286485,0
613,1829,0.20967352974235565,0
279,1620,0.028848888146831064,0
757,1922,0.0648259437874743,0
312,1174,0.2799715526624206,0
60,455,0.45155621327343654,0
515,864,-0.0655029039419408,0
44,1078,-0.0010638484386809033,0
1036,1933,-0.4611361523804429,0
403,1372,-0.07749707886159429,0
389,1848,0.5149401915666818,0
1064,1667,0.6350025503714551,0
589,908,-0.25214661291232443,0
634,1330,0.0,0
1105,1943,-0.03132919447788862,0
691,892,-0.21334739182933005,0
1149,1153,-0.4920503455907663,0
1058,1379,-0.7112833775632343,0
830,958,0.47633081607790106,0
254,1694,-0.1139772659956062,0
805,1887,-0.25498867552570514,0
300,639,0.1303993588003749,0
226,624,-0.731789891122536,0
219,1286,-0.28878875836571094,0
1782,1785,-0.2700414411320924,0
710,1634,0.014080478767547255,0
782,1271,0.05354398229124557,0
948,1696,0.003635069458860496,0
224,1583,-0.5785064234702535,0
288,889,0.09679029366462222,0
550,846,0.29101847020259175,0
577,651,0.1538226227791326,0
682,1139,-0.2754428191006848,0
133,137,0.20528986966246376,0
193,1192,-0.15206291018533657,0
655,937,0.012082975636317217,0
1474,1942,-0.013267244027923564,0
101,966,-0.37719551574414467,0
97,1940,0.3765608047072274,0
998,1111,-0.4132489856244168,0
685,1679,0.4279474297680961,0
815,2011,0.029843016810425338,0
180,422,-0.04652228130265712,0
139,230,-0.5435559751544985,0
315,1272,-0.34755996187508664,0
1259,1582,-0.19669569755929306,0
1003,1590,0.7115878817810385,0
172,1984,-0.1573243536543263,0
616,643,0.024472840677323693,0
1078,1424,-0.11503458553820756,0
214,529,-0.31395102597729974,0
1040,1355,-0.07084720030705616,0
619,845,-0.3990602424491172,0
133,1347,0.11149305750522898,0
321,525,-0.0461883345588221,0
60,1605,-0.24526141022217596,0
34,1291,-0.936546650068159,0
145,877,0.5592834782467114,0
522,1955,-0.7039491056036469,0
952,1257,-0.029029632109281778,0
383,2029,-0.03955528489935478,0
206,281,-0.3325635636892259,0
1274,1654,0.23261647952600606,0
1078,1437,0.018562780332926465,0
1097,1772,0.6841192982543529,0
681,983,-0.28924695505700027,0
71,1297,-0.1477605627352263,0
547,771,0.18484213484443945,0
832,1164,-0.15530812159190632,0
46,1240,-0.33681471643726857,0
471,1371,-0.49867833331393063,0
1541,1684,-0.44139403794218235,0
958,1924,0.5279118580376667,0
101,891,0.5181928544262493,0
352,1093,0.33208830075478313,0
27,1571,-1.2453110344459484,0
660,1967,-0.43360383015245163,0
753,1629,0.21421500400333615,0
623,938,-0.011428406450209927,0
685,1573,0.40048429313479017,0
665,1045,0.002967942729099393,0
487,1429,0.1433196598050368,0
685,1078,-0.05721995277689085,0
1291,1421,-0.9360139461637498,0
598,1908,0.147080913995272,0
1272,1488,-0.12836094954728017,0
415,754,0.14502237056331757,0
1679,1816,0.03046802488703959,0
57,1596,-0.11296852321184292,0
685,1271,-0.04384613267792781,0
2,1401,0.5993225660728982,0
113,1336,0.09269607766566268,0
1082,1255,-0.6723333154420321,0
436,1155,0.07618078838586739,0
239,442,0.007443034496649625,0
433,1219,-0.11960373801610058,0
651,1973,-0.29415733045598724,0
151,217,0.0008329120794987599,0
1302,1962,-0.42484101073894465,0
900,1605,-0.24108580225483278,0
