u,v,kappa_ollivier
103,609,0.0
1570,3001,0.0
2190,3116,0.5771404722928382
1064,3522,0.0
1981,2662,0.0
2066,2186,-0.022870950334988427
1423,2339,0.41047272830162007
377,3149,0.4854355184012106
2217,2354,0.0
1046,3722,0.0
699,1448,0.0
985,2706,0.0
128,2361,0.0
2587,2811,0.0
1329,2465,0.0
103,3060,0.0
30,1411,0.28359745790920765
835,2464,0.0
1684,3857,0.5199635917196976
2034,2595,0.0
2821,2937,0.0
1478,2735,0.0
2814,4046,0.0
1266,2542,0.32112070245917046
13,4048,0.0
1626,1679,0.0
1962,2280,0.0
1610,3062,-0.005352243120109401
2717,2761,0.5299747375851175
965,2483,0.0
1875,3666,0.3052217463825345
1161,3903,0.0
933,2479,0.0
2716,3238,0.0
1346,2607,0.0
2617,3554,0.0
798,1217,0.0
2761,2790,0.4700252624148825
2368,3108,0.35738577482606504
536,795,0.0
205,2565,0.0
2249,2635,0.46125017473891794
315,2727,0.5096450698293857
652,2234,0.0
1537,2519,0.0
1885,2185,0.0
1654,3457,0.0
111,1847,0.0
366,454,0.0
769,3979,0.0
665,3784,0.0
904,3017,0.0
1693,2268,0.4302251840055036
3505,4002,0.0
988,3999,0.0
1554,2876,0.0
580,1340,-0.20805988381049723
481,3941,0.0
83,1684,0.5666998853319984
48,1967,-0.09275664574817899
728,3143,0.0
2717,2790,0.4647765801134618
2367,3219,0.0
2636,3421,0.0
2830,3730,0.0
733,2303,0.0
970,1759,0.4120905155626381
1935,3408,0.4307865119437626
1567,4080,0.0
1411,2065,0.28359745790920765
2066,3420,0.0
392,2337,0.0
555,892,0.0
2356,2369,0.0
880,1733,0.0
526,2804,0.0
212,2339,0.5068492532890074
2933,3982,0.0
1093,3377,0.0
3646,3951,0.0
2017,3796,0.0
1632,2941,0.4544022307570995
1572,3858,0.5544722573226151
1300,3084,0.41106915421221046
356,3158,0.0
862,3818,0.0
233,2088,0.0
3116,3221,0.44539857395621485
3135,3477,0.0
140,1625,0.0
63,1870,0.0
1214,1735,0.0
533,1196,0.4358346828966668
1079,2216,0.0
707,3310,0.5256982440979012
37,1498,0.0
2094,3864,0.0
863,2917,0.3294368757722751
1083,1563,0.0
3666,3678,0.41113753425826194
686,1159,0.0
383,2612,0.3409543985988124
373,2603,0.0
2264,4019,0.0
699,3635,0.0
43,1423,0.21877304986051282
2605,2784,0.0
224,3205,0.0
1422,3960,0.0
1397,2240,0.3246668960894419
981,2020,0.0
374,1960,0.0
486,1000,0.0
2136,2402,0.0
2540,2547,0.0
1199,2261,0.4058286435743277
69,362,0.0
2270,2996,0.0
1077,3666,0.0
83,4005,0.49072948042415887
414,2062,0.4869693412665016
2526,2573,0.0
1078,3211,0.0
317,3415,0.5477682902899988
1486,3396,0.0
1113,1794,0.0
1823,3896,0.0
2765,4039,0.0
48,1432,0.0
1690,3698,0.0
499,3732,0.0
2190,3221,0.5547480554506703
116,1899,0.31667439938573405
1737,2278,0.0
3745,3870,0.0
177,1427,0.0
750,2851,0.0
512,3078,0.0
3713,3915,0.0
381,3461,0.3429147753349113
754,2190,0.2538122363771049
15,937,0.0
2337,3360,-0.4320250308784017
1700,2943,0.0
988,1590,-1.0504262845444448
